876590348428029953 2017-06-18 19:59:59 -0400 <mpilotone> @DineshDSouza @realDonaldTrump Mr. Dinesh D'Souza, you are 100% right!
876590346611720192 2017-06-18 19:59:59 -0400 <crucker72> @realDonaldTrump Lol...u really think u are fooling people...lmao
876590345731092480 2017-06-18 19:59:59 -0400 <LebbieJ123> @DiamondandSilk @realDonaldTrump Because it is real news - and will inform us how deep Trump was involved with his Russian buddies hacking our election.  Any more questions?
876590342811918336 2017-06-18 19:59:58 -0400 <scorpionsting70> @trumpwrongworld @eclectrincity @KMacMusic @realDonaldTrump He was bragging it was better than Obama, lied about that and really doesn't care about approval, just beating Obama- how sad
876590342505725954 2017-06-18 19:59:58 -0400 <rion89> @realDonaldTrump Was this poll taken in the Duma? Wind bag. #44forever
876590341037539328 2017-06-18 19:59:58 -0400 <TwitFaced> @realDonaldTrump And btw coal is dead, solar and wind is the energy of the now &amp; future. Do more for those jobs &amp; training for those jobs.
876590339875844102 2017-06-18 19:59:57 -0400 <ShaneosaurD> @QuidProPanda @historyjudges @madmamavotes @smcconnell09 @DonaldJTrumpJr @realDonaldTrump I'm going to pretend that I'm a Republican by saying that your chin to head ratio is extremely disproportionate.
876590337614950400 2017-06-18 19:59:57 -0400 <clmuseum> @multipliedmoms @TheBabyGuyNYC @DonaldJTrumpJr @realDonaldTrump Um, the story is proven, no matter whether it's a source you like or not.
876590336344289280 2017-06-18 19:59:57 -0400 <simhskal> Wondering what @realDonaldTrump thinks of the new mobile @design ? #twitter
876590334695886848 2017-06-18 19:59:56 -0400 <cichlidfanatic> @realDonaldTrump #TrumpRussia #Impeach Trump #MAGA
876590333609390080 2017-06-18 19:59:56 -0400 <Cali_Sneekz> @realDonaldTrump U still at it with yur lies about jobs. Lol. Yur still preaching to the uneducated. #horrible.
876590328391663616 2017-06-18 19:59:55 -0400 <MaesTeresa> @LizCrokin @realDonaldTrump If he is clean he would be chomping at the bit..to line up a bonafide congressional inquiry...I can say if I don't get legit answers..
876590327943090177 2017-06-18 19:59:55 -0400 <JenKRN> @DineshDSouza @washingtonpost @realDonaldTrump And WHO is surprised? Not this girl. In fact, most of real America isn't.  And that is just such a sad commentary on the 4th Estate.
876590326831501312 2017-06-18 19:59:54 -0400 <LinnOsman> @realDonaldTrump you have the power, we are waiting 4 U 2 use it. Your doing great with the economics ofUSA.remember take time, listen 2God
876590326403792896 2017-06-18 19:59:54 -0400 <dmbell19591> @DiamondandSilk 🤣🤣🤣🤣🤣 @realDonaldTrump #TrumpCareOxymoron #TrumpRussiaInvestigation  https://t.co/c2pswi8twd
876590325808103424 2017-06-18 19:59:54 -0400 <tonyinacoma> @ChuckGarland4 @CalvinBryne @kenklippenstein @realDonaldTrump the country, then you wouldn't be tweeting garbage. Furthermore the issue of terrorism isn't the only issue a nation addresses, yes it's
876590317662748673 2017-06-18 19:59:52 -0400 <bembeblue> @YossiGestetner @realDonaldTrump Except the investigation is not ovee
876590316933046273 2017-06-18 19:59:52 -0400 <SOS911Venezuela> @WhiteHouse @realDonaldTrump Maduro:  The Sheriff Always Gets His Man!  Don't Mess With The US. The Sheriff Is Back.  https://t.co/m9NVkWZ46e
876590315964030976 2017-06-18 19:59:52 -0400 <ptops64> @realDonaldTrump Is this your first trip to Camp David? Really??
876590313644621824 2017-06-18 19:59:51 -0400 <jordanowen42> @realDonaldTrump Fuck you.
876590311908286465 2017-06-18 19:59:51 -0400 <TXGal91> @Covfefe_Texas @realDonaldTrump MAGA🇺🇸🇺🇸🇺🇸🚂🚂
876590306153480192 2017-06-18 19:59:49 -0400 <realChuckRock> @HenaaBlanco @myfairAmanda @realDonaldTumpr @AlexMLeo @HFemtard @DiamondandSilk @realDonaldTrump Show me some examples of fake news from CNN. You don't even know what fake news is.
876590305897787392 2017-06-18 19:59:49 -0400 <MyHelpingAngel> @realDonaldTrump Pls restrain your tweets &amp; hold back negative
876590302454095872 2017-06-18 19:59:49 -0400 <E_Pluribus_LMA0> @KeithOlbermann @realDonaldTrump He has 4 adult children: Tiffany, Donald, Jr., Eric, and Ivanka.
876590300151635968 2017-06-18 19:59:48 -0400 <keepinitkyle> @realDonaldTrump please focus on running our country, into the ground or into the stratosphere, instead of focusing on poll #'s.
876590299996315648 2017-06-18 19:59:48 -0400 <NotDoneWinning> @realDonaldTrump The real Donald Trump   https://t.co/Mtp9hnQ0wX
876590295135039488 2017-06-18 19:59:47 -0400 <GateOfDemocracy> All misconduct in politics  , fake news, slander etc. Should face lawsuits.  Gonna be a line around the block. @realDonaldTrump  https://t.co/dSns7g0rEJ
876590293650472961 2017-06-18 19:59:46 -0400 <jdpepe2236> It is time to #StepUp @tombrokaw (#msm).  OUR President, @realDonaldTrump, already has. Now WE need to support our country!  #AmericaFirst🇺🇸
876590293017137153 2017-06-18 19:59:46 -0400 <TJ_KAG> @setorkdc @myfairAmanda @HenaaBlanco @realDonaldTumpr @AlexMLeo @HFemtard @DiamondandSilk @realDonaldTrump Then why the hell are you following a conservative account?
876590289007255552 2017-06-18 19:59:45 -0400 <MarkChavezTX> THIS! Outlines PROOF @realDonaldTrump and #Russia are guilty as hell! Read the entire thread  #TRUMPRUSSIA #OBSTRUCTION #COLLUSION #TREASON  https://t.co/rnlPCYzZFy
876590287463870464 2017-06-18 19:59:45 -0400 <6363nene> @realDonaldTrump That's not what you've said before. Another lie.
876590286276890628 2017-06-18 19:59:45 -0400 <MeGminor> @realDonaldTrump DUDE--what about your son Barron? Did you ignore him all weekend? You don't seem to be very interested in Father's Day.
876590285991686144 2017-06-18 19:59:45 -0400 <SaltedLime65> @Scott_Wakelin @nautilus1304 @mentalmuskrat @chrisperri28 @EdHotnix @Tooda @DiamondandSilk @realDonaldTrump Trumps tweet was in response to the #VeryFakeNews @washingtonpost  False leaks and unnamed hacks all you libs have left to your charade
876590284884369412 2017-06-18 19:59:44 -0400 <tjkhan90> @realDonaldTrump Keep dreaming
876590283605016577 2017-06-18 19:59:44 -0400 <annielaud> @YossiGestetner @realDonaldTrump Did he hire you?
876590278186020864 2017-06-18 19:59:43 -0400 <MyassesDragon> @SheriffClarke @RepStevenSmith @realDonaldTrump When was the last time you went to your job?
876590277061902336 2017-06-18 19:59:42 -0400 <jimdjr1522> @Im_TheAntiTrump @realDonaldTrump So much for bro g in partial
876590276353159170 2017-06-18 19:59:42 -0400 <Snowflake35> @Im_TheAntiTrump @realDonaldTrump The guy has no credibility! He never did. He does however, seem obsessed with President Obama. 😡👶
876590267566088193 2017-06-18 19:59:40 -0400 <keating_eleanor> @LivepdPolitics @SumSumCausey @LaraLeaTrump @EricTrump @realDonaldTrump I didn't know what that meant?
876590266194554883 2017-06-18 19:59:40 -0400 <Crystal4Trump> US Election Meddling: Smoke and Mirrors  https://t.co/L0nhFj2rvm via @grtvnews #Russia #MuellerMustRecuse #Mueller @realDonaldTrump
876590257906397184 2017-06-18 19:59:38 -0400 <em1692> @Ebay313 @trentster @delaney_ball @BagOfToys @realDonaldTrump And his actions since taking office prove he deserves no respect
876590255608139777 2017-06-18 19:59:37 -0400 <realFelixSater> @realDonaldTrump But Camp David has golf carts, so you won't have to walk anywhere @POTUS #FakePresident #conman
876590253737467905 2017-06-18 19:59:37 -0400 <MarkHockett1> @rolandsmartin @realDonaldTrump Good one Brother Roland!
876590252940447744 2017-06-18 19:59:37 -0400 <sfca94108> @realDonaldTrump Roughing it without all that marble and gold trim, city boy?
876590251568967680 2017-06-18 19:59:36 -0400 <Imsweetjane> @realDonaldTrump Not true.  You will NEVER have higher approval ratings than President Obama.  You are #WorstUSPresidentInHistory
876590247081062401 2017-06-18 19:59:35 -0400 <dfinn> @DonaldJTrumpJr @realDonaldTrump Divisive much?
876590242727436292 2017-06-18 19:59:34 -0400 <island1706> @DandelionDollar @KeithOlbermann @realDonaldTrump Wow! She looks like she's had to practice that move on more than one occasion with the Pervresident.
876590240965832704 2017-06-18 19:59:34 -0400 <Siddhalee> @realDonaldTrump 7 SAILORS WERE FOUND DEAD! SAY SOMETHING ABOUT IT!! WE DONT CARE ABOUT POLLS, YOUR AGENDA OR YOUR GOLF SCORE! #LearnYourJob  https://t.co/2FcfNyUfH1
876590239908847616 2017-06-18 19:59:34 -0400 <t_trumpkin> @jackschofield @realDonaldTrump @Rasmussen_Poll @538 Well if it doesn't agree with The Donald then it MUST be fake.  #DonTheCon #Reek #TrumpRussia #PresidentBannon
