1154179452882083842 2019-07-24 19:59:59 -0400 <JediTigger> @realDonaldTrump My tax dollars paid for that crap? GFY.
1154179452114481152 2019-07-24 19:59:59 -0400 <jeffrey_moles> @TheRynheart @NastyRev @realDonaldTrump I found trump's hair in East TN  #ImpeachmentInquiryNow  https://t.co/uH2gNU91Bb
1154179451879641088 2019-07-24 19:59:59 -0400 <JamesHamm19> @AndrewFeinberg @MrJonCryer @realDonaldTrump Follow the money
1154179451556638723 2019-07-24 19:59:59 -0400 <emmy91990772> @SchoolPsychGuy @SarahHuckabee @realDonaldTrump Or balls. Oh wait...
1154179451032342528 2019-07-24 19:59:59 -0400 <dnick47> @tedlieu @HouseJudiciary @realDonaldTrump Then do some god-damn thing about it!
1154179450780770306 2019-07-24 19:59:59 -0400 <pending_r> @realDonaldTrump  https://t.co/Szl9fNWau4
1154179448981168129 2019-07-24 19:59:58 -0400 <ShawnHu65871392> @lesleyabravanel @realDonaldTrump @RepAdamSchiff Peach pits to Congress!
1154179447735689216 2019-07-24 19:59:58 -0400 <LoralieBluett> @landry_randolph @RWPUSA @realDonaldTrump The people might have to revolt.   It's your house not trumps.   Rise up you all have the right.
1154179447643414528 2019-07-24 19:59:58 -0400 <Jacquei6> @RepLoriTrahan @realDonaldTrump One question.  Who are you?
1154179447601258496 2019-07-24 19:59:58 -0400 <judemgreen> Let’s Put you + @realDonaldTrump  Humpty DUMPTY+LETS SEE YOU ANSWER 45 DIFFERENT PEOPLE w/SPECIFIC Detailed PAGES +LINE NUMBERS AT RAPID FIRE Speed Switching EVERY 5 minutes for 7 Hours UNDER OATH!+ w/Vicious Hate Lies+ Scrutiny. @MMFLINT U + Fat Hitler wouldn’t Last 5 minutes
1154179447546793984 2019-07-24 19:59:58 -0400 <visionsbyrose> @gjordan12198 @itsJeffTiedrich @realDonaldTrump He has much to be scared of!
1154179446439587840 2019-07-24 19:59:58 -0400 <AnnReece6> @realDonaldTrump @TerryMoran @ABCPolitics Lol
1154179446037012482 2019-07-24 19:59:58 -0400 <Barleymasher> @realDonaldTrump Trump the pathelogical liar. Economists believe the economy is now in recession, next year will be obvious. We all know Trump will take zero responsibility, as always, though economists say the Trump tariffs are largely respnsible.
1154179445374291969 2019-07-24 19:59:58 -0400 <Wes72971> @VP @realDonaldTrump @HouseGOP Really??? Mueller said Trump would have been indicted if he wasn’t the president, how is that a good day???
1154179444405182467 2019-07-24 19:59:57 -0400 <pberken803> @realDonaldTrump Lovely graphics department there. You forgot about the indictments, convictions and asset seizures.
1154179442110955521 2019-07-24 19:59:57 -0400 <CoolerThanJebus> @realDonaldTrump Say goodnight, Donny  https://t.co/VV4StXfmfY
1154179441834307585 2019-07-24 19:59:57 -0400 <RalphoZimski> @realDonaldTrump The only important party will be the nationwide one when you're gone. Hopefully you get arrested on election night as you lose.
1154179441695891457 2019-07-24 19:59:57 -0400 <FlyoverJay> @GOPChairwoman @realDonaldTrump Were you sleeping all day?   Pull your head out of the sand.
1154179438541705217 2019-07-24 19:59:56 -0400 <IL_Voter> @realDonaldTrump Whoa.. hold on there Fucktard.  Mueller has every right to counsel, and specifically to counsel of his choice.  You don't get to pick other peoples lawyers moron. Don't you know that?
1154179437904257025 2019-07-24 19:59:56 -0400 <schatz_lynda> @realDonaldTrump Love it ! Best President ever!!!
1154179437291810816 2019-07-24 19:59:56 -0400 <Acnolog99779063> @thebradfordfile @realDonaldTrump Pass that joint dude cuz that’s some good shit you’re smoking!
1154179436964712448 2019-07-24 19:59:56 -0400 <zinkzombee> @realDonaldTrump Mueller dodges direct questions 123 times! ... 'I'M NOT GOING TO ANSWER THAT': Mueller Dodges Direct Questions 123 Times.
1154179436767584257 2019-07-24 19:59:55 -0400 <EthanJson123> @carolfranzen222 @SpeakerPelosi @realDonaldTrump You don't understand the situation do you? He's not selling them to ISIS.
1154179435584577537 2019-07-24 19:59:55 -0400 <NerdPyle> @VP @realDonaldTrump @HouseGOP Yeah you should say that a 1000 more times because that’s what people do when things are going great - they sweatily repeat how wonderful it is over and over in a panic. 😂
1154179435001630720 2019-07-24 19:59:55 -0400 <ApothoKelley> @MirandaTedder4 @TalbertSwan @realDonaldTrump @netanyahu And no one was hungry or bullied- I'd say I have a pretty good understanding of our History. I am from a Boston family, after all. Give it a read. You might actually enjoy it.  https://t.co/AY3K2KrIhk
1154179433382731781 2019-07-24 19:59:55 -0400 <seanna_rose2211> @realDonaldTrump "Very innocent." 😅😅😅 Yeah, right! I can't wait until you, Barr, and the rest of your trash get thrown out. #DumpTrump #BillDisbarred #ImpeachNow
1154179432912867328 2019-07-24 19:59:55 -0400 <sashiyer> @realDonaldTrump But you always puncture with a lie!
1154179432757768192 2019-07-24 19:59:55 -0400 <johns3334> @ChatByCC @realDonaldTrump Democrats, need, investigating, held accountable for, waistin, millions of tax payers dollars, cus, crooked Hillary lost
