1114679175972044801 2019-04-06 19:59:59 -0400 <Mountai65363978> @funder @realDonaldTrump Orange idiot
1114679175414190082 2019-04-06 19:59:59 -0400 <buttercup10024> @WillHayes702 @JeffScheid @realDonaldTrump @RJC I thought the same thing
1114679174915137536 2019-04-06 19:59:59 -0400 <tulip316> @mike_pence @realDonaldTrump I’m glad he has you by his side!!!!
1114679174504026114 2019-04-06 19:59:59 -0400 <mattamattacrane> @TimMurtaugh @GOPChairwoman @realDonaldTrump @TheDemocrats That's a Dim! Yep!
1114679172545306629 2019-04-06 19:59:59 -0400 <benbrookjohn> @realDonaldTrump my request for the world to stop will happen at 11:00 pm EST.  Please depart at that time. You can go left or right, YOU'LL be is space.  https://t.co/P3BvqmwZ6n
1114679171043741698 2019-04-06 19:59:58 -0400 <cindysantos850> @DiamondandSilk @realDonaldTrump @POTUS When y'all getting new hairdos
1114679169424605184 2019-04-06 19:59:58 -0400 <FaithfulCARep> @empire1818 You can believe whatever you want . I support @realDonaldTrump . The left has a history of creeps and your new group of candidates are laughable .
1114679168950841344 2019-04-06 19:59:58 -0400 <SteveBa95854165> @krassenstein @EdKrassen @realDonaldTrump Time to stop the foolishness and help for a change boys (or girls how every you identify) or get run over politically! #MAGA  https://t.co/7h9pH7e12Z
1114679168162201600 2019-04-06 19:59:58 -0400 <bryan_swindle> @realDonaldTrump I don't believe for a second that their are 100,000 people crossing the border a month.
1114679167663185922 2019-04-06 19:59:57 -0400 <henryh68> @realDonaldTrump You show pictures of a bunch of dupes!
1114679162265112577 2019-04-06 19:59:56 -0400 <26BrianS26> @ananavarro @markmobility @realDonaldTrump @TifaniRoberts Must be the youngest member of MS13, ever.
1114679162252476423 2019-04-06 19:59:56 -0400 <briguyallicks> @realDonaldTrump America has never been 100% great, and it has never been 100% bad. We should be striving to constantly make America better. We should look back at our mistakes and our successes, but we should be boldly looking into the future.
1114679160578949121 2019-04-06 19:59:56 -0400 <lbc360> @realDonaldTrump @sjlnlgl5451  https://t.co/bKAYo2FZUW
