924787933823033345 2017-10-29 19:59:59 -0400 <PhilM75070> @MADE__USA @JrcheneyJohn @realDonaldTrump @POTUS @VP Gowdy for AG!
924787932849950720 2017-10-29 19:59:59 -0400 <TerryJBaker2> @roc345_mark @TOSFALLA3 @michaelbeatty3 @KatTheHammer @realDonaldTrump @POTUS Is this a Lie too No truth at all bahahaha. Yeah were the racists Rus  https://t.co/pfzSPYbbUI
924787930392088576 2017-10-29 19:59:58 -0400 <SpaceBarnacle> @realDonaldTrump 🤣 loser.  https://t.co/MfCCmK5LAr
924787929632911360 2017-10-29 19:59:58 -0400 <KateHudkins> @realDonaldTrump Do you know where you are? What year it is? Who is the current president of the United States?
924787928269692928 2017-10-29 19:59:58 -0400 <SoCalKO> @MichaelSkolnik @koolkaryn @realDonaldTrump This is outrageous.  "Commander" of what?
924787927753904129 2017-10-29 19:59:58 -0400 <reedjasonf> @realDonaldTrump, help Puerto Rico 🇵🇷! You're a mistake. #ImpeachTrump  https://t.co/jYoU4VBWlF
924787923073019905 2017-10-29 19:59:57 -0400 <nmbkmp> @realDonaldTrump   https://t.co/FSKsRfSFcI
924787922037100545 2017-10-29 19:59:56 -0400 <JoshCox69> @SLandinSoCal @realDonaldTrump Obama Hillary..yada Yada..anyway.. So who do you think is going down first..  Flynn or Manafort?  Or both?
924787921642835968 2017-10-29 19:59:56 -0400 <gingergayle5> @realDonaldTrump   https://t.co/3mThYUxUQ9
924787920728403968 2017-10-29 19:59:56 -0400 <HoneyBadger5719> @LauraLoomer @HillaryClinton @realDonaldTrump Do it in a way that he’s more likely to give you an answer
924787919524638721 2017-10-29 19:59:56 -0400 <JpLuv4U> @realDonaldTrump @NFL @NBA @MLB U HAVE #BLACKSLAVERY ATHLETES🌎ATHLETES NOT AWARE OF SECRET🌎&amp; U HAVE #BLACKSLAVEOWNERATHLETES NOWITS#FAIRPLAY  https://t.co/rXYbDEyPwC
924787918962679808 2017-10-29 19:59:56 -0400 <GingersMamaBear> @realDonaldTrump Like "lock you up", NOW!?  GLADLY!!!
924787917498617856 2017-10-29 19:59:55 -0400 <kim_meller> @Lawrence @JoyAnnReid @realDonaldTrump  I bet this video won't be in tomorrow 's propaganda book. joy reid rocks
924787914646654977 2017-10-29 19:59:55 -0400 <HowieBarks> @realDonaldTrump Not a subject that is worth your time.
924787912012652544 2017-10-29 19:59:54 -0400 <Slotsqueen3> @KriensL @realDonaldTrump Bot
924787910934704128 2017-10-29 19:59:54 -0400 <TheNickMitchel1> @SLandinSoCal @realDonaldTrump Woman link Deez Nuts, your just mad cause your president and his compadres are in trouble with the sealed indictments.
924787910880235521 2017-10-29 19:59:54 -0400 <Janet18617745> @FoxNews @realDonaldTrump @MMFlint Not sad. Glad
924787909668065280 2017-10-29 19:59:54 -0400 <NassisOctavia> @realDonaldTrump @LindaSuhler @POTUS you have the lawful right to fire Mr. Creepy, on Friday he illegally leaked secret information pertaining to the grand jury.
924787907046625280 2017-10-29 19:59:53 -0400 <Barbara12689822> @realDonaldTrump Bet that's about what it cost to keep Melania in New York, and you at your Golf courses and Rallies!
924787905117261825 2017-10-29 19:59:52 -0400 <NaomioftheNorth> @realDonaldTrump 🤣🤣🤣🤣. Please tell us about your Wharton graduate ceremonies.  Oh! Whoops! Never got that degree, did ya?
924787902483259392 2017-10-29 19:59:52 -0400 <RKJ65> @GoodSaltyDog @grailsnail @EdanClay @realDonaldTrump @Google @facebook @amazon Yes &amp; yes.
924787901359063047 2017-10-29 19:59:52 -0400 <ComplicKate> @SalDorazio1 @FoxNews @realDonaldTrump @MMFlint I guess I follow the wrong people on twitter. Not unhappy at all.
924787901191335937 2017-10-29 19:59:52 -0400 <GemmaTorrent11> @tammiedortch @robcarlson20 @oldtrooper75 @Frank45503716 @freedom_gal @Luke4Tech @ripsmusic @Nation_017 @P_L_McCoy_ @Spike_Emma @mickeytidewater @Non_MSM_News @GrandDonTrump @donnia8789 @americashawk @hockeygirl1959 @Eliz_Hightower @realDonaldTrump @Jesus_isPeace @Lenardhscott101 Oh I’ll be busy at my daughters wedding for trick or treating. Yeh. She’s goofy.  Lol
924787899161350144 2017-10-29 19:59:51 -0400 <westend999> @realDonaldTrump You were told before you took office, by intelligence,  that there was a problem between Russia and the elections.  You chose to ignore it.
924787898859241472 2017-10-29 19:59:51 -0400 <pacflyway> @Shastina_Eloff @realDonaldTrump Hypocrisy abounds!!!
924787896623730688 2017-10-29 19:59:50 -0400 <TruthWins22> @DearAuntCrabby @realDonaldTrump #tiredofwinning
924787896242114562 2017-10-29 19:59:50 -0400 <salthegal123> @realDonaldTrump Blhahshahahahahaha. LOSER!
924787896044871680 2017-10-29 19:59:50 -0400 <blysx> And then I told @realDonaldTrump that if he made me Attorney General I would Drain The Swamp....  https://t.co/1LIporIqSK
924787895357100032 2017-10-29 19:59:50 -0400 <floydtire_sonny> @realDonaldTrump @RockinJoe1 Bushes win again
924787895008772096 2017-10-29 19:59:50 -0400 <gregsgirl2> @DavidWetherell @CNN @realDonaldTrump Maybe he's the reason why deaths have skyrocketed.  #ITMFA
924787894602096645 2017-10-29 19:59:50 -0400 <prokop_patricia> @jptrib1 As fish can't see water, @realDonaldTrump's fans are blind to his narcissism and dishonesty. He can lead them anywhere he chooses.
