975522234398838791 2018-03-18 19:59:59 -0400 <toddjacobus> @waltercronin @realDonaldTrump “you’re” - not “your” x 2
975522233438306305 2018-03-18 19:59:59 -0400 <Heatheroc49G> @d_hureau @imnottayediggs @realDonaldTrump  https://t.co/znwGPBJA2X
975522232905666561 2018-03-18 19:59:59 -0400 <6bottoms> Are you man enough? @POTUS  @realDonaldTrump  https://t.co/ubqeYIPJ8A
975522228652658688 2018-03-18 19:59:58 -0400 <DonMosesAnders1> @CarrieDDahl @PollyWhyatt @PLibertatum @na52g @katcatbee @realDonaldTrump Carrie Dahl, you have the wrong family, the Obama's are gone, you need to pull your head out of your ass, like the rest of you ignorant liberal democ-RATs and get some fresh air, you just might wake up and see the truth, that is if you take them binders off your eyes.
975522226668736512 2018-03-18 19:59:57 -0400 <bdeems1> @robert_hess71 @Dracwyrm @realDonaldTrump Have You Sat on DJT's Gold Plated Toilet YET, Robert?
975522225020391424 2018-03-18 19:59:57 -0400 <dpohman> @DavidShuster Fact don't matter to .@realDonaldTrump ,
975522224852684800 2018-03-18 19:59:57 -0400 <peepspolitical> @realDonaldTrump @PeepsPolitical News&gt;IAM PRODUCING TV SHOW WHILE COMMUNICATIONS DIRECTOR TRUMP WILL APPEAR ON SOPRANOS &gt; &amp; GOODFELLAS &gt; 2018 &amp; WE TAKE OUT PUTIN IN FIRST END EPISOD WE SHOW U PUTIN DIE &gt; &amp; BEG FOR HIS LIFE RELEASED 4TH OF JULY EPISODE THRILL&gt;  https://t.co/859yYap2OX
975522224638656512 2018-03-18 19:59:57 -0400 <joedp1957> @Surfingcity @JacobAWohl @jeffsessions @realDonaldTrump Amen
975522220234637312 2018-03-18 19:59:56 -0400 <SweetSyrenn> @JasonStokley076 @ohhshiny @Winslow369Beast @robert_hess71 @Dracwyrm @realDonaldTrump There are quite a few POS's in office right now.  https://t.co/AfkGqlNTTx
975522219869835265 2018-03-18 19:59:56 -0400 <scrawfordpaul> @realDonaldTrump A crime is a crime, irrespective of political affiliation of the investigator or the criminal. Let’s just see what the investigator finds out, and who the criminals are. #mueller
975522219144163329 2018-03-18 19:59:56 -0400 <jadun007> @realDonaldTrump No collusion?  You've been involved with the Russians for decades.  Steele was on to you years before your campaign.  Why do so many Russian mafia roads lead to Trump Tower?  The vice is tightening, hence your increasing deflections.
975522218846416896 2018-03-18 19:59:55 -0400 <cleoworks1> @jerome_corsi @realDonaldTrump WOW!!!😮They really don't want him talking! Bet he already has!☺️
975522218439577601 2018-03-18 19:59:55 -0400 <yvonnesmiles390> @realDonaldTrump RATS ALWAYS TAKE THE CHEESE 🐁🐀
975522218305380353 2018-03-18 19:59:55 -0400 <Terri1015Tm> @realDonaldTrump What are you so afraid of?
975522215629393920 2018-03-18 19:59:55 -0400 <NewsBuzz_com> @realDonaldTrump   https://t.co/VlUJgqp7yu
975522213322518528 2018-03-18 19:59:54 -0400 <jodid32> @realDonaldTrump Why is everything in your Trump store made in other countries?????????  Also, why do some items in your Trump store not have "made in" labels? That's illegal! $500,000 fine!
975522212567433216 2018-03-18 19:59:54 -0400 <bhughes06548766> @jimGinOKC @realDonaldTrump he meant there are no republicans on the special counsel who are willing to look the other way.
975522211892203520 2018-03-18 19:59:54 -0400 <D02243499> @realDonaldTrump  yes he can! Afterwards he can use the reasoning that their actions were unlawfully done and thus,, make it all null and void. Reset everything and permanently put into play that anything that is detrimental to the people or this nation cannot hold a legal basis.  https://t.co/zmoFxcheNW
975522210445234177 2018-03-18 19:59:53 -0400 <CKcrusader> @realDonaldTrump No, we are not calling official memos fake memos. We can call your tweets and statements lies because multiple sources have verified the lies. You are the #WorstPresidentEver  #Trumpcolluded
975522208029212674 2018-03-18 19:59:53 -0400 <vickiedu> @Riskographer2 @Ghidra15 @realDonaldTrump He is not a God-fearing loving Christian.
975522203134562306 2018-03-18 19:59:52 -0400 <MicrObliterate> @realDonaldTrump Ehmmm .... excuse me ☝️... Mr. #Mueller is #republican ...... 🙊🤦‍♀️
975522201674960897 2018-03-18 19:59:51 -0400 <Toonces_Resists> @BrianPaulStuart @realDonaldTrump Brian, I'll pitch in halfsies with you to buy the old goat a dictionary. You know he thinks his lips are bee-yoo-tee-full. 💋
975522200869621760 2018-03-18 19:59:51 -0400 <KenGeor> @realDonaldTrump No, but we can call you a fake president.
975522199384875009 2018-03-18 19:59:51 -0400 <arlingtonhokie> @Cat_Man_Bill @realDonaldTrump   https://t.co/LGwdfPmlJb
975522196562042885 2018-03-18 19:59:50 -0400 <medleyko> @realDonaldTrump Yes we can
975522194389393414 2018-03-18 19:59:50 -0400 <peteysaw> @2015Librarian @BarryHingley @realDonaldTrump And everyone knows how relaxed you are when "it's not all about you."
975522193919631360 2018-03-18 19:59:50 -0400 <HDawg75082> @PollyWhyatt @PLibertatum @CarrieDDahl @na52g @katcatbee @realDonaldTrump Since you are calling names. How not dumbass?
975522192933957632 2018-03-18 19:59:49 -0400 <paigeizziesmom> #NoClass  no better than his crazy-ass boss @realDonaldTrump  What a pair. #Midterms2018  https://t.co/8Hl8EbWktq
975522191474331648 2018-03-18 19:59:49 -0400 <ronr856> @jth90c @realDonaldTrump Oh my. And yet the liberals still whin. Never could figure out where you libs. always gotta blame Russia. The russians love you guys. But hey I’m going to pray that you can find peace and love in your heart. So please quit felling that racist felling
975522187431038976 2018-03-18 19:59:48 -0400 <Feisty_Catholic> @1936power @tandem2200 @realDonaldTrump You are talking about media reports  slanted against the President. It's no secret that @CNN is no fan of the President. That is obvious to anyone who can discern information for themselves. I would take what CNN says with a grain of salt. #SlantedMedia
975522186625560577 2018-03-18 19:59:48 -0400 <dmt_quest> @realDonaldTrump tweet this out  https://t.co/QiyjrDajpQ
