1030967578372571136 2018-08-18 19:59:59 -0400 <JoDivaRunner> @ebecker33444 @Rasmussen_Poll @realDonaldTrump @POTUS Lol!
1030967577504370694 2018-08-18 19:59:59 -0400 <ses01> @glamelegance @realDonaldTrump This is what you’ve learned from law school? A career in porn awaits you. 🤡
1030967577403699201 2018-08-18 19:59:59 -0400 <Justheatheralla> @realDonaldTrump Yeah... that’s not gonna happen, comrade
1030967577160372229 2018-08-18 19:59:59 -0400 <sparadiso11> @realDonaldTrump SCREWS OVER OUR AMERICAN MILITARY - LET'S HOPE THEY VOTE A DEMOCRATIC TICKET DOWN THE LINE ON NOVEMBER 6th. 2018 The Trump administration is dismantling financial protections for the military  https://t.co/6zmhUPG9SM
1030967576602521600 2018-08-18 19:59:59 -0400 <Dems_R_Trash> @JudiLedgard @realDonaldTrump @JohnBrennan voted for communism.  Obama LOVED that, and inserted him as CIA Dir.  Brennan failed miserably.  The exact problem he gets paid to rail against nightly on CNN, Russian meddling, occurred on his watch.  He did NOTHING.  Was he aiding them because he likes communism??
1030967575688175617 2018-08-18 19:59:59 -0400 <janniefunster> @charliekirk11 @realDonaldTrump #BackOnTrack
1030967575667077120 2018-08-18 19:59:59 -0400 <RosieSmiling> @ljwaz99 @cassie_complex @realDonaldTrump  https://t.co/WrDHoLwC24
1030967574828335104 2018-08-18 19:59:58 -0400 <WhateverBongo1> @realDonaldTrump Brennan is a patriotic American, unlike you.
1030967574241075200 2018-08-18 19:59:58 -0400 <BrendaLV13> @realDonaldTrump Justice for Task Force! Never forget Jenny Moore, former police officer who died in a D.C. motel 8/12/18
1030967573704101888 2018-08-18 19:59:58 -0400 <lynnmasters17> @TimW3811 @JimPummell @realDonaldTrump Thank you! 🥂🌹
1030967573003755520 2018-08-18 19:59:58 -0400 <Schipperke44> @realDonaldTrump Absolutely true, Donald Trump has become nothing less than a loudmouth, partisan political hack who cannot be trusted with the secrets to our country and even worse he actually IS drunk on power and a danger to our Nation.
1030967569359007745 2018-08-18 19:59:57 -0400 <ljhickey24> @imahealer @honkarudas @realDonaldTrump 😂😂
1030967569321283589 2018-08-18 19:59:57 -0400 <EschObfus10> @realDonaldTrump Everything Donald Trump got wrong linking California wildfires to Canadian lumber imports: Actually, it is a ‘global warming thing.’ And that’s just for starters.  https://t.co/Xlwjj0gljM
1030967567135985664 2018-08-18 19:59:57 -0400 <Yusuf33066570> @realDonaldTrump  https://t.co/eQutvhP0Y2
1030967566590791685 2018-08-18 19:59:56 -0400 <goddessjustita> @realDonaldTrump Yeah! Thanks Obama!
1030967565911113729 2018-08-18 19:59:56 -0400 <GnosticFuture> @realDonaldTrump Wow, next you know Dotard is going to save real money.  Maybe not pay for straws on air force one.
1030967560479690752 2018-08-18 19:59:55 -0400 <ATXmetalgod> @realDonaldTrump Tick-tock, dirtbag.  https://t.co/B4AIfo5BMi
1030967559758270464 2018-08-18 19:59:55 -0400 <boltonsstache69> @realDonaldTrump Tool.  https://t.co/JKVSa4auEJ
1030967555677147136 2018-08-18 19:59:54 -0400 <spiderwebb1956> @realDonaldTrump AND IT IS TIME FOR THE BS WITCH HUNT TO END!!!!
1030967554012008448 2018-08-18 19:59:53 -0400 <LoneSisterWolf> @StarFoxx82 @CostilowTracey @deedee33955 @realDonaldTrump Let’s drop some facts about the percentage of abortions PP actually PERFORMS (hint it’s very small and 90% of PP clinics do not offer abortions)
1030967551856074752 2018-08-18 19:59:53 -0400 <calbennett1> @charliekirk11 @JulioAc68136033 @realDonaldTrump Where’s your supporting documentation/evidence that that’s true?
1030967551193489409 2018-08-18 19:59:53 -0400 <dyannleroy> @PalmerReport @realDonaldTrump Thank you for not using the words, 'cooperated extensively' because it was about to get on my last nerve... copy/paste reporting. I knew I could count on you not to follow the others down the road. Flipped is perfection.😏
1030967546541948928 2018-08-18 19:59:52 -0400 <williamtrobbins> @hsmath @realDonaldTrump @williamtrobbins America is not a place for you.
1030967545786974208 2018-08-18 19:59:52 -0400 <PasogirlBeacher> Stop @realdonaldtrump's dangerous fracked gas project!  https://t.co/SAhhEUOPHF
1030967545505886208 2018-08-18 19:59:51 -0400 <JoVinaGoVin> @jdlhawaii @lrendon247 @realDonaldTrump What do you mean by his own people...Americans???????
1030967542976659458 2018-08-18 19:59:51 -0400 <gswickes> @realDonaldTrump @schwartzbCNBC #PutinsPuppet there is so much #Corruption it is amazing there is not a #Trump family member sitting in jail yet!   Getting #FACTs and #Justice aligned so the #lying @POTUS does not wiggle out of the handcuffs.
1030967542871932931 2018-08-18 19:59:51 -0400 <DrBGonen> @MikeLevinCA @realDonaldTrump Good logic. Indeed relying on cleaner coal to assure electrical supply is exactly the same as  removing seat belts and facilitating lead poisoning.  Nobody can argue with the deep thinking behind your profound analogies.
1030967542746148864 2018-08-18 19:59:51 -0400 <RACRML1966> @realDonaldTrump Anyone that goes up against you according to you is a doing something wrong . Deflect much.
1030967541760446464 2018-08-18 19:59:51 -0400 <rhiltonbenchoff> @realDonaldTrump @FoxNews @seanhannity is FAKE NEWS!!!!
1030967540137316352 2018-08-18 19:59:50 -0400 <EndPayToPlay> @realDonaldTrump  https://t.co/KlfUeeNyXs
1030967535443763200 2018-08-18 19:59:49 -0400 <NEO90181869> @TheTawniest @BenNewman @TheRickWilson @realDonaldTrump These are tough times for sarcasm!
1030967534990839808 2018-08-18 19:59:49 -0400 <KC2YKN> If President @realDonaldTrump had a meeting w/#Putin informally like this the #MSM would go nuts. Germany: #Russian President Vladimir @PutinRF_Eng met with #German Chancellor Angela #Merkel at Gransee's Schloss Meseberg near #Berlin.  https://t.co/BjJcAHvHCL via @Ruptly  https://t.co/Wjp4vE0IjY
1030967534332387328 2018-08-18 19:59:49 -0400 <rb2442> @angie32191940 @omzmusic @realDonaldTrump @HillaryClinton trump has your donations in all of Omarosa's pockets.  Helping Black unemployment to it's lowest ever.
1030967533606764544 2018-08-18 19:59:49 -0400 <mstfromsu> And... We DO! @realDonaldTrump #Swamp
1030967533195673601 2018-08-18 19:59:49 -0400 <BrandonHenrichs> @izacarias1969 @Free_Media_Hub @realDonaldTrump Heres the difference liberals have nothing but accusations. Republicans and watch dogs have actual facts supported by multiple sources and government documents gained through court. Tell me why @JudicialWatch and @SaraCarterDC have shown more evidence of collusion 1/2
1030967532730109952 2018-08-18 19:59:48 -0400 <jenmart1> @JerryFalwellJr @realDonaldTrump Good Lord, I don’t act like him!  And if you do, Sir, you are no man of God!
1030967531270545408 2018-08-18 19:59:48 -0400 <smileburg> @realDonaldTrump Donald tRump of the Executive Office is in legal jeopardy. It’s astonishing that he’s still in office. His family’s bank acct is getting fatter &amp; fatter bc of Rep MoC turning a blind eye 2the illegal shenanigans his family is peddling. He doesn’t disclose his taxes. #Impeach45
1030967530477768704 2018-08-18 19:59:48 -0400 <Bar0n_TheGrey> @joeynotes1 @walterowensgrpa @realDonaldTrump Joey notes, Walter is a satire account.
1030967528963678208 2018-08-18 19:59:48 -0400 <YesWeCan4Us> @MikeLevinCA @realDonaldTrump Trump Loves #Asbestos So Much His Face Is Being Used To Sell It. He's what you could call an asbestos truther which one #Russian asbestos company is using to their advantage, marketing their products with the president's face.  https://t.co/CWaYjEr3f0 @allinwithchris #TrumpRussia
1030967527948656640 2018-08-18 19:59:47 -0400 <SeanSAR0311> @dreamyiis @larryelder @realDonaldTrump We're not talking about weed here. We're talking about burglaries and robberies and violent crime. The only time when weed convictions come into play as whenever someone happens to have it on them when they are getting busted for a bigger offense and it is just tacked on as well.
1030967523158712320 2018-08-18 19:59:46 -0400 <themrslarkins> @realDonaldTrump The last time I watched MSNBC it reported that you were elected president. I quit watching. So glad to know it was fake!
1030967522445672450 2018-08-18 19:59:46 -0400 <TerriDelCampo> @realDonaldTrump @FoxBusiness What about the fake news propaganda campaign you hired Robert Mercer to initiate? Hmmm? Your mistake is thinking the American people are completely stupid. Apparently only half of the country (if that many) got snowed.
1030967521724260352 2018-08-18 19:59:46 -0400 <Famester26> @EmmaTheAmerican @TerryF975 @ThePresObama @realDonaldTrump Well with Hussein, it is VERY difficult to tell what is real , fake and falsified.
1030967521568948229 2018-08-18 19:59:46 -0400 <joeseaaa> @realDonaldTrump yo turn off 232’s Medical Batallions wifi real quick
1030967521208229888 2018-08-18 19:59:46 -0400 <catcatdean> @realDonaldTrump Just your mistakes. And there’s more than can be counted. Jail. Orange jump suit. #TrumpCrimeFamily
