1167587803661651969 2019-08-30 19:59:59 -0400 <animalthe> @realDonaldTrump Nice to see toddlers going to camp
1167587802441232392 2019-08-30 19:59:59 -0400 <DickRose44> @realDonaldTrump @GreggJarrett Pretty sure if your guy Barr thought charges against Comey would stick, it would have happened. Tough to trust either one of you, but on this one I'll go with Barr.
1167587801988247552 2019-08-30 19:59:59 -0400 <ahernandez85a> @realDonaldTrump @ByronYork @LouDobbs  https://t.co/yYgBQKmq3f
1167587801950539782 2019-08-30 19:59:59 -0400 <RitaBway2B> @realDonaldTrump @GreggJarrett Coulda,shoulda, wouda. 😭😭😭😭
1167587801099112448 2019-08-30 19:59:59 -0400 <defiantacorn> Dumbest President ever.  How does everyone not see this???  I just don’t get the willful blindness that the MAGA supporters have.  He isn’t fit for office on so many different levels.  Come on 2020!  @realDonaldTrump this is about you.
1167587800184754176 2019-08-30 19:59:58 -0400 <Hellion_Gypsy> @JulianSvendsen @realDonaldTrump Hard no  https://t.co/6kqFQt1vxo
1167587799471546368 2019-08-30 19:59:58 -0400 <AnonAquila> @littledeekay @realDonaldTrump 😂 Just... SEETHING!   🏹🏴🎯  https://t.co/btFmNz5M5D
1167587798951632901 2019-08-30 19:59:58 -0400 <DamonMPA> @realDonaldTrump @GreggJarrett Why wasn’t he charged then? Maybe you are overstating the case? I mean, you do call these two geniuses.  https://t.co/PydknMmH5m
1167587796153970688 2019-08-30 19:59:57 -0400 <BornBoston14> @WhiteHouse @realDonaldTrump Sure it will.
1167587795315171331 2019-08-30 19:59:57 -0400 <monsterlab> @realDonaldTrump @GreggJarrett If you cared about the #HurricaneDorian2019 impact as much as Comey and Hillary’s emails, we’d be in great shape.
1167587794719584256 2019-08-30 19:59:57 -0400 <WonkBalrog> @RepMarkMeadows @realDonaldTrump @Jim_Jordan Please do, so we can all see what a waste of time and money such a hearing would be.  You and Jim posted this because you know that based on the IG’s report  a hearing would be stupid.
1167587793591308290 2019-08-30 19:59:57 -0400 <leonalioness6> @JeffreyGuterman @realDonaldTrump  https://t.co/3EhUSlRndr
1167587792727105536 2019-08-30 19:59:57 -0400 <now_justice> @realDonaldTrump I doubt another incompetent will be put in office by a russian who has the treasonous one by his testicles blackmailing for loans that were given! No one tells lies everyday like you. No one obstructs like you. No one has so little accomplished they have to create villains as U!  https://t.co/Foh5uoNMJm
