1185707197398806529 2019-10-19 19:59:59 -0400 <susurrriot> @realDonaldTrump  https://t.co/DO7QJSgVOe
1185707196597886976 2019-10-19 19:59:59 -0400 <Elle4Trump> @KellyMacDonal13 @realDonaldTrump Schiffering–Cold!
1185707195465457671 2019-10-19 19:59:59 -0400 <Chris32534266> @NoPhased @MatthewJshow @realDonaldTrump The Dems with help from CNN implanted a chip in his brain that made him say that, or maybe he was telling the true, Trump got angry and now he has to backtrack and Trump can now point to the reversal.
1185707193242390528 2019-10-19 19:59:58 -0400 <ialwyz1der2> @Cisco7819 @TeamTrump @realDonaldTrump My family members have been in harms way for allies! You'll have to ask President Obama why he didn't remove them. I just assumed he had a soul &amp; wouldn't leave friends to die. Benghazi was a tragedy that could have been avoided, but it was not the doing of any one person.
1185707193024307201 2019-10-19 19:59:58 -0400 <pamsedge> @realDonaldTrump  Hahahahaha
1185707192424394752 2019-10-19 19:59:58 -0400 <SweetGeekling> @PerfumeFlogger @DemWrite @JustinTrudeau @realDonaldTrump I mean, he should skip it anyway, unless he likes bed bugs.
1185707191313018880 2019-10-19 19:59:58 -0400 <53SkimmerB> @RepDanCrenshaw @realDonaldTrump @SteveScalise I believe GOP needs to re-evaluate their priorities and start putting country before party.  #ImpeachmentIsComing
1185707187982737408 2019-10-19 19:59:57 -0400 <blackbird9z> Well if G7 actually is at TRUMP DORAL I hope everyone gets bitten by bedbugs and SUES @realDonaldTrump aka #IdiotInChief #EmolumentsClause
1185707187810816000 2019-10-19 19:59:57 -0400 <vacationlvr> @realDonaldTrump You’re the sleezebag in this scenario!
1185707185185181699 2019-10-19 19:59:56 -0400 <amnonzohar> @realDonaldTrump The world is lugging at your ignorant stupidity.
1185707185080279040 2019-10-19 19:59:56 -0400 <GatsMomm> @realDonaldTrump  https://t.co/Zzos0IAnOV
1185707184769982464 2019-10-19 19:59:56 -0400 <cindrianna> @Elliott68150257 @PilotTroy @Blue2Reaganite @ingraham_art @cmac293 @puptowngal @HRorshach @Vikadan11 @DavidWaddell5 @WhiteHouse @VP @realDonaldTrump @TexasPetRescue @Ash_Pro1 @BFT_Podcast @MarkYoungTruth @ClintEastwoodLA Can't wait to see!!♥️♥️♥️
1185707183327137792 2019-10-19 19:59:56 -0400 <Chileman55> @realDonaldTrump They are starting to stick together! AGAINST YOU!! They are tired of your CHILDISH SHITSHOW!!
1185707182278479873 2019-10-19 19:59:56 -0400 <vipscafe25> @realDonaldTrump @DonaldJTrumpJr @TrumpWarRoom
1185707181099892736 2019-10-19 19:59:56 -0400 <GlennaThill> @GeraldoRivera @realDonaldTrump @TulsiGabbard Whatever
1185707180160249856 2019-10-19 19:59:55 -0400 <julie_smythe> @SocialMovement5 @MSignorile @realDonaldTrump Biden got rid of a corrupt prosecutor even republicans wanted out.  Don wanted them to chase bs conspiracy theories to take down a pollical opponent.  Two different things. One isn't illegal.
1185707179090665472 2019-10-19 19:59:55 -0400 <april_hamons> @carnojoe @w_terrence @realDonaldTrump  https://t.co/WqlWrWoFRG
1185707176494391296 2019-10-19 19:59:54 -0400 <MasterClassMill> @EdwardAMoncada @realDonaldTrump You are literally a POTUS replying machine...His most active follower
1185707175420813312 2019-10-19 19:59:54 -0400 <SusanLBlock1> @realDonaldTrump I heard him and that’s not what he said.
1185707173550153733 2019-10-19 19:59:54 -0400 <impactmany> @RandPaul @realDonaldTrump Disgusting! Guess that’s what passes for civility for liberals. You can thank the Ocasio-Cortez’s and Tlaib, and Omar’s for this brand of civility.
1185707171461226496 2019-10-19 19:59:53 -0400 <Wct1964> @DDSweeney_sp @OMGno2trump @realDonaldTrump Trump 2020!!!!
1185707170723176455 2019-10-19 19:59:53 -0400 <pat3871> @msenicaracing @realDonaldTrump  https://t.co/SB6Z0yc9mS
1185707170412847104 2019-10-19 19:59:53 -0400 <sheppard_coral> @AmbassadorRice @billmaher @realDonaldTrump Your regime is on to coup d'etat no.3 You have no shame. The propaganda arm of Obama &amp; the Democrats have tried for 3 years to oust. Now a kangaroo court impeachment going on in a Republic. Trump winning in 2016, set you all off. Disingenuous &amp; corrupt. Scared stiff of AG Barr.
1185707170173804544 2019-10-19 19:59:53 -0400 <Syd_Syko> @CNNPolitics Hello 911 Yes, I'd like to report a whiner for making too much damn noise. I'm sorry, who is the whiner in question? One of @realDonaldTrump 's lackies whining on twitter, oh wait, nevermind I can just block him!
1185707169125191681 2019-10-19 19:59:53 -0400 <MaxMills_22> @FrankDangelo23 @realDonaldTrump Still your president 😂
1185707167917203462 2019-10-19 19:59:52 -0400 <BarbaraSchind10> @realDonaldTrump Yeah right go tell somebody else's story
1185707166918856704 2019-10-19 19:59:52 -0400 <maualibar> @kmmrs101 @AngelaBelcamino @realDonaldTrump You are putting words in my mouth.  I didn't say that as you well know.  I said that they have a VOICE, very different to a vote.  Stay real!  Thank you for apologising about the TV channels I watch.  Nice of you to admit a mistake!
1185707165975273472 2019-10-19 19:59:52 -0400 <nezzer59> @realDonaldTrump Sure you did
1185707164763131905 2019-10-19 19:59:52 -0400 <rawilson59> @realDonaldTrump
1185707164175720449 2019-10-19 19:59:51 -0400 <Tishash231> @realDonaldTrump Bull!!!
1185707161730650112 2019-10-19 19:59:51 -0400 <cwolmak> @realDonaldTrump 🤣🤣🤣So in other words, don't believe what you heard and saw.
