1080977104035037184 2019-01-03 18:59:59 -0400 <AllianceAllium> @realDonaldTrump #TrumpShutdown #TrumpShutdown #TrumpShutdown #TrumpShutdown #TrumpShutdown #TrumpShutdown #TrumpShutdown #TrumpShutdown #TrumpShutdown #TrumpShutdown #TrumpShutdown #TrumpShutdown #TrumpShutdown #TrumpShutdown #TrumpShutdown #TrumpShutdown #TrumpShutdown #TrumpShutdown
1080977102562906112 2019-01-03 18:59:59 -0400 <PaulMcquillen> @SheriffClarke @realDonaldTrump Actually that is for personal protection- protective custody!
1080977101350625281 2019-01-03 18:59:59 -0400 <JerryMander16> @PaulLeeTicks thank you for this @realDonaldTrump #TrumpResign #TrumpShutdown #WallsDontWork  https://t.co/qdyUm5DAXM
1080977099807248385 2019-01-03 18:59:58 -0400 <PaulHartNYC> @Michael06540620 @TerriFuller19 @realDonaldTrump Trump's plan to make healthcare more expensive for people fighting cancer is unacceptable.
1080977098523795456 2019-01-03 18:59:58 -0400 <wordsanddeeds2> @mitchellreports @NancySinatra @realDonaldTrump Trump thought he could up-stage Nancy Pelosi.
1080977096334340097 2019-01-03 18:59:58 -0400 <cubfan0217> @realDonaldTrump “I am proud to shut down the government … I will take the mantle. I will be the one to shut it down. I’m not going to blame you for it.”  There are tapes.
1080977095759724545 2019-01-03 18:59:57 -0400 <BillySa30930609> @jeffmason1 @maggieNYT @PressSec @realDonaldTrump STOP TALKING ABOUT THIS !! NOBODY CARES .. #Nooxygen ...ENOUGH !!!
1080977095721971717 2019-01-03 18:59:57 -0400 <ViPuhstushin> @PeoplesCourt79 @realDonaldTrump They didn't even get that right; it's college. Like, "Boston University" is all over this thing. Which, for the record, makes her seem even more awesome.
1080977094300106752 2019-01-03 18:59:57 -0400 <BlondeClown323> @realDonaldTrump #ForTheWall
1080977093226315777 2019-01-03 18:59:57 -0400 <SimplyBri40> @msaltzman65 @realDonaldTrump 😂😂😂😂😂😂😂😂
1080977092651696130 2019-01-03 18:59:57 -0400 <Bevlovesevery1> @SenSchumer @LauraLitvan @realDonaldTrump Not one penny @SenSchumer @SpeakerPelosi @tedlieu @RepAdamSchiff NOT ONE PENNY!!!!!
1080977091464781824 2019-01-03 18:59:56 -0400 <Nean1967> @realDonaldTrump  It actually looks better than the mop that is on there now!
1080977091057864710 2019-01-03 18:59:56 -0400 <YesThatSamPoore> @realDonaldTrump You have been told so many times about tariffs. Tariffs are paid by the person that buys items with tariffs. If you tell a foreign entity that they have to charge 20% more for their cars, the American citizens have to pay 20% more for that car so fewer people buy that car.
1080977090323861504 2019-01-03 18:59:56 -0400 <ResistActivist> THIS IS JUST REALITY STAR @realDonaldTrump GRANDSTANDING... GRABBING HEADLINES.... THE LONGER HE WAITS TO END THE SHUTDOWN THE MORE FOOLISH HE WILL APPEAR.
1080977090219044864 2019-01-03 18:59:56 -0400 <jstfknruun> @realDonaldTrump  https://t.co/ryMVj2qbYf
1080977089547907072 2019-01-03 18:59:56 -0400 <DavidSalt4> @realDonaldTrump @SenateGOP @HouseGOP @SenateDems @HouseDemocrats ...nice job assholes...national debt up $2 Trillion in 2 years...this is due to the tax bill you all passed!
1080977088776069120 2019-01-03 18:59:56 -0400 <MaryRoseParkman> @Joebny44 @brianoloughlin_ @teacheconomics @JeffreyGuterman @realDonaldTrump @BarackObama Oh and DRUMPFy “only hires the best people” 😂 The hits keep coming @realDonaldTrump   The law firm, Klafter &amp; Burke, represented the high-rise tower that bears President Donald Trump's name.  https://t.co/Om7GKdtmNO
1080977088155287552 2019-01-03 18:59:56 -0400 <DeadManOnAStick> @realDonaldTrump Well, Don, if you stopped Presidentially harassing Democrats and started doing your job, maybe more could get done.  #PresidentalHarassment #Presidementia
1080977087937290240 2019-01-03 18:59:56 -0400 <Bernadette5202> @realDonaldTrump 2,000,000,000,000
1080977087798960128 2019-01-03 18:59:55 -0400 <JoGonx> Watching MSM continue to hammer that the Dems have to compromise to end the shut down is infuriating. There have been 3 bills that Dems agreed to Mike Pence &amp; Mulvaney ok'd the most recent two .@realDonaldTrump reneged on his agreement. How about you hold him to the same standard
1080977087274442752 2019-01-03 18:59:55 -0400 <cmj2112> @realDonaldTrump It’s COMMON SENSE to build a wall for the security of our nation. A majority of Americans want the WALL. Thank you for taking the hard stance that most gutless republicans have avoided for years.
1080977085257129986 2019-01-03 18:59:55 -0400 <NancyLStudio> @PerrinJule @realDonaldTrump Your Treasonous Toddler in Chief is in full blown code orange panic tantrum mode. He knows he’s going down and what you should know is he will do ANYTHING TO DISTRACT that from coming out as in starting a war. That is the most dangerous thing going on in our country. Wake up 🤬
1080977084762255361 2019-01-03 18:59:55 -0400 <fohtohgirl> @mitchellreports @NancySinatra @realDonaldTrump If questions aren’t answered at a briefing, did the briefing even happen?
1080977084476985345 2019-01-03 18:59:55 -0400 <ford_corey> @realDonaldTrump #TRUMP2020
1080977081922699264 2019-01-03 18:59:54 -0400 <thamilton714> @realDonaldTrump In your own words you said the shutdown is only happening because it will make you “look bad” if you compromise.   Thousands of people are not being paid because you are afraid it will make you “look bad” if you don’t get X amount of dollars for the wall.  #TrumpResign
1080977078349115392 2019-01-03 18:59:53 -0400 <dc11well> @rabuckg @realDonaldTrump @anntensity It's time for the Full Monty.
1080977076746969089 2019-01-03 18:59:53 -0400 <TNRedneck128> @katpaw13_kay @bocavista2016 @realDonaldTrump  https://t.co/rInmvEstpD
1080977076394446850 2019-01-03 18:59:53 -0400 <lwo123> @realDonaldTrump Video looks like your rallies
1080977075941429249 2019-01-03 18:59:53 -0400 <tlouisa999> @ProudResister @realDonaldTrump #ForThePeople 🙂
