1215060614948818944 2020-01-08 18:59:59 -0400 <goldiebelle100> @tedlieu @realDonaldTrump This is infuriating!
1215060613988257795 2020-01-08 18:59:59 -0400 <JoyceBruns> Thank you @RepDanCrenshaw and thank you @realDonaldTrump for finally saying “enough” to the rogue Iran regime. #AmericaFirst 🇺🇸
1215060610250989568 2020-01-08 18:59:58 -0400 <BordersTommy> @IdahoGOP, do you approve of @realDonaldTrump lying to America a number of times during his 10 minute speech on Wed. Jan 8, 2020?  We've never heard your protests about his previous 18,000+ lies but today is a new day and the correct time to say something, right @RepRussFulcher
1215060608917344263 2020-01-08 18:59:58 -0400 <BellaRo03383206> @WhiteHouse @realDonaldTrump  https://t.co/o2IkioZ8rZ
1215060602504339461 2020-01-08 18:59:57 -0400 <13_Goose> @WhiteHouse @realDonaldTrump  https://t.co/menP9n10Ii
1215060602302992386 2020-01-08 18:59:56 -0400 <greenbean950> @realDonaldTrump They don't want to be dominated by you or anyone else. Bring our legions home!
1215060601610723328 2020-01-08 18:59:56 -0400 <gemworx> @realDonaldTrump lets kick some ass and make some money
1215060601585709057 2020-01-08 18:59:56 -0400 <PamWolf12896175> @IvankaTrump @realDonaldTrump  https://t.co/SehKtjMIh2
1215060595894095874 2020-01-08 18:59:55 -0400 <JimmyboyAlvarez> @WhiteHouse @realDonaldTrump  https://t.co/Z9Zw3Jhm5e
1215060593708871681 2020-01-08 18:59:54 -0400 <mariangst_> @deltinonguema @realDonaldTrump @gzzzzzzzu
1215060592832262145 2020-01-08 18:59:54 -0400 <Bellerose8227> @StateDept @realDonaldTrump His tenure could be only a couple of more months. or 12 months or (heaven forbid) 60 months. I don't think Iran could get a bomb that quickly unless they get one from @realDonaldTrump love letter companion in North Korea.
1215060588352532480 2020-01-08 18:59:53 -0400 <sfmjm> @Fahrenthold @Ptmurf1016 @realDonaldTrump We’re a gnat’s eyelash away from absolutely zero accountability or transparency.
