1095472619292368898 2019-02-12 18:59:59 -0400 <larryL1952> @realDonaldTrump  https://t.co/bRFAtDKwXz
1095472618763968512 2019-02-12 18:59:59 -0400 <tellerdiverita> @JeffreyGuterman @realDonaldTrump @MSNBC  https://t.co/yHkRhbacsl
1095472618260566017 2019-02-12 18:59:59 -0400 <FreiheitKrieger> @realDonaldTrump  https://t.co/hW7nEmwH3y
1095472617543221248 2019-02-12 18:59:59 -0400 <Ace_Yahusha> @realDonaldTrump @MSNBC Of course he’s innocent ! Was everyone really believing Hilary when she said Russia is involved!? She’s a crook, and she was the first to say Russia was involved. Shame on everyone that believed her lies. I always knew President Trump was here telling the truth!
1095472616964448256 2019-02-12 18:59:59 -0400 <hcarreola> hey @realDonaldTrump @Pontifex @POTUS @POTUS44 we need a #VoluntaryGlobalDeathLottery to solve climate change. #Mlk had a dream; unfortunately dreams are never ever real.  We, Are all just #slaves banging away at a rock without purpose. Now, is the only time that matters. #evolve  https://t.co/4xlK9JmAcW
1095472616389828608 2019-02-12 18:59:59 -0400 <chickydeedeedee> @ChatByCC @realDonaldTrump Sycophant sheep! Give up the mascaraed. Your King &amp; you are lost souls, if you even have a soul. Killing the planet at will &amp; bringing back the most racist, fascist ruler in the world. Great job, lady. POTUS will be in handcuffs by the end of the year. Watch movie Active Measures
1095472616201224192 2019-02-12 18:59:59 -0400 <Taniquetilz> @realDonaldTrump
1095472614070501376 2019-02-12 18:59:58 -0400 <LFrisling> @JeffreyGuterman @realDonaldTrump Stop pushing ❤️
1095472613265166336 2019-02-12 18:59:58 -0400 <Leenich> @RestoreRValues @acspiess @RyanHillMI @realDonaldTrump No conspiracy.
1095472612904501248 2019-02-12 18:59:58 -0400 <MKRIZSA50> .@realDonaldTrump
1095472612594061312 2019-02-12 18:59:58 -0400 <mickey17> @edw46753525 @WhiteHouse @POTUS @realDonaldTrump Lol, I do especially when it comes to little men, edw. How did you know?  https://t.co/dJhrgwwytZ
1095472612128497664 2019-02-12 18:59:58 -0400 <hubbajam143> @realDonaldTrump I guess your friends will not be giving you paybacks for contracts to install the wall that Mexico will pay for. "Who's gonna pay the for wall" campaign promise broken.
1095472611990093824 2019-02-12 18:59:58 -0400 <WOKE_LATCHKEY> @EdKrassen @realDonaldTrump @MSNBC Which one is you?  https://t.co/DVLm8T5t1F
1095472611981545472 2019-02-12 18:59:58 -0400 <TruntBuster> Fuck you @realDonaldTrump ...   Screw democracy. it can’t be more important than having a planet... Throw that incompetent idiot out of office...
1095472611545501698 2019-02-12 18:59:58 -0400 <SunV0lt> @realDonaldTrump I literally can’t believe that people buy your BS.  It’s remarkable.  You’re so full of it your eyes are brown.
1095472610773737472 2019-02-12 18:59:57 -0400 <Rodneylr> @Pransis40173863 @Lrihendry @realDonaldTrump @syoka68 @GreggJarrett You also are not in the USA, are ya?
1095472610165559296 2019-02-12 18:59:57 -0400 <Skoot62> @EdKrassen @realDonaldTrump @MSNBC Zzzzzzzzzzzzzzzzzzz
1095472609586606080 2019-02-12 18:59:57 -0400 <JWeber988> @realDonaldTrump @MSNBC That's what Burr think lol
1095472609523843072 2019-02-12 18:59:57 -0400 <Sanrenkay> @thehill I think we'll trust our own eyes, seeing as how the media will grasp anything to bash @realDonaldTrump
1095472608122818560 2019-02-12 18:59:57 -0400 <AriStranzl> @realDonaldTrump @MSNBC #MuellerTime
1095472607959416833 2019-02-12 18:59:57 -0400 <cooke4justice> @krassenstein @realDonaldTrump Please just let him sign the dam thing b4 you go off on him getting had
1095472606705303552 2019-02-12 18:59:56 -0400 <RayMan962> @realDonaldTrump 55 miles won't cut it, Captain Caveman
1095472605111484417 2019-02-12 18:59:56 -0400 <Hyza87> @realDonaldTrump I bet you pronounce it para-ME-ter
1095472604591341570 2019-02-12 18:59:56 -0400 <KimboDiddy> @realDonaldTrump @MSNBC Relax. Don't worry. Mueller has nothing. It's all decided by the Senate Intel Cmte.  &lt;--Do you hear how ridiculous that sounds? But, go ahead and relax.
1095472604016590848 2019-02-12 18:59:56 -0400 <Stvzbnk> @realDonaldTrump @MSNBC . The #MuellerInvestigation is a #WitchHunt and Political #HitJob. . This is what we've been Saying All Along.
1095472603794472960 2019-02-12 18:59:56 -0400 <MICHELLEBUDZ> @realDonaldTrump @MSNBC You do realize that they are leaving it to Mueller to go on to other issues? 😃
1095472603727183872 2019-02-12 18:59:56 -0400 <jaylsisak> @drnflnbamlbnhl @realDonaldTrump And the last time I checked a woman’s right to choose is still legal. It has been for nearly 50 years.
