1027343698894495744 2018-08-08 19:59:59 -0400 <clewis7711> @ChatByCC @realDonaldTrump Soon.  https://t.co/azVdBP7N8P
1027343693433528320 2018-08-08 19:59:58 -0400 <chasingchad> @realDonaldTrump And your definition of great?
1027343687381147648 2018-08-08 19:59:56 -0400 <PenAD486> @ChipandHamhocks @rtyson82 @RealCandaceO @realDonaldTrump Oh, FFS! What is it with you people who keep throwing around that Sen. Byrd KKK was Hillary's friend shit as if the two parties hadn't completely exchanged platform planks and ideologies...Civil War/Civil Rights? This Republican Party is a long way from the party of Lincoln.
1027343684373819393 2018-08-08 19:59:56 -0400 <ProfsrChaos> So @MayorLevine used pictures of illegal immigrants in cages that were taken in 2014 under Obama and blames @realDonaldTrump. Philip levin is a liar.
1027343683186827264 2018-08-08 19:59:55 -0400 <jerrycutt63> @mike_pence @LenaEpstein @realDonaldTrump Hopefully you two loons will be indicted soon
1027343682683457537 2018-08-08 19:59:55 -0400 <ElleBoroughs> @realDonaldTrump Hopefully you can't swim.
1027343681714454528 2018-08-08 19:59:55 -0400 <deborahkemp3> Trump swamp   @POTUS @realDonaldTrump @IvankaTrump  @FLOTUS @SpeakerRyan @SenateMajLdr
1027343681408385024 2018-08-08 19:59:55 -0400 <jilljillvccrc> @realDonaldTrump you say you don’t want to get involved with meuller inv. But why is your DOJ not reopening IRS,why aren’t they cooperating with judicial watch,why is your DOJ protecting the person you promised to lock up?Your supporters need to stand up to you 2020 depends on it
1027343680120807430 2018-08-08 19:59:55 -0400 <PatriotHuth> @recipes25161 @merrougemayor @realDonaldTrump Bot
1027343679193677824 2018-08-08 19:59:54 -0400 <dwaynecobb> @GOP GOP(R)Trump's Jared Kushner Reportedly Ordered Article About Adam Silver to Be Deleted  @realDonaldTrump @GOP     https://t.co/miQhoGElqt
1027343678073921537 2018-08-08 19:59:54 -0400 <colleenkelsey93> @SoulStealer25 @realDonaldTrump Obese as hell
1027343677155409921 2018-08-08 19:59:54 -0400 <trashytrashrat> @GOP @realDonaldTrump Like the dozens of Americans he hires at mar-a-lago...oh, wait, no he hires immigrants through a special waiver that he gives himself...
1027343670683435008 2018-08-08 19:59:52 -0400 <ichhassedas> @RealCandaceO @realDonaldTrump candace ! you were Brilliant!!!!!!! well said!!!! And it needs to ba said much more.......
1027343670297669634 2018-08-08 19:59:52 -0400 <kaiser_cameron> @realDonaldTrump Red stain.
1027343664857669632 2018-08-08 19:59:51 -0400 <downtheline11> @albanyconserv @HopefulGardenr @pattylee616 @AynRandPaulRyan @realDonaldTrump 2) and conservatives answer each time.... Nixon, Reagan, Bush 1, Bush 2, and Drumpf... great track record there.. u should feel proud... you have really showed us.!
1027343663825920001 2018-08-08 19:59:51 -0400 <annieb15179314> @realDonaldTrump Most of “the people” cannot stand you.
