1037490560620277760 2018-09-05 19:59:59 -0400 <Edelfabrik> @realDonaldTrump #FailingFoxNews and #WinningNYT
1037490560188198912 2018-09-05 19:59:59 -0400 <lisaamurphy> @realDonaldTrump National security purposes?  Crazy House indeed!
1037490560141946880 2018-09-05 19:59:59 -0400 <2catzz> @realDonaldTrump Yes, Mueller’s report will define how you committed treason.  I know it’s business as usual for you but working with the Russians to get elected is a crime to those of us who believe in the rule of law.  #Impeach45
1037490559995326464 2018-09-05 19:59:59 -0400 <ASCOTT64> @tedlieu @realDonaldTrump  https://t.co/gJM0h8VnSB
1037490559470977025 2018-09-05 19:59:59 -0400 <kathymulm> @realDonaldTrump Off the rails.
1037490559169032197 2018-09-05 19:59:59 -0400 <ChasingGeminis> @realDonaldTrump Somebody is triggered 😂😂  https://t.co/oA1Ny3wcwu
1037490558250491905 2018-09-05 19:59:59 -0400 <PDontno> @DavidCayJ @realDonaldTrump @latimes In your book "The Making of Donald Trump" you said his grandfather Friedrich lied on his application for citizenship, can an argument be made that Donald is an illegal?
1037490558212685824 2018-09-05 19:59:59 -0400 <maggiemae802> @realDonaldTrump  https://t.co/fwYpftxwUh
1037490557688446977 2018-09-05 19:59:59 -0400 <lexantigua> @realDonaldTrump Very possible.Mueller will let you know
1037490557076074503 2018-09-05 19:59:59 -0400 <DumpTheTrump116> @realDonaldTrump Your reality TV world is collapsing in around you.  You are derelict, inept and inconsequential (all words you can ask your staffers to look up).  Mueller is showing SYMPATHY by not making you perjure yourself in direct testimony.  The end is near...#BlueTsunami2018  https://t.co/JOtOiTO7D1
1037490556631375872 2018-09-05 19:59:59 -0400 <DeanDCC01> @dmcdowell727 @JacobAWohl @realDonaldTrump I think it's good. The GOP was sneakily creating problems for this country since Reagan...least Trump is making it clear what the party now stands for...and it ain't pretty...
1037490556497096705 2018-09-05 19:59:58 -0400 <anomoleez> @realDonaldTrump Also. LIES.
1037490556291690496 2018-09-05 19:59:58 -0400 <BookHoe1994> @realDonaldTrump  https://t.co/c8MWae3OtA
1037490555050049536 2018-09-05 19:59:58 -0400 <tumbleweeds666> @realDonaldTrump Woodward's tapes exist.
1037490554974740480 2018-09-05 19:59:58 -0400 <ExtraSwiss> @Cr1sM87 @Charalanahzard @realDonaldTrump BURSITIS
1037490554400133123 2018-09-05 19:59:58 -0400 <markrector721> @chelywright @nytimes @realDonaldTrump @PressSec Pure fiction.
1037490553758277632 2018-09-05 19:59:58 -0400 <WHarris9215> @cookmichaelv13 @charliekirk11 @realDonaldTrump If you do your job well what’s the hurry if your boss chooses to wait a month or two to pay you. You don’t look good grasping at straws. Good day!
1037490553720647687 2018-09-05 19:59:58 -0400 <dmnordby> @realDonaldTrump  https://t.co/6ipEiM7595
1037490553334784000 2018-09-05 19:59:58 -0400 <DMM8460> @realDonaldTrump 😂😂😂😂
1037490553267445760 2018-09-05 19:59:58 -0400 <lizzzyf> @JacobAWohl @realDonaldTrump Hahahahahahahahaha
1037490552831455232 2018-09-05 19:59:58 -0400 <SteelersVII> @realDonaldTrump No 🤡 he doesn’t it’s all in you small head.  https://t.co/ZPAnQFMXDH
1037490552613171201 2018-09-05 19:59:58 -0400 <oodiesmith> @realDonaldTrump Just when I think Trump couldn't make a more embarrassing public ass of himself he loses it more spectacularly.
1037490552399224832 2018-09-05 19:59:57 -0400 <m3bl4kk4t> @ColSand42 @realDonaldTrump and when asked about it, donald held up his sock puppet and mouthed.."fake news"
1037490552378458120 2018-09-05 19:59:57 -0400 <DavidDennison45> @realDonaldTrump ALMOST!  https://t.co/5n90zLQeln
1037490552328081408 2018-09-05 19:59:57 -0400 <tosika75> @ChristyLavalle3 @RaeJMK @RadeonRebel @JulieAnnSilver @realDonaldTrump Maybe he's a hooker? I know a lot of them trumplings are on the down low.
1037490552000966656 2018-09-05 19:59:57 -0400 <IdioticAni> @realDonaldTrump Hotel? Trivago.
