849411256146509824 2017-04-04 19:59:59 -0400 <lorelilee18346> @realDonaldTrump So . . . . It's your problem now. What are you going to do? @jaketapper @donlemon @AC360
849411254456385539 2017-04-04 19:59:59 -0400 <chicfire451> .@politico @maddow @MSNBC @Lawrence @ChrisCuomo @PressSec @thehill @Slate @BrookeBCNN @nytpolitics @foxnewspolitics @LisaHauser8 @michele86455429 @maggieNYT @cassandra17lina @MrGoalie35 @tgreene319 @realDonaldTrump It's like the Cubs reminding us every day that they won the World Series. He feels like a big man by blaming Obama, Hillary &amp; anyone else.
849411251213967360 2017-04-04 19:59:58 -0400 <dianeeldredge99> @realDonaldTrump Now is when America is Supposed to Stand Strong &amp; #DoTheRightThing! #Obama was a Coward! What say ye DT? #Syria #Assad  https://t.co/odZnzlfsLW
849411247523201025 2017-04-04 19:59:57 -0400 <jmichnio> @realDonaldTrump @WhiteHouse That's right @POTUS! Get all the crooked hands out of the pot! Progress is what I see in our future!
849411245103083521 2017-04-04 19:59:56 -0400 <GloriaF53055748> @williamlegate @realDonaldTrump He has enough dough to spread your bed if you even do that ,
849411242867478528 2017-04-04 19:59:56 -0400 <kingkoinz> But @realDonaldTrump you've been in office for a bit and haven't done shit...why blame @BarackObama  https://t.co/zSfiW0UzX9
849411242783633408 2017-04-04 19:59:56 -0400 <Mivia1> @ColinKahl @puppymnkey @realDonaldTrump Is he getting ready to lift the sanctions against putin? Sure sound like it and if it's true, WE MOST HIM AND NOT ALLOW HIM TO DO IT!
849411240451481600 2017-04-04 19:59:55 -0400 <jjauthor> And @realDonaldTrump is right again sad.  https://t.co/VXFFKAVH1k
849411229873565696 2017-04-04 19:59:53 -0400 <flresistance> Psst hey @realDonaldTrump   President Trump's Approval Ratings Just Hit Another Low - TIME  https://t.co/8FWbfEZ7hF
849411229584150528 2017-04-04 19:59:53 -0400 <suthrnlyts1> @dawnellemurray @realDonaldTrump The will of the people doesn't consist of New York and California.  Sorry to disappoint you.
849411226975301634 2017-04-04 19:59:52 -0400 <fzmichael> @realDonaldTrump @POTUS 34% approval sad #loosertrump @MSNBC
849411217340891137 2017-04-04 19:59:50 -0400 <kat_lemera> @ezlusztig @realDonaldTrump is like an 8 year old, it's never his fault. Never takes his reponsabilities. Lack of leadership and courage.
849411215642198016 2017-04-04 19:59:49 -0400 <wecanbanewforce> @gregcalvert @AlanMoote @HuntLlonch @VicBergerIV @nowthisnews @KellyannePolls @realDonaldTrump @DonaldJTrumpJr @Cernovich sadly but hopefully will grow up to no better
849411209317273600 2017-04-04 19:59:48 -0400 <desertmom> @ShepNewsTeam @realDonaldTrump As he should!!!!
849411207043964929 2017-04-04 19:59:47 -0400 <CindyTh77769494> @realDonaldTrump Know that's true!
849411200597274624 2017-04-04 19:59:46 -0400 <bichons123> @realDonaldTrump Distraction Donnie at it again
849411192959512577 2017-04-04 19:59:44 -0400 <MartinShinedlin> @DRUDGE_REPORT @realDonaldTrump the only question is if the FBI and/or Congress is willing to prosecute her.
849411187615961089 2017-04-04 19:59:43 -0400 <BoeSue> @joshgad This can't be happening... I have no words. I am so very sorry Syria @realDonaldTrump I am begging you to do something to help the innocent
849411186282168321 2017-04-04 19:59:42 -0400 <Kimbo704> @realDonaldTrump @FoxNews @FBI FAKE NEWS
849411184931590148 2017-04-04 19:59:42 -0400 <jsargent8458> #draintheswamp #draintheREALswamp @realDonaldTrump @POTUS @freedomcaucus @FoxNews @foxnewspolitics  https://t.co/QnCrIlCpWi
849411177205682184 2017-04-04 19:59:40 -0400 <CKLaughlin> It's all Obama/ Hillary's fault is not a foreign policy position @realDonaldTrump  https://t.co/y0F6iGUFzS
849411174474981376 2017-04-04 19:59:39 -0400 <Chachachewee> @EdWoodsonshow @MSNBC @KatyTurNBC @realDonaldTrump Says troll who lives w/ the bigger troll named @KeithOlbermann She's the same nutter that said DJT would harm journalists Not rt in the head
849411173787332609 2017-04-04 19:59:39 -0400 <LouisCario> @DrewScottsman @RitAnn @deal_waddy @campbell_kathya @dcexaminer @KellyannePolls @realDonaldTrump Getting my paid for speeches, lobbies, &amp; big business is also bad but let's not act like Trump is just trying to make the country great.
849411172256415746 2017-04-04 19:59:39 -0400 <cat_biancoli> @oliverdarcy @MattMackowiak @realDonaldTrump go back &amp; read your 2013 tweets-you didn't want him to do anything about Syria. Very inconsistent. So what r u going to do?
849411170406723586 2017-04-04 19:59:38 -0400 <Justadudedude> @jmpalmieri @AmbassadorRice @realDonaldTrump @FoxNews.    Are you really never mind you are!
849411166887718912 2017-04-04 19:59:38 -0400 <howcomhimiswear> @moonstoneowl @Cali_Deplorable @williamlegate @ElvisMikle @realDonaldTrump This was one of the signs we had made for #WomensMarchOnWashington and it was glorious.
849411165516177408 2017-04-04 19:59:37 -0400 <TheMusach> @Marilynmagoo @MGedatus @NBCNightlyNews @lesterholt @realDonaldTrump Except for ISIS, North Korea, Iran, China. More than enough power there to raise concerns.
