991104913307451392 2018-04-30 19:59:59 -0400 <Mey99147443> @realDonaldTrump What the heck?!
991104912208560128 2018-04-30 19:59:59 -0400 <kelemin_marijan> @realDonaldTrump All right.
991104910216183808 2018-04-30 19:59:59 -0400 <Esther_European> @ArizonaKayte @PhilMcCrackin44 @realDonaldTrump @bbusa617 @AnnaApp91838450 @bonniemurphy @alozras411 @KatTheHammer1 @GrizzleMeister @GartrellLinda @buzzman888 @gr8tjude   https://t.co/g6k999lWOO
991104908865646592 2018-04-30 19:59:58 -0400 <125Jeha> @rayprice23866 @realDonaldTrump @TT45Pac Obama:  "If you can arrange it, Mister President, Sir,  And, oh, by the way I don't eat pork."  Trump:  "Something tells me Barry, while your in prison your gonna begin ta like those big ole pork sausages."
991104907070472192 2018-04-30 19:59:58 -0400 <LeeStocker3> @realDonaldTrump Job well done Mr President keep up the great work!!!
991104904344285184 2018-04-30 19:59:57 -0400 <realTrumpClone> @cyberhexx @realDonaldTrump Oh, that opens up an entirely different can of worms! How DID she get that Einstein visa again? What WAS her extraordinary ability?  https://t.co/MVtg4MJZDZ
991104902393974786 2018-04-30 19:59:57 -0400 <CBrabstonovich> @realDonaldTrump The only embarrassing thing is you, turdball
991104901081128960 2018-04-30 19:59:56 -0400 <4AllSoulKind> @JoanneDavis @SaraCarterDC @realDonaldTrump @VP There is a reason I have never uttered his name.  https://t.co/NJbutpPb3O
991104900636594176 2018-04-30 19:59:56 -0400 <bttr_as1> @DonnaWR8 @realDonaldTrump The bot is back.  https://t.co/8JolZspzdL
991104900301017093 2018-04-30 19:59:56 -0400 <greg_spicuzza> @realDonaldTrump Ya, those sick kids and women are a real dinger to our way of life. Just stop
991104900024229889 2018-04-30 19:59:56 -0400 <IhabTs> @irishrygirl @realDonaldTrump LMFAO. Melania was issued an EB-1 "einstein" visa which is reserved for individuals with extraordinary talents in their field. Then she brought her parents over with that "chain migration" our POSOTUS conveniently criticizes others for.
991104896970653696 2018-04-30 19:59:55 -0400 <BettyBo423> @DrGroove74 @The_Trump_Train @realDonaldTrump   https://t.co/HU1OFs3Lrt
991104896169533440 2018-04-30 19:59:55 -0400 <MsCrystal6> @realDonaldTrump You really are accomplishing the unthinkable and not in a good way.
991104895360143360 2018-04-30 19:59:55 -0400 <david_kasperek> @wvjoe911 @realDonaldTrump @seanhannity Careful with any appearance reference or you'll piss off Mika, Maggie &amp; Andrea...
991104892977729537 2018-04-30 19:59:54 -0400 <mackette52> #NeverTrust   #NeverForgive   #NeverTrumpers   Especially RING LEADER #DOCUMENTEDliar @glennbeck   He DEMONIZED @realDonaldTrump supporters #nazi #racist #brownshirts and DARED TO QUESTION MY FAITH TO MY GOD   + we WERE listeners of #RodeoClown @glennbeck  https://t.co/x2w1Rlmz4M
