1004150876758466561 2018-06-05 19:59:59 -0400 <ICU4UandlikeU> @SebGorka @realDonaldTrump Is this a trick question DrG?
1004150874828988416 2018-06-05 19:59:59 -0400 <bagomixednuts> @The_UnSilent_ wow. @realDonaldTrump @nflcommish @NFLPA . I didn't often agree with Obama, but he is a Leader. Now we have a president that has gone out of his way - like a mean-spirited child - to disrespect @NFL players - not even attempting to truly understand WHY they are protesting.
1004150874028077056 2018-06-05 19:59:59 -0400 <krash619> I have zero sympathy. None. Zilch. Zip. Nada. @realDonaldTrump Suck it up, you brought this on yourself.  https://t.co/GzEojxyxR3
1004150873256267776 2018-06-05 19:59:59 -0400 <tsa44> @WhiteHouse @POTUS Some patriots that wont be bullied by the likes of @realDonaldTrump   https://t.co/M7iWPq9izt
1004150871679266818 2018-06-05 19:59:58 -0400 <UVa66> @kilmeade @SteveScalise @realDonaldTrump ...what? Have an organization commit to 80 members attending and then back down to a mascot plus 3, maybe? Give me a break! Not only the fans but the country expects and is entitled to so much more respect. Thank God team was disinvi
1004150871423213568 2018-06-05 19:59:58 -0400 <BirdlegsGary> @realDonaldTrump Okay President Hitler, sure thing.
1004150870697828355 2018-06-05 19:59:58 -0400 <annnogalo1977> @kilmeade @SteveScalise @realDonaldTrump Yes!!!!
1004150868076384256 2018-06-05 19:59:57 -0400 <RealTerrySmith> @NancyPelosi @realDonaldTrump @HouseGOP #NancyMustGo
1004150867908616198 2018-06-05 19:59:57 -0400 <AnonAmous111> @realDonaldTrump No Eagles players took a knee or stayed in the locker room during anthem last season  https://t.co/1nBlNjF59t via @CBSSports  As usual, #Trump is an ignorat fool and a liar.
1004150866755096576 2018-06-05 19:59:57 -0400 <tymonday> @realDonaldTrump  #FlyEaglesFly  Propaganda and the truth are polar opposites. One is built on nothingness, the other on solid rock. One is inaccurate. The other is inalienable. You are a sad individual. God bless what soul you have.  @Eagles fan since 1988
1004150863978553344 2018-06-05 19:59:56 -0400 <nanna14075> @TrueFactsStated @GavinNewsom @realDonaldTrump 's kiss of death. He spread his loser curse all morning. Hahahah
1004150861189165056 2018-06-05 19:59:56 -0400 <D3Demes> @Gerald_Anzano @USAF_Aviator @Jack0Spades @Ma__Deuce @Cartaburner @RibmanTee @USMC_Resistance @realDonaldTrump So sorry they still makes you anonymous
