934934792386306054 2017-11-26 18:59:59 -0400 <Jennife26479489> @realDonaldTrump Why?  https://t.co/NY5U8JkjUg
934934791543070720 2017-11-26 18:59:59 -0400 <RicksOpinion> @realDonaldTrump   https://t.co/fz1wufQyo7
934934791153098753 2017-11-26 18:59:59 -0400 <ckelly111> @realDonaldTrump Perfect post to show exactly why you are a complete dck
934934790570115074 2017-11-26 18:59:58 -0400 <aldwin1> @realDonaldTrump #FakePresident and LIER!!!
934934788955353090 2017-11-26 18:59:58 -0400 <TexasMeterMaid> @Submarine_Guy @realDonaldTrump I hate him.
934934787948728322 2017-11-26 18:59:58 -0400 <Kemp13> @realDonaldTrump First, no reputable Dem blames Russia for living. Second, you have literally done LESS than other presidents. Third MAGA=Mueller Ain't Going Anywhere.
934934787017625600 2017-11-26 18:59:58 -0400 <brown_alston> It’s time for President @realDonaldTrump to have a rally!
934934786795241472 2017-11-26 18:59:58 -0400 <SusanOverdorf> @IngrahamAngle @realDonaldTrump Yes. And it was advertised as a rerun. No fake news here... except for you..
934934785478324224 2017-11-26 18:59:57 -0400 <Dyke67ny> Sack Of Orange Turd  #RoastTrumpIn4Words @realDonaldTrump
934934784996007936 2017-11-26 18:59:57 -0400 <james88424075> @alocalcitizen @LightaFire01 @realDonaldTrump do you really think THE president gives a s...
934934783368486912 2017-11-26 18:59:57 -0400 <shrn_schramm> @realDonaldTrump Learn something stupid  https://t.co/xCGl8bEcHe
934934782911201280 2017-11-26 18:59:57 -0400 <Carolyn59G> @GrantJKidney @realDonaldTrump Cause no one's signature changes an iota in 40 years. BS!
934934780872921088 2017-11-26 18:59:56 -0400 <123ggonb> @realDonaldTrump *Says democrats* *Gets 63k likes and 15k reetweets*
934934780004536320 2017-11-26 18:59:56 -0400 <akamzzdub> @realDonaldTrump Except enforce the sanctions congress passed in October. #MuellerTime
934934779623104513 2017-11-26 18:59:56 -0400 <rondog690> @CNNPR @realDonaldTrump No it is your job to report the truth to us the people but you bever do. Fake is all uyou know. Thank God for Fox News
