1117215889391112192 2019-04-13 19:59:59 -0400 <tlorcrg> @realDonaldTrump You should know about lying and cheating!
1117215888808337408 2019-04-13 19:59:59 -0400 <ExplicitRealist> @realDonaldTrump Dude why do u feel the need to consistently defend yourself if ur not guilty 🤔
1117215888791560192 2019-04-13 19:59:59 -0400 <CasualSully> @TheRightMelissa @realDonaldTrump This woman can barely speak straight. Nice try though, bot.
1117215887889764352 2019-04-13 19:59:59 -0400 <LittleMsOpinion> @thecapoteduncan @DrMelissaHunt @MikeNBCBoston @EppingHighNH @realDonaldTrump You seem smart. 🙄
1117215886899916804 2019-04-13 19:59:58 -0400 <possltho> @realDonaldTrump You very easily make yourself look bad every day. How's your ego today
1117215885402550272 2019-04-13 19:59:58 -0400 <a1ex027> @TheWave0079 @nancysue09 @realDonaldTrump @nytimes The lack of self awareness in this tweet leaves me wondering if you know your own name.
1117215883909156865 2019-04-13 19:59:58 -0400 <stakessweeper> @JeffLee2020 @eduboltito @realDonaldTrump @nytimes He got around 400 million from daddy in today's dollars.  Donald Trump claims to be a super-genius who is good at English. So how many attempts did it take this smart guy to learn how to spell a 7-letter English word? a) 2 b) 5 c) 10 d) 25  Ready, set, GO!
1117215879517708290 2019-04-13 19:59:57 -0400 <tgagemurphy> @realDonaldTrump America to Trump:  https://t.co/cvkdYQdSqR
1117215879295643649 2019-04-13 19:59:57 -0400 <truthsearch1957> @ConsiderThis1 @musser_benson @CathyPe78176224 @beastsaver @DeadlyClear @BuzzFeed @WellsFargo @FannieMae @FreddieMac @realDonaldTrump You are right. The State Courts, Federal Courts, and the US Supreme Court are complicit, collusive, and completely corrupt. Our justice system is now totally immoral and disgusting. Our nation will collapse into chaos within 10 years. It won't be long...therefore the MONEY GRAB.
1117215878867767299 2019-04-13 19:59:57 -0400 <madmotherof> @realDonaldTrump @nytimes Stop lying!
1117215877366259717 2019-04-13 19:59:56 -0400 <RogerFisk> @joshscampbell @realDonaldTrump Thank you Mr President for your compassion and leadership after the black churches were bombed in Louisiana. Your strong condemnation was exactly .....what the country.....needed....wait.... control room is saying....hold on...... oh....I see...nothing?....oh, right ..of course
1117215875667570688 2019-04-13 19:59:56 -0400 <ScarlattiBomba> @ChatByCC @realDonaldTrump  https://t.co/LHSSUUaZxv
1117215874987855872 2019-04-13 19:59:56 -0400 <cindygreendem> @realDonaldTrump But you are the world's biggest and most prolific liar so, I don't believe a word you say.
1117215872442142720 2019-04-13 19:59:55 -0400 <skolgang55> @iDeclareRepair @SportsTalkBarry @realDonaldTrump You love seeing the word reefer
1117215871984910336 2019-04-13 19:59:55 -0400 <Steph56Renee> @realDonaldTrump Donald, it's pretty bad when your behavior, sickness, and being a pathetic criminal president makes one question even their religion. 👠
