1051623687047311360 2018-10-14 19:59:59 -0400 <grandcolbert> @realDonaldTrump “I’m President, and you’re not” to Leslie Stahl 60 minutes, you are not a man...
1051623686254616581 2018-10-14 19:59:59 -0400 <TmitchsomeWorth> @frankee_girl @60Minutes @realDonaldTrump Who made the ice age?
1051623686158123009 2018-10-14 19:59:59 -0400 <NidaKhanNY> In the meantime, I'm President and you're not - @realDonaldTrump to @LesleyRStahl #60Mins
1051623685524791296 2018-10-14 19:59:59 -0400 <marfsurfer> @aarrrgggghhhhh3 @joshdrake777 @Quality_Qontrol @krassenstein @realDonaldTrump  https://t.co/GSiSKMJeyS
1051623685335998464 2018-10-14 19:59:59 -0400 <donnaos> @60Minutes "I'm president and you're not." @realDonaldTrump tells Leslie Stahl. Jesus I so wish Leslie Stahl was president.
1051623683515670529 2018-10-14 19:59:59 -0400 <AJharpman1> @David_Leavitt @60Minutes @realDonaldTrump Will never answer a straight question. Always blaming Obama.  Anything  that challenges his pop gun ego is discredited.
1051623683377238016 2018-10-14 19:59:58 -0400 <neesy816> @David_Leavitt @60Minutes @realDonaldTrump OMG! OMG! OMG!! Only by the grace of our God will we survive and rise above this stupidity.
1051623682215501825 2018-10-14 19:59:58 -0400 <PSRCPA> .@LesleyRStahl good job on interview with @realDonaldTrump and holding your own!! He's ridiculous!! Yes, the country is divided because of him!! #AlwaysBlamesObama #LiarInChief
1051623679749021696 2018-10-14 19:59:58 -0400 <hipster1954> @realDonaldTrump  https://t.co/BomdadrXsa
1051623678788739072 2018-10-14 19:59:57 -0400 <attwitsend> @realDonaldTrump to Leslie Stahl “I’m president and you’re not”. What an asshole!
1051623678482493440 2018-10-14 19:59:57 -0400 <mjwandy> @realDonaldTrump Thank you for putting America First
1051623676829990913 2018-10-14 19:59:57 -0400 <ehpvirgo> @realDonaldTrump @FLOTUS @ABC @ABC2020  https://t.co/rpIpwrsZkY
1051623675949142018 2018-10-14 19:59:57 -0400 <kitson> "I'm president, and you're not." - @realDonaldTrump, being unspeakably rude to @60Minutes' @LesleyStahl
1051623675106127872 2018-10-14 19:59:57 -0400 <HurdmanSam> @FrankDangelo23 @realDonaldTrump Very embarrassing
1051623673549864960 2018-10-14 19:59:56 -0400 <ebeth360> @EliLake @realDonaldTrump @60Minutes Quick copyright it
1051623672434311170 2018-10-14 19:59:56 -0400 <Falgi> @realDonaldTrump to #LeslieStahl, "I'm president and you're not!"
1051623672304291840 2018-10-14 19:59:56 -0400 <BBQMamaDuck> @PattyArquette @kimguilfoyle @realDonaldTrump Typical Hollywood - they don't know what to think when someone actually keeps their promises.  Our President is keeping his  promises and doing exactly what he was elected to do.  So kindly STFU and stay in your ego induced smog of idiocy. #convictweinstein #cleanuphollywood
1051623671582912512 2018-10-14 19:59:56 -0400 <ida75696191> @realDonaldTrump 🙏  https://t.co/7Xf5ajbIJU
1051623670567833601 2018-10-14 19:59:55 -0400 <tiggerty321> @realDonaldTrump Oh Donald... you just can’t help yourself.... always the victim ... Trump’s victimhood on full display during 60 Minutes interview  #TrumpIsAWeakLeader #TrumpLacksCourage #TrumpWhiningLikeABabyOn60Minutes
1051623669363965952 2018-10-14 19:59:55 -0400 <Postcards4Potus> @samstein @realDonaldTrump really doesn't care! Seriously! Do people need him to wear Melanias jacket before they get it? 😂 #HurricaneMichael
1051623668273549318 2018-10-14 19:59:55 -0400 <Bullballs02> Leslie Stahl actually admitted she wants to fight with @realdonaldtrump   #60Minutes
1051623668063842304 2018-10-14 19:59:55 -0400 <Susieqbeme> @realDonaldTrump  to @LesleyRStahl “In the mean time, I’m President, and you’re not”!!! Thank you Mr. President!
1051623667862462465 2018-10-14 19:59:55 -0400 <SiriusMatdj> @SionelTweet @1brightmale @johnnysoko @GregShugar @realDonaldTrump #WalkAway  https://t.co/JWIAUmceyD
1051623667384442881 2018-10-14 19:59:55 -0400 <NZitsch50> @realDonaldTrump Loved it, “Look Leslie, I’m President, you’re not!”
1051623667250155520 2018-10-14 19:59:55 -0400 <AFBaylorBear> "I'm President and you're not." -@realDonaldTrump on @60Minutes
1051623667095035905 2018-10-14 19:59:55 -0400 <EricfromClt> @mitchellreports @realDonaldTrump @LesleyRStahl You can't teach or coach stupid.
1051623667023716352 2018-10-14 19:59:55 -0400 <jlm_314> “I’m president and you’re not.” Wow!  Sounds like you are 6 years old. @realDonaldTrump  #embarrassing  #HowAreYouThePresident
1051623666956546050 2018-10-14 19:59:55 -0400 <Nbb26414033x> @KenMart33633419 @delaneymeyer46 @JustifyCause @HappyPreppers @CattyScatbrat @jimsx50 @Kev4T @DineshDSouza @realDonaldTrump Without the lies, deception, name calling and deflections he has no argument. Facts are not part of his argument.
1051623665824083972 2018-10-14 19:59:54 -0400 <aggiepatriot> @realDonaldTrump is always a step ahead. Every. Single. Time. Just fascinating. Enjoy being an American today. #60Minutes
1051623665656373248 2018-10-14 19:59:54 -0400 <DorisCowley> @TrumanTodd2 @DexterK060316 @realDonaldTrump 🤣
1051623665119453184 2018-10-14 19:59:54 -0400 <KnorFromDK> @JoeNBC Joe...  @realDonaldTrump does not stand up, because there is money involved and he is afraid that it will be exposed that he is not a good businessman
1051623662468648960 2018-10-14 19:59:54 -0400 <cydk0704> @realDonaldTrump Thanks for the warning. Will watch the Red Sox game. Can't stand your voice or the lies that come out of it.
1051623661151670272 2018-10-14 19:59:53 -0400 <Gov_Fan> @realDonaldTrump is President and your NOT!!! 😂
1051623661092921345 2018-10-14 19:59:53 -0400 <Cryswolftears> @krassenstein @realDonaldTrump At 1% growth, 200 million people on food stamps.. If you support Obama and his agenda.. there wouldn't be any economic growth! And ALL of our cities would look like San Francisco!!
1051623660748967937 2018-10-14 19:59:53 -0400 <markbland> Now @realDonaldTrump is whining about democrats during #KavanaughConfirmationHearings
1051623659654262784 2018-10-14 19:59:53 -0400 <PresidentPerine> @realDonaldTrump  https://t.co/rPgFEUvJzt
1051623657439682567 2018-10-14 19:59:52 -0400 <OneTonBrute> @Anthony21029903 @The_Trump_Train @realDonaldTrump @LesleyRStahl @60Minutes @CBSNews You're blaming other politicians. Why would Trump be exempt?
1051623656558919682 2018-10-14 19:59:52 -0400 <JulianG922> @realDonaldTrump How dumb does this guy sound tonight?
