984944318975807488 2018-04-13 19:59:59 -0400 <gayscreams> @realDonaldTrump AAAAAAAHHAHAHAHAHAHAHAHA
984944317293789185 2018-04-13 19:59:59 -0400 <SaintlyCitySue> @OnSolo57 @Steven50526267 @Heather012177 @RealTrumpkin1 @LogicOverFeelng @realKyrosMilad @realDonaldTrump What law(s) did Hillary Clinton break?
984944314328453120 2018-04-13 19:59:58 -0400 <tpotts69> @Mehringer2001 @real_farmacist @rightinillinois @realDonaldTrump That is ridiculous. How did he not value the Constitution?
984944313976094721 2018-04-13 19:59:58 -0400 <Prince3eb> @realDonaldTrump   https://t.co/tQ3bGnD2iS
984944313518915586 2018-04-13 19:59:58 -0400 <openyoureyes_17> @drweitl @Hamigakiwanwan @inittowinit007 @realDonaldTrump @POTUS @_America_First @tbailey5477 @Truthseeker126 @PamB60 @_SierraWhiskee @TrumpTrainMRA4 @MEL2AUSA @buzzman888 @HrrEerren @DonaldJTrumpJr Maybe he should stop giving people reasons to make fun of him... just a thought
984944312331919360 2018-04-13 19:59:58 -0400 <TiaBannister2> @realDonaldTrump Except for The Official Trump Store which gets all its products from China, Thailand, etc. not the U.S. We also know that your buildings were made with foreign products and often by illegal immigrants. Maybe try practicing what you preach.
984944311405072384 2018-04-13 19:59:57 -0400 <Mingo45179660> @DagenhamDan1 @CMGattuso @Michael63401882 @Alistai61513198 @realDonaldTrump What goods are you talking about?
984944309794430976 2018-04-13 19:59:57 -0400 <AnnFrannie> I’m a Peeliever and You Should Be, Too - New York Magazine — 🤮🤮🐷🐀💩🇷🇺 #PeeBrain @realDonaldTrump #Unpresidential 🐷  https://t.co/dP2AeXRk3I
984944306921312256 2018-04-13 19:59:56 -0400 <BrianCo83157832> @realDonaldTrump I hope you get this and I'm not ignored like Mark Zuckerberg ignored my questions on conservative blocking.
984944306015408128 2018-04-13 19:59:56 -0400 <Queenofzumba> @realDonaldTrump Not happening
984944305574998016 2018-04-13 19:59:56 -0400 <ZulaQi> @realDonaldTrump Trump’s allies worry that federal investigators may have seized recordings made by his attorney. 😂🤣😂😬  https://t.co/YYfJIhyEga
984944305562320901 2018-04-13 19:59:56 -0400 <AliRizvi313> @i7_andy @msbviper @Cadrieu @BBCJonSopel @realDonaldTrump нет
984944305411379200 2018-04-13 19:59:56 -0400 <SparkyLanders> @62WalterP @SassyMsViolet @realDonaldTrump Now that is disappointing! I was hoping we would be able to set up one with 12, or even 13 to make it interesting. Somewhere near the Capitol to clean this mess up faster. In a survey a while back, most preferred firing squad. Now that would be a good use for a militia!
984944304966729733 2018-04-13 19:59:56 -0400 <Bruins_Fatalist> @MichaelTillots5 @realDonaldTrump BOT  https://t.co/ROwX2YTie3
984944303339425792 2018-04-13 19:59:55 -0400 <texasfed> @T0NIMARIETERRY @Comey @realDonaldTrump #russianhookerpeegate
984944301644771328 2018-04-13 19:59:55 -0400 <_USSLiberty_67> @realDonaldTrump "MothaFuckas is talk'n that shit, and day  ALL  talk'n dat shit           ...rightNow..."
984944300214464512 2018-04-13 19:59:55 -0400 <donnie_care> @realDonaldTrump proud Family monument Making Adultery Great Again. So proud your son is just like his loser Dad @DonaldJTrumpJr  https://t.co/45vhrzC1oj
984944299342053376 2018-04-13 19:59:55 -0400 <EliasToufexis> @figs360 @realDonaldTrump Oh man I literally LOLd at this. In a quiet restaurant and everything.
984944297026859008 2018-04-13 19:59:54 -0400 <CamiChadwick03> @RonWyden @realDonaldTrump All states should require presidential candidates to release 15 years of tax returns in order to be eligible to get on the primary ballot. #NationalPopularVote
984944295546445825 2018-04-13 19:59:54 -0400 <ScottAStern> @Jabbadaddy2016 @WendyLouWho11 @ptufano17 @realDonaldTrump Unless,. of course, he struggles with a particularly difficult bowel movement. Then all bets are off.
984944295101661184 2018-04-13 19:59:53 -0400 <WhenSquidsParty> @realdonaldtrump has always been a fan of both sides.  I like the picture below as an illustration of pickle he is in now.  Trump is the UND player in white getting hit by Mueller on one side and the SDNY prosecutor on the other side.  https://t.co/M6YX1asOhr
984944293235191808 2018-04-13 19:59:53 -0400 <ChrisWi39157718> @realDonaldTrump Sure sounds like a dictatorship. Heil trump
984944292618645504 2018-04-13 19:59:53 -0400 <JustinRaimondo> We didn’t vote for this, @realDonaldTrump you prick. You’ve done nothing but sell us out.  https://t.co/7xoocwNnBQ
984944292069244928 2018-04-13 19:59:53 -0400 <fruitsalad60> @realDonaldTrump James Comey has more moral ethics than you.
984944289577922561 2018-04-13 19:59:52 -0400 <bator_joyce> @realDonaldTrump You are a proven liar.
984944288432828416 2018-04-13 19:59:52 -0400 <yoruguaenusa> @leahlenoresmith @KnickerPresser @jasm5150 @m_missmary1111 @gentlemindmom @YerOpinion @TDeLynne @1TitanTyler @Cruellaisdevine @keanothedog @BobinHB @samuelmurai @SaneSophisticat @morgan_blade @kaysintBB @CitizensFedUp @Sbuttsie @Gary_ARSP @AnnieKaplan3 @lauren_ten @rmertel @BJSquirrel @DiXiEjO68 @WelterPeggy @MamaRose2017 @antiquelove1234 @john_gibbs48 @grannydebs52 @TaggartRehnn @JerryCritter @scaldedpuppy @everyhumanknows @Wildfang135 @CatnipCreek @eronel35 @FactsOnFox @BirdsGetStarted @CREWcrew @TeaPainUSA @conspirator0 @PendulumSwngr @Bella_ofA @Aprylsmithts @hazemorton @AVestige1 @Nunya_Bizznizz @ReplyWithAMeme @POTUS @GOP @realDonaldTrump  https://t.co/dwO9sQZ3SK
984944285857415169 2018-04-13 19:59:51 -0400 <hach_g> @CongBoyle @Stonekettle @realDonaldTrump MUELLER OR ROSENSTEIN 👇👇  https://t.co/QSt6OlADIt
984944285245046785 2018-04-13 19:59:51 -0400 <StrategicThghts> Hope @realDonaldTrump has a good weekend following this news. #Trump has issues separating his role as #POTUS from role of courts.  https://t.co/F9fz9kBN5D
984944283827494917 2018-04-13 19:59:51 -0400 <Anonymo96170783> @realDonaldTrump We haven’t seen  « these 4 beautiful words » on the tags of any products that bear your name or your daughter’s in quite a long time, have we?
984944280530837512 2018-04-13 19:59:50 -0400 <LalanneMariana> @TrixieParson @jenweather @mousecove @Diderotin @browns_brewer @jssdrummer @JohanClimacus @LarryMUllrich @realDonaldTrump Yes!!!! 😂
984944279897477120 2018-04-13 19:59:50 -0400 <DeceptiKHAAAAAN> @IndependentAlt @washingtonpost @realDonaldTrump Going rogue? Please define what you see as the Special Council doing so.
984944279633227782 2018-04-13 19:59:50 -0400 <JaneBarrentine1> @realDonaldTrump None of us know how much time you have left here. However, I know that you alone will become the worst thing that has ever happened to our country ‼️
984944279566082048 2018-04-13 19:59:50 -0400 <smublvd01> @Anonypus @DrainWDCswamp @Coolhand55 @realDonaldTrump That's pretty good..what are u 12?
984944278316244993 2018-04-13 19:59:49 -0400 <chucklesconcubi> @browns_brewer @jssdrummer @JohanClimacus @LarryMUllrich @realDonaldTrump The Sheep said
984944278198738944 2018-04-13 19:59:49 -0400 <altpotusfacts> Amazed that @realDonaldTrump supporters believe things like #PizzaGate #jadehelm15 #emails and #birthcertificates but despite mounting criminal charges, plea deals and evidence of criminality stand behind him. #countrybeforeparty
984944277741387776 2018-04-13 19:59:49 -0400 <HopeDiedIn1969> @JoyAnnReid @MalcolmNance @realDonaldTrump wants a war to drive the attention away from his problems.  We must #ImpeachTrumpNow #Impeach45 #impeachdonaldtrump
984944276164567040 2018-04-13 19:59:49 -0400 <AaliyahDae> @orvis2010 @Thesangcafe @jenweather @mousecove @Diderotin @browns_brewer @jssdrummer @JohanClimacus @LarryMUllrich @realDonaldTrump 😭😭😭
984944275992412161 2018-04-13 19:59:49 -0400 <TabiGrazes> @realDonaldTrump U must clean out the top level #FBI..how's the #vegasshooting investigation going? Seems that died.with the 58 victims? Pathetic. Murder Americans &amp; their family deserve to know who #stephenpaddock really was, why he did what he did &amp; how there's little footage of him in casino
984944275258593280 2018-04-13 19:59:49 -0400 <fairymoon4> @FoxNews @seanhannity @realDonaldTrump  https://t.co/Nwpx5DszrO
984944274948096000 2018-04-13 19:59:49 -0400 <RealLilleeJean> @RVT01 @realDonaldTrump OMG THATS A LOT OF JOBS CUT 🤭
984944274574925824 2018-04-13 19:59:49 -0400 <kim_macklowe> @realDonaldTrump You can't fire him
984944274549690368 2018-04-13 19:59:49 -0400 <carogonza> @ginaruiz @realDonaldTrump   https://t.co/JWvsuxnIZd
984944274323230720 2018-04-13 19:59:49 -0400 <Philboyj1> @RVT01 @realDonaldTrump Where are the people without jobs? Unemployment is at 4.1 % -I bet you that those 4 people are the village idiots or druggies or challenged in some way that they will find it difficult to hold down any job.
984944271525543936 2018-04-13 19:59:48 -0400 <pilatehottie> @Constance114 @tenacity10_ @realDonaldTrump Comey is a corrupt traitor looking to score some cash off his book.
984944269810167810 2018-04-13 19:59:47 -0400 <SteelCityNights> @realDonaldTrump It will also be a great honor to anyone who puts you in jail where you belong!  #CrookedDonnie
984944269449400320 2018-04-13 19:59:47 -0400 <acedoda> @LouDobbs @Jim_Jordan @realDonaldTrump It's time for a fresh face as speaker one who will want to work more the 138 days
984944268283465729 2018-04-13 19:59:47 -0400 <maryel2> @LarryMUllrich @realDonaldTrump Oh, my, another liar crawls out from under his rock. Your lies are so shallow that they are demonstrably false.
