1070105467538423808 2018-12-04 18:59:59 -0400 <sixthgentexan> @StephenHWard1 @GOPChairwoman @realDonaldTrump “Permanent Residents”
1070105465529360384 2018-12-04 18:59:59 -0400 <ASmithBoomer> @realDonaldTrump The farmers hate you.
1070105465353326593 2018-12-04 18:59:59 -0400 <TomsPerezRuiz1> @realDonaldTrump Puerto rico sufre habre y NECEDADES y  ustedes  que ase
1070105463079882752 2018-12-04 18:59:58 -0400 <Cheryl7298752> @LorLyBa @realDonaldTrump @EmmanuelMacron He lives in another world called the Donald Trump world!  He is delusional. All he does is spin things completely opposite of reality.
1070105463008579584 2018-12-04 18:59:58 -0400 <AprilFissell> @SenFeinstein “The mob takes the Fifth. If you're innocent, why are you taking the Fifth Amendment?” — @realDonaldTrump, Sept. 2016  https://t.co/LCfKUMRZa0
1070105462639652864 2018-12-04 18:59:58 -0400 <thedarkninja33> @ICEgov @realDonaldTrump  Here are a few people trying to get the migrants in TJ to jump the border and they would protect them when they get on US soil. Need to stop them asap  https://t.co/LM3jpXmKDt
1070105462123704323 2018-12-04 18:59:58 -0400 <ElianaBenador> @Interradeserta @realDonaldTrump Just imagine they were meteorologists and Trump was the Wind...   oh dear!
1070105458562740225 2018-12-04 18:59:57 -0400 <AceBSpayd> @realDonaldTrump remember, only the Mob takes the fifth. Your words.
1070105457975418880 2018-12-04 18:59:57 -0400 <lor7344> @JeffMerkley @realDonaldTrump Trump is not only unintelligent, he’s ignorant. He’s dumb as a post. And the pathetic thing is, he’s dumb enough to think that the rest of the public is stupid too and that we don’t understand science. In my lifetime I see evidence of climate change, evidence that is escalating.
1070105457300246529 2018-12-04 18:59:57 -0400 <ldcl35> @realDonaldTrump This is complete BS. You backed out of the Paris Accord, embrace dirty fossil fuels, and deny climate change. You are a complete DISASTER for the environment. It is literally the opposite of what you claim.
1070105452770340865 2018-12-04 18:59:56 -0400 <LiberalResist> @realDonaldTrump  https://t.co/lnBsEw5VSH
1070105450962710528 2018-12-04 18:59:55 -0400 <justinbasebll> @peta has this in common with @realDonaldTrump—they are beyond parody.
1070105449826013184 2018-12-04 18:59:55 -0400 <Rogersj1980> @realDonaldTrump MAKE AMERICA GREAT = IMPEACH TRUMP!!!
1070105449398190080 2018-12-04 18:59:55 -0400 <Trump4future> @ohdogone @realDonaldTrump So it’s Rick Scott’s fault because a bunch of fish died during a red tide? #LiberalismIsAMentalDisorder
1070105447938449409 2018-12-04 18:59:55 -0400 <Like_a_Bossk> @EgWilson67 @fierceadvo @realDonaldTrump  https://t.co/kpap5Ssl8C
1070105447309459457 2018-12-04 18:59:54 -0400 <WilsonS09691584> @MariluWarner5 @realDonaldTrump What do duck do you do that for
1070105444444725250 2018-12-04 18:59:54 -0400 <jdmeizlikbells1> @realDonaldTrump Whoa.   Not good for our economy.  For sure.   Tariffs.  Adds to price of products for buyers.  Also leads to trade wars.  Talking about foreign relationships.  Not good.
1070105440229515264 2018-12-04 18:59:53 -0400 <kmartin17> @peytonbrownc @realDonaldTrump Not requiring a federal agency to enforce regulations in favor of businesses and in the harm of the public - that’s the point.
1070105437851320321 2018-12-04 18:59:52 -0400 <FL_Planning> @simong0808 @realDonaldTrump Yeah I thought Mexico would pay too! Hmmmm?
1070105435019956224 2018-12-04 18:59:51 -0400 <SkrabanMartin> @realDonaldTrump Who's paying for the wall , us taxpayers. Why don't you ask all the people at your ego rallys pony up cash for the wall .
1070105433057173509 2018-12-04 18:59:51 -0400 <jcain55119807> @realDonaldTrump @EmmanuelMacron U have to stop these invaders that are going to be on welfare or take jobs away from American's with less than a high school education....we all cant be over educated idiots...😁🐸
1070105431492575232 2018-12-04 18:59:51 -0400 <ninavizz> @realDonaldTrump Umm, we ARE rich... people like you just hoarde all that wealth from the rest of us who actually WORK for a living.
1070105429563375618 2018-12-04 18:59:50 -0400 <GilmoreGlenda> Wow! Judge orders @realDonaldTrump to produce tax returns and voluminous business records in DC emoluments case.  Thank you, CREW
1070105426316926978 2018-12-04 18:59:49 -0400 <Joni09396767> @realDonaldTrump Donald you are such a fool. Do you think we don’t realize what’s going on???????
1070105426216345600 2018-12-04 18:59:49 -0400 <vocieoftheworld> @realDonaldTrump Well Biff, your subjects don't seem to be buying  your Environment BS However nice move on the Tariff  Man crap, you tanked the stock market.
1070105423942950913 2018-12-04 18:59:49 -0400 <luchoamenendez> @ItsMeCathi @realDonaldTrump Here it is  https://t.co/WFUDHHF3bU
1070105423586385920 2018-12-04 18:59:49 -0400 <jacksonorleans1> @realDonaldTrump you are the one killing the enviroment in USA by not believing anything that doesn't make you profit.  It's obvious.
1070105420356698112 2018-12-04 18:59:48 -0400 <drmistercody> @realDonaldTrump Bitch one of the first things you did as president was allow coal waste to be dumped into rivers.
1070105419664818176 2018-12-04 18:59:48 -0400 <DarleneKaz> @realDonaldTrump didn't you say that if someone please the 5th, them they must be guilty of something.   I guess Rog is guilty.
1070105418947416065 2018-12-04 18:59:48 -0400 <yeshua1st2all> @realDonaldTrump  https://t.co/UpdVJJCaC8
1070105418368802816 2018-12-04 18:59:47 -0400 <JrmieJ> La justice américaine réclame des documents sur l'hôtel Trump de Washington  https://t.co/mks0raw6bW #USA #Washington @realDonaldTrump @Trump #Corruption
1070105417156571137 2018-12-04 18:59:47 -0400 <garym426> @ABCPolitics @LindseyGrahamSC tell@that to the face of the ass you’ve been kissing these past 6 months!  Is a @realDonaldTrump an alliance you really want to be a part of?  Think about it!
1070105416145821696 2018-12-04 18:59:47 -0400 <dalbec_ed> @Generation_X4US @realDonaldTrump @EmmanuelMacron And number of lies since last year??? Per fact check is 6000. Sooo...may not be versed at French. Definitely versed at Trump Speak
1070105415818477568 2018-12-04 18:59:47 -0400 <sybbo> @realDonaldTrump Literally none of that is true.
1070105414904115200 2018-12-04 18:59:47 -0400 <ptbray> @realDonaldTrump Listen up Prez DipShit! If your talking about countries that we’ve bombed, sanctioned or have had u Dre our boot, their trying to catch up.  Your butt buddy Vlad’s country is a mess.  Get a grip and realize your main squeeze won’t live to old age unless we start now #Bozo
1070105413750796288 2018-12-04 18:59:46 -0400 <CEEDPAOficial> Más de 1 mes en la cárcel lleva @KeikoFujimori una mujer que tiene más pantalones que un hombre y que por darle el pecho a los males del #Peru está hoy entre cadenas Basta de Injusticias @MartinVizcarraC @realDonaldTrump @Almagro_OEA2015 #Chile #DDHH  https://t.co/7qKwDTT2RD
1070105411259252736 2018-12-04 18:59:46 -0400 <mikepouraryan> @realDonaldTrump FYI:  https://t.co/xQ9Bz2wt35
1070105409585901568 2018-12-04 18:59:45 -0400 <Jbov333> @charliekirk11 @realDonaldTrump Charlie. Enjoy your great leader now 'cause this isn't going to last very much longer.
1070105405227814912 2018-12-04 18:59:44 -0400 <Dave_P53> @OneleOforbuike @splantyboy @stockguy61 @realDonaldTrump Kind of like bad spelling and bad grammar metamorphoses (metamorphosis) into good spelling and good grammar?
