1160702433443512322 2019-08-11 19:59:59 -0400 <daniellynn0001> @w_terrence @realDonaldTrump Trump re-tweeted this.
1160702428662108160 2019-08-11 19:59:58 -0400 <April19136742> @GOPChairwoman @realDonaldTrump Not sure why he should apologize for revealing public records.  Voters have a right to know which CEOs are supporting the destruction of our democracy for the benefit of their own bank account.
1160702428309835776 2019-08-11 19:59:58 -0400 <PaulyPeachy> @realDonaldTrump Didn’t realize you were elected to get the ratings up for America. Not sure you’re the right choice, It kinda feels like we’re about to be canceled.
1160702426476924928 2019-08-11 19:59:57 -0400 <norezervationz> @AsymmetricUSA @RedFizo1 @padilloh @lombarteo @SoldierOneEaODG @RealityGov @HushFool6868 @David_Leavitt @realDonaldTrump @NRA @GunOwners Nice collection. Just don't go shooting someone undeserving, ok?
1160702423775809537 2019-08-11 19:59:57 -0400 <tablerscotta> @Dubes123 @BlueRobotDesign @shrum_dave @realDonaldTrump Ok,  my thumbs had started to itch!  LOL
1160702423054180352 2019-08-11 19:59:57 -0400 <apexnerd> @realDonaldTrump  https://t.co/2e5CDVITGu
1160702422760734727 2019-08-11 19:59:57 -0400 <Bubbaflaco> @Trumpbane1969 @di77 @Black_is_back5 @NSTC_Shield @boodacat2020 @JDW714 @GinnyStrassbur1 @Thumper5465 @FactsMatterDonM @SONADORLIVESON @bitterlily22 @Mharris888H @TomDoubting @BustTheGop @rusty_pharris @seaforward @TxConservativeL @Kevin84500028 @HelloHumans9 @GhostOfTick @gregthedoughboy @bushie200 @juanescalante49 @atumpkins11 @SarahTheSmith @SashaMinsk1 @instinctnaturel @ErieMom @ZacRe1 @42Gnome @SagArcher @ActDefiance @Tigertomjr @TheWisemanSaid2 @lynn_gran @shrekthepunk @dogthecat3 @AllaraTravel1 @Veritas_2016 @thedemorats @lndividualJuan @z71rdkll @JandFinthecity @RoseWoo15096108 @theredpilled @BONNWOOD1 @InSecuritee @Qhappiness17 @realDonaldTrump @FLOTUS I make up for it in enthusiasm 😁
1160702422576070657 2019-08-11 19:59:57 -0400 <VotingWomen1> @realDonaldTrump After years of being ripped off by other nations I am happy to announce that I have now masterfully duplicated their efforts locally. #45
1160702422030774272 2019-08-11 19:59:56 -0400 <Beetleloc> @realDonaldTrump @POTUS Name some companies
1160702421892521986 2019-08-11 19:59:56 -0400 <bunker9603> @LeeHolly81 @realDonaldTrump How is it possible to have this many unqualified people working in the white house at the same time?
1160702420638298112 2019-08-11 19:59:56 -0400 <Plant_Wh1sperer> @realDonaldTrump #TrumpTerrorists #TrumpIsARacist  #GOPComplicitTraitors #WhiteSupremacy #TrumpCrimeFamily #ImpeachDonaldTrumpNOW  https://t.co/7ODG0p6PpE
1160702420562976769 2019-08-11 19:59:56 -0400 <Sharon05534511> @realDonaldTrump How do you know you don't read you just for fake news Hannity to call
1160702419807981573 2019-08-11 19:59:56 -0400 <difalco_maureen> @ChrisCo85363640 @realDonaldTrump UR SO PRETTY
1160702419174486016 2019-08-11 19:59:56 -0400 <LevensonLaura> @cateyez4me It’s a special heated gazoot suit! @RealGreyrider @realDonaldTrump  @TomFitton  and it keeps getting funnier! I’m about to bust a seam out laughing!
1160702418742628352 2019-08-11 19:59:56 -0400 <SoTaKnew> @PLAYRgg @GammaLabs @catsenlol @GFuelEnergy @tylergrover1 @ReginaKay54 and I don’t know a third umm here @realDonaldTrump he loves video games😂😂
1160702417618575363 2019-08-11 19:59:55 -0400 <bolognaenzo> @mswhitecoat @Toure @ErinBurnett Haha get em president @realDonaldTrump
1160702417173770240 2019-08-11 19:59:55 -0400 <KarolynBenger> @realDonaldTrump @ErinBurnett  https://t.co/mTwyRKE5jG
1160702416947314688 2019-08-11 19:59:55 -0400 <forty7JAHgo> @EddyTheGreatt @realDonaldTrump I never really understood the “Again” but I’m with him on making America great. It’s already the greatest country in the world and when racism was at its peak. It was under the Democratic Party.
1160702415664046080 2019-08-11 19:59:55 -0400 <fdavis0417> @GOPChairwoman @realDonaldTrump So lazy. Can’t you think of anything of else to post?
1160702414627827712 2019-08-11 19:59:55 -0400 <overcomer803> Seriously omg you’re funny @w_terrence isn’t a conspiracy theorist He’s just tweeting what a lot of us thinking sorry if you aren’t into freedom of expression @DeplorableChoir @theloftusparty @seanhannity @TuckerCarlson @IngrahamAngle @realDonaldTrump @DavidJHarrisJr
1160702414237917184 2019-08-11 19:59:55 -0400 <Clealoficial> @CMonteroOficial @realDonaldTrump Las escaleras del calvario deben llenarse con menos de 500 personas . Los juegos de imágenes y videos editados viejos son parte del laboratorio de J.R.
1160702410349785090 2019-08-11 19:59:54 -0400 <carminepetracc3> @AndyOstroy @realDonaldTrump thanks for telling as it is, andy.
1160702407250239488 2019-08-11 19:59:53 -0400 <blackenedwisdom> @mrwonderfulnes @josh_notch @FibonacciSequ @IrvanSteve @hempnotist @Honcho007 @LAMatthew_24 @mmillernc17 @QB11 @nelsonwendella @BreakingNLive @realDonaldTrump I enjoy a good story.
1160702404226142210 2019-08-11 19:59:52 -0400 <mainmanjr> @realDonaldTrump Donny Deutsch &amp; Erin Burnett... There’s a kosher daily double. Deutsch sounds like Ditch, which all viewers will sooner than later.
1160702402804297728 2019-08-11 19:59:52 -0400 <Dennis69365292> @Deplorable_JW @realDonaldTrump i agree...it just goes to show you how some people(party) are poor sports.
1160702400463810560 2019-08-11 19:59:51 -0400 <ToloFCB> @realDonaldTrump @ErinBurnett  https://t.co/56GbBx9I7Y
1160702395376197632 2019-08-11 19:59:50 -0400 <Anory12Jack> @realDonaldTrump @WhiteHouse You're as easy to read as a kid's book.
1160702391811006464 2019-08-11 19:59:49 -0400 <JamesMc66599110> @realDonaldTrump Amazes me that our national debt is always equal to Fed's YTD.
1160702390816915456 2019-08-11 19:59:49 -0400 <NancyWolforth> @ChrisCo85363640 @realDonaldTrump But you're wrong, he did need this. This was the crowning jewel for this narcissistic egomaniac. He wanted this at all costs, including getting cozy with the Russians. This is ALL about him. He cares about no one else, just being the big shot and getting his ass kissed.
1160702389869039616 2019-08-11 19:59:49 -0400 <stahmosh> @GOP @realDonaldTrump @JobCreatorsUSA Name one fvcking thing. #GOPTaxScam #deficitdon  We’re not all trump dummies
1160702389755797504 2019-08-11 19:59:49 -0400 <sto620> @realDonaldTrump @ErinBurnett Are you calling him Little Donny because he’s short-statured? What a guy, putting down anyone who doesn’t meet with your favor. Never thought we’d have a 5th grade bully as president.
1160702388669472768 2019-08-11 19:59:48 -0400 <Harleyryder51> @jgutierrez56 @EddieDonovan @realDonaldTrump Thats why!
1160702385645326337 2019-08-11 19:59:48 -0400 <BESORDEN> @CMonteroOficial @realDonaldTrump Jajaja qué clase de gafo eres
1160702384395259904 2019-08-11 19:59:47 -0400 <KarolRhodes13> @djk1936comcastn @realDonaldTrump The President of the United States and leader of the free world?
1160702383850164225 2019-08-11 19:59:47 -0400 <CrummyDogLover> @matthewkl4 @realDonaldTrump #RacistInChief is my daddy, as you have already pointed out.
1160702380909969414 2019-08-11 19:59:47 -0400 <8BrianVogel4> @Working17862787 @KeecoWang5 @SonOScrutinizer @spiralwrap @jewls2245_gemma @WattzzD @McginnKeven @LucyForLiberty @LegendaryPask @Michael36213243 @PPPTCE @tjkturner @Kmanaman3 @seniorveteran @CarlBotha2 @freedom_gal @Saracorday @Larryputt @winwithTrump45 @lockrousseau @_Fat_Nixon @Heather19947206 @frankieBll @CraigChermside @DennisH59386592 @toadsu2 @gaming_grump @chowskej @Annette66130164 @ThelmaB06893137 @TjReasonz @Safetman52 @PD3598 @krztfr68 @ddittmar9 @ClayMMA1 @DrummondJeff @AceBurford @willofphil @CleDonnelly @voteCrosby @someotherperso3 @sunflowermoon14 @PaulBochamp @W_T_F_smh @GeraldCraig2 @marchmatron @J_Allen_CA @waltermiller506 @realDonaldTrump Accusing people of murder without evidence, good one.
1160702380364705792 2019-08-11 19:59:46 -0400 <mikekopplin> @realDonaldTrump Says the man who thinks the world can’t be getting warmer because we have record breaking cold snaps due to climate change
1160702378582192130 2019-08-11 19:59:46 -0400 <swon26> @RWPUSA @FoxNews @realDonaldTrump @TheJusticeDept @VP @senatemajldr @GOPLeader @LindseyGrahamSC @GOP @HillaryClinton @BillClinton ...about the carnage in El Paso and Dayton that took place because of HIS inciting violence, spreading conspiracy theories. EVIL! We've THE DANGEROUS enemy of the people how EVER occupied the People House Donald J. Trump!
1160702373439909889 2019-08-11 19:59:45 -0400 <GATORBAIT30> @realDonaldTrump @ErinBurnett How many lies are we up to Donald?   https://t.co/nm5kLmAM7T
1160702372391186433 2019-08-11 19:59:45 -0400 <Sherrij19285957> @realDonaldTrump 2 things 1st Austin Tice was a journalist held in a prison in Syria, now you helped a rapper why not him.. what about the children your holding hostage in deplorable conditions over 100 days do you think we forgot
1160702369975304192 2019-08-11 19:59:44 -0400 <Chrissttiiee> @BreakingNLive @realDonaldTrump Bad news for liberals 🤣
