891085861265096704 2017-07-28 19:59:59 -0400 <SarahCalvin_34> @ljcalvin84 @realDonaldTrump That's my girl^^^!
891085858740338689 2017-07-28 19:59:58 -0400 <GalaxyMarla> Hmmmm, how you liking @FoxNews  now @realDonaldTrump ?? Lol  https://t.co/llobhgSi5c
891085857406439424 2017-07-28 19:59:58 -0400 <morlingg> @mchooyah @realDonaldTrump Nooooooooo!!!
891085856118718465 2017-07-28 19:59:58 -0400 <StuntMommy> @realDonaldTrump You have absolutely no idea what you're doing, do you?  You're choking and failing bigly in front of the entire world. You should #resign.
891085853702983680 2017-07-28 19:59:57 -0400 <ConsumerMojo> @davidfrum Can we have end @realDonaldTrump to Mars?
891085852469862405 2017-07-28 19:59:57 -0400 <CovfefeTraitor> @realDonaldTrump @IvankaTrump @EricTrump @DonaldJTrumpJr @jaredkushner @Scaramucci @mike_pence @SpeakerRyan @SenateGOP @GOP @nytimes   https://t.co/d5ud3mP0Jt
891085852138496000 2017-07-28 19:59:57 -0400 <BerkCarlt> @MrMeemo @Impeach_D_Trump @realDonaldTrump Happy Shark Week 😙  https://t.co/2jankLX5Jl
891085851244904448 2017-07-28 19:59:57 -0400 <GwynneTrujillo> @POTUS @realDonaldTrump @TomiLahren @FoxNews @TheFive @seanhannity @TuckerCarlson  https://t.co/Pm0AWVfvWO
891085850485768192 2017-07-28 19:59:56 -0400 <DestinationHeII> @niren_tsew @End_Hate_NI @kjenkins608 @BrianCMorel @Hawk14000 @kakie26 @PaulObrienUSA @madamx12369 @roglemof46 @NicoMysterriou @LanzonMary @NewportLost @ChosenOneMike @realDonaldTrump   https://t.co/BRzqFZMjIY
891085849546309632 2017-07-28 19:59:56 -0400 <cla310212> Hey @realDonaldTrump how do you sleep at night knowing that millions of Americans can't stand you? You are not our President. #TrumpRussia  https://t.co/eGsMsjCVYm
891085848355196929 2017-07-28 19:59:56 -0400 <oldivory> @haldonahue @realDonaldTrump My dear departed uncle policeman would be red faced over this man.
891085845339308032 2017-07-28 19:59:55 -0400 <quackpac12> @realDonaldTrump Be afraid... you can go from sunshine to shit in 30 seconds flat in this administration
891085844278239232 2017-07-28 19:59:55 -0400 <shaunlysen> @SebGorka @realDonaldTrump Then what are Nazis doing in the White House?
891085843401723905 2017-07-28 19:59:55 -0400 <lazarus_linda> @kiwimikewinton @TraceyLWilliam3 @immigrant4trump @realDonaldTrump Jealous much? Mike
891085841858269184 2017-07-28 19:59:54 -0400 <calimom61> @Ladybird7651 @ranger2911 @KeithOlbermann @dumptrump33 @realDonaldTrump And answer the question if u believe what u say...What did Russia do to get Trump elected?
891085841531113472 2017-07-28 19:59:54 -0400 <dave1agar> @CillizzaCNN I feel @realDonaldTrump has cut the last cord to the GOP establishment so he can try to play both sides of the fence.
891085835738558464 2017-07-28 19:59:53 -0400 <RandyHi63248584> @chelseahandler @realDonaldTrump It's obvious!
891085835554230272 2017-07-28 19:59:53 -0400 <horlaryinks> @realDonaldTrump What the hell is going on? You want Obamacare to implode, your administration  is imploding right in your face.
891085827635257344 2017-07-28 19:59:51 -0400 <ortegonia> @realDonaldTrump Way to go promoting police violence. The next time a cop shoots someone, you gonna give him an award?
891085827379482627 2017-07-28 19:59:51 -0400 <gotothelimit> @realDonaldTrump I am embarrassed for our Republic ! Our President has shown himself to be disrespectful to his Lieutenant by replacing him without cause !
891085824527355905 2017-07-28 19:59:50 -0400 <AdeMowry> @realDonaldTrump IT IS NO COINCEDENCE WITH NORTH KOREA MISSILE TESTING AND IF YOU LOOK AT WHAT MARTIAL LAW NEEDS YOU WILL SEE EXACTLY WHAT IS ABOUT TO HAPPEN
891085824489537536 2017-07-28 19:59:50 -0400 <Chuckedtheworld> @realDonaldTrump 4 wheels or more right lane only. #trafficrelief
891085823449419780 2017-07-28 19:59:50 -0400 <redrock727> @realDonaldTrump I'm wondering how all this bullshit will be written in history books?
891085821880782849 2017-07-28 19:59:50 -0400 <kahuna754> @juney9800 @dunc2004 @DianeToucan @realDonaldTrump NY, NJ and CT all know him and said, HELL NO!
891085820828033030 2017-07-28 19:59:49 -0400 <PeggylBryant5> @ItsJonHartley @theonlywayisD @peplamb @realDonaldTrump @CA_4_Trump None of us is perfect. We r all at different levels. Sine Christians regardless of their age may not
891085818181308416 2017-07-28 19:59:49 -0400 <Deutschland4408> @realDonaldTrump That's why people are counting on Bob MUELLER !!!
891085816537264128 2017-07-28 19:59:48 -0400 <kentbernard64> @realDonaldTrump You are President.Something wrong young is. You own problems the people everything. Can't pick choose who you reprresent. Solo not Obama.
891085814809190401 2017-07-28 19:59:48 -0400 <kcamponovo> @murraypj1 @Protrump45 @realDonaldTrump Yes!
891085812309176320 2017-07-28 19:59:47 -0400 <sblank69> @realDonaldTrump Are U going to fire the leaders of SCPD ? Wow U should be completely embarrassed by this!  Are you turning red now?  https://t.co/fjZxmFVmqV
891085811537645568 2017-07-28 19:59:47 -0400 <snook8645> @realDonaldTrump Good selection Me. President. A non politician with a record of leadership and getting things done
891085806458343424 2017-07-28 19:59:46 -0400 <barmad250> @realDonaldTrump After hearing your speech today, I suggest that you read-if you do read-A Colony in a Nation. Violence is no answer.
891085805812305921 2017-07-28 19:59:46 -0400 <vwheato> @realDonaldTrump @BarackObama 🤣🤣🤣🤣🤣🤣🤣
891085805187366912 2017-07-28 19:59:46 -0400 <MsLove2Blog> @realDonaldTrump Better get China to send them a warning! #NorthKorea  https://t.co/OBGxMq5tJ1
891085804696723460 2017-07-28 19:59:46 -0400 <MMcclatxhy> @realDonaldTrump risked their entire career saving our campaign.
891085804487008257 2017-07-28 19:59:46 -0400 <MRIrene> @onpolitiks @realDonaldTrump Lots of guys in prison willing to pee on him.
891085804319256578 2017-07-28 19:59:45 -0400 <RichardBenners> @realDonaldTrump Mr President Something got to be done w/,Human Trafficking. It's a Horrific Crime, &amp; those responsible should be convicted
