1071192632284581888 2018-12-07 18:59:59 -0400 <markon83969340> @veteranhank @realDonaldTrump  https://t.co/im6vT5mY8a
1071192632146231301 2018-12-07 18:59:59 -0400 <shouse12> @realDonaldTrump I thought you hired the best people?
1071192632087470080 2018-12-07 18:59:59 -0400 <macscotchman> @realDonaldTrump Did Rudy tell you this? You do know he’s more demented than you.
1071192632087392256 2018-12-07 18:59:59 -0400 <lorrg11> @SuzEeeQFla @realDonaldTrump 1. She's Blond 2. She used to work for fox news 3. She used to work for fox news 3. She used to work for fox news There, she's impeccably qualified for playing trump's stooge on the world stage. Sorry Nikki, you did a credible job.
1071192632049745921 2018-12-07 18:59:59 -0400 <NikitaKitty> @tkurtz33 @realDonaldTrump Fat Chance!
1071192630971768832 2018-12-07 18:59:59 -0400 <HonestNHLRefs> Dow Jones industrial average loses 4% this week. This WEEK.  Thanks @realDonaldTrump   Goddamn clueless loser.  May you rot in jail and then hell.   Fuckwad.
1071192629491236865 2018-12-07 18:59:59 -0400 <HelloBeWell1> @realDonaldTrump Whats up with your personal members  Not answering so many Questions?? HELLO
1071192629042339842 2018-12-07 18:59:59 -0400 <bluewave_baby> @realDonaldTrump
1071192628467851265 2018-12-07 18:59:59 -0400 <Chazsac1> @realDonaldTrump Hey all you Individual 1 supporters..... why aren't you saying anything?
1071192628220321792 2018-12-07 18:59:59 -0400 <HaddockShannon> @realDonaldTrump Umm. No.
1071192628220309504 2018-12-07 18:59:59 -0400 <JanLNye> @JeannaLStars @realDonaldTrump True. She's the only one with any brains in that family.
1071192628094517253 2018-12-07 18:59:58 -0400 <TweetBenHansen> @realDonaldTrump HahahahahahahahahahahahahahahahahahHaha
1071192627926654976 2018-12-07 18:59:58 -0400 <Mydogisachonk> @realDonaldTrump You are a fraud. A fake. Fake president. Individual #1
1071192627230453760 2018-12-07 18:59:58 -0400 <Citizen79119751> @realDonaldTrump I don’t know, I think orange may be the new orange.
1071192626253230082 2018-12-07 18:59:58 -0400 <tigergrrldc> @realDonaldTrump  https://t.co/EshCIeSrAT
1071192625661792256 2018-12-07 18:59:58 -0400 <dixeydust> @realDonaldTrump you are SOOOO going down!!! #ResignNow you #POS!!! And take your syndicate with you! Bye, @MELANIATRUMP @IvankaTrump @jaredkushner @DonaldJTrumpJr and @EricTrump . #NotMyPresident #NotEver #Mueller #MuellerTime #MichaelCohen
1071192625598922753 2018-12-07 18:59:58 -0400 <mobrock> @realDonaldTrump  https://t.co/M8cgaBZRYd
1071192624994902016 2018-12-07 18:59:58 -0400 <Trump4future> @DonaldD61537731 @randomguy495 @deepspacediva @realDonaldTrump Well
1071192624919339008 2018-12-07 18:59:58 -0400 <1956kobe> @realDonaldTrump Great pick!!
1071192624151826433 2018-12-07 18:59:58 -0400 <chilehead4> @realDonaldTrump Did you do any work today besides #Tweet  ?
1071192623870894082 2018-12-07 18:59:57 -0400 <BoboChesterfie1> @HikindDov @realDonaldTrump @FLOTUS @VP Did  @FoxNews @foxandfriends @greggutfeld @GreggJarrett report on this? I haven't seen it.
1071192623820488704 2018-12-07 18:59:57 -0400 <vjn1> @realDonaldTrump I’d love to see you answer questions under oath... not that I believe that would stop you from lying.
1071192623577210880 2018-12-07 18:59:57 -0400 <wearnofur> Fred Loesser’s musical, “The Most Happy Fella” is now being adapted:  “The Most Happy Felon” is based on  @realDonaldTrump who thinks he’s clear of crime.🤣  #MuellerInvestigation #MuellerTime  #RussiaGate #SouthernDistrict #FactsMatter
1071192623266836480 2018-12-07 18:59:57 -0400 <divergentsall> @realDonaldTrump You really underestimate the integrity and intelligence of the American People.
1071192623149277184 2018-12-07 18:59:57 -0400 <Jeanne2813> @realDonaldTrump But not "Individual 1." This statement sounds like individual 1 has lost his mind. Call the men in the white coats.
1071192622822318081 2018-12-07 18:59:57 -0400 <joelytrumpshate> @realDonaldTrump 🎶It’s beginning to look a lot like prison...🎶
1071192621995954176 2018-12-07 18:59:57 -0400 <CherylPl> @realDonaldTrump Um, Individual 1? Not sure how you came to this conclusion.
1071192621878513664 2018-12-07 18:59:57 -0400 <MEUonamission> @LivingTheDrea__ @realDonaldTrump 🤣🤣🤣🤣🤣🤣
1071192621710630915 2018-12-07 18:59:57 -0400 <DBMillerIMO> @realDonaldTrump You so funny individual 1!
