1119027830019457025 2019-04-18 19:59:59 -0400 <Jenlskelly> @BehneMatthew @renato_mariotti @realDonaldTrump LOL. No.
1119027829298094081 2019-04-18 19:59:59 -0400 <webbster64> @stakessweeper @RaUL_AMDERLAINE @realDonaldTrump So for your home work you will have to memorize the letters as well as the order of the letters for 50 words in the Afrikaans language, I expect you to complete the assignment in 5 days
1119027829138776069 2019-04-18 19:59:59 -0400 <rob11563> @realDonaldTrump Sure Don. 🇷🇺#TrumpColluded 🇷🇺#TrumpObstructed 🇷🇺#MAGA 🇷🇺  https://t.co/68R49HOxzI
1119027828727717890 2019-04-18 19:59:59 -0400 <zrunn> "On my god. This is terrible. This is the end of my Presidency.  I'm fucked." - @realDonaldTrump  The words of an innocent man?
1119027828719280128 2019-04-18 19:59:59 -0400 <angryedrn> @ChatByCC @realDonaldTrump Da! Comrade CC!
1119027826433363968 2019-04-18 19:59:59 -0400 <Skex16> @realDonaldTrump @marthamaccallum @FoxNews No it's not even if you were innocent of conspiracy, obstruction is still a crime, you harmed the efforts of our law enforcement and intelligence community to figure out what happened and how to prevent future attacks which means that you aided a hostile foreign power
1119027826286563329 2019-04-18 19:59:58 -0400 <Grumpy_Oul_Man> @HansGetTheLuger @EdKrassen @realDonaldTrump @TuckerCarlson @seanhannity @IngrahamAngle We all do LickButt
1119027824160124928 2019-04-18 19:59:58 -0400 <axetogrind59> @CLJenkins16 @realDonaldTrump @JesseBWatters Frank Marshall Davis the communist who did porn movies with Obama’s mother is his father. Look at the photos and documentary, identical twins. Kenyan father was a sham everyone knew something was wrong.  You belong to the party of infanticide, socialism evil
1119027823732084736 2019-04-18 19:59:58 -0400 <SiriusMatdj> @charleslacalle @Joy_Villa @realDonaldTrump Left sucks at memes 🙄
1119027823077801984 2019-04-18 19:59:58 -0400 <ekimsllew> @realDonaldTrump @POTUS @JesseBWatters Donald Trump is guilty AF!! #MushroomDickDonald #pieceofcrap
1119027822935384065 2019-04-18 19:59:58 -0400 <TeresaMarieEspo> @realDonaldTrump  https://t.co/Tc9vOhONh4
1119027822817882112 2019-04-18 19:59:58 -0400 <kathansen38> @ChatByCC @realDonaldTrump Hillary 😂😂😂 Do they train you to say Hillary or Obama when Trump does something stupid?
1119027822553702400 2019-04-18 19:59:58 -0400 <gbothrey1> @therealvhipp @realDonaldTrump @marthamaccallum @FoxNews But there should be standards regarding Presidential candidates making contact with hostile foreign countries to discuss illegally obtained information on their opponent, right? Especially if said country is actively interfering in the election?
1119027822553468928 2019-04-18 19:59:58 -0400 <SallyMcDonald18> @realDonaldTrump @POTUS @JesseBWatters More lies.
1119027821769371649 2019-04-18 19:59:57 -0400 <TalsmaGirl67> @Chuchlady1 @realDonaldTrump @marthamaccallum @FoxNews Please.  Paul Manafort properties more than cover the cost.
1119027821739831296 2019-04-18 19:59:57 -0400 <GeneJHarrisCB> @krassenstein @realDonaldTrump If Obama would hav done his job then none of this would have happened. Yes do blame Obama and his Administration they were in charge. You can't have it both ways Obama's economy now and Trump's Administration then. It only makes you look foolish.
1119027821593202688 2019-04-18 19:59:57 -0400 <NC2020HPT50Y> @ShellyCov @heyitsCarolyn @realDonaldTrump Hubert Hubert
1119027820959809536 2019-04-18 19:59:57 -0400 <mthilt03> @realDonaldTrump @marthamaccallum @FoxNews This is literally the dumbest argument ever and Martha knows it
1119027820817154048 2019-04-18 19:59:57 -0400 <theitchypenguin> @realDonaldTrump Funny thing...there are NO clips in the video from today...the day we actually saw the Mueller report. Those clips are reaction to the false and misleading Barr memo.
1119027820334686208 2019-04-18 19:59:57 -0400 <BIGCANPB> @realDonaldTrump @POTUS @JesseBWatters Guilty man say what ?
1119027819890110464 2019-04-18 19:59:57 -0400 <metalmau5> @kitpalmer1998 @MarkPeriphery @realDonaldTrump  https://t.co/m7Qd4qER7f
1119027818736668672 2019-04-18 19:59:57 -0400 <samutsakhonjeff> @View_BKK @realDonaldTrump @PNM_79 Haha
