957765230385299457 2018-01-28 18:59:59 -0400 <cruisingqueen98> @realDonaldTrump   https://t.co/NsLTsSbUWh
957765230213451777 2018-01-28 18:59:59 -0400 <HameenShakeerah> @TheRickyDavila @realDonaldTrump Never believed they would. The only asshole who thought they would was Dippy Do little Trump.
957765229013745664 2018-01-28 18:59:59 -0400 <Meggaman2020> @henryh68 @pidzii1982 @realDonaldTrump Yeah! Take that Turd
957765228716085248 2018-01-28 18:59:59 -0400 <andrew_wiggen> @AverageXian @FailingYouthPtr @LloydLegalist @realDonaldTrump @JerryFalwellJr @RealAlexJones   https://t.co/kUeS3amhEW
957765228414070789 2018-01-28 18:59:59 -0400 <SteveJo2222> @realDonaldTrump Yes they are and always have been they are only interested in bringing in illegal aliens to find a way for them to vote. They have been successful  in WA STATE, CA, NY, AND CHICAGO. They don't  care about real Americans only care about destroying  America.
957765226178506760 2018-01-28 18:59:58 -0400 <ChloeCombi> @JohnEvansTW1 @piersmorgan @realDonaldTrump Oh, it's just gross. Less Nixon, nor Dix-on.
957765226077634560 2018-01-28 18:59:58 -0400 <mbrown65> @realDonaldTrump Mr President, can you do anything about predatory Student Loans. A lot of us in our 50’s have them, were unemployed in the early 2000’s, and now are either unemployable or caring for elderly parents which leaves us in default. I got one want to start living my life again
957765223796101120 2018-01-28 18:59:58 -0400 <AmTargeted> @realDonaldTrump can't wait to see the #ReleaseTheTexts and the #SecretSociety bummer created to bully those of us who believe in God and our #Country # setlizfree
957765219442405376 2018-01-28 18:59:57 -0400 <mcl_debbie> @kirimba @dammmnnnnnnnn @redcanthisman @George_Arsenal @Amazzon48 @sometimesJon @PhutaTumblr @KPM308 @tglocer @realDonaldTrump No thanks.
957765217416396801 2018-01-28 18:59:56 -0400 <Thesmooth53> @realDonaldTrump Thoughts and prayers. They do so much
957765209841700864 2018-01-28 18:59:55 -0400 <marvin_hill123> @cxpage @whatshaneblogs @LewisLiberman @alllibertynews @Birdseye1 @TwittaChicca @Al_Gorelioni @billcrowley3rd @carendweckstein @navy8r @mdmeMag @shelly2161 @HayleyS92342243 @Dugfromjamul @Dannaja64Danny @1FRAC1 @dswallen @Hardlanding @gamma_ray239 @LamarSmithTX21 @RepFrankLucas @DanaRohrabacher @RepMoBrooks @RepHultgren @congbillposey @SenDanSullivan @JimInhofe @SenMikeLee @SenCoryGardner @NoTricksZone @realDonaldTrump @POTUS @SenatorDurbin @PattyMurray @SenFranken @keithellison @RepMaxineWaters @RepAdamSchiff @repjohnlewis @RepGutierrez @RepAlGreen @RepTedLieu @NYGovCuomo @GovJVentura @GovernmentRF @MayorofLondon @NYCMayor @MayorOfLA @GeorgeTakei @georgelopez We know Believe me... We HUMANS UBLNDERSTAND
957765199234248705 2018-01-28 18:59:52 -0400 <Ljay2020> @realDonaldTrump Thanks @BarackObama
957765198835830785 2018-01-28 18:59:52 -0400 <iwillexposeyou2> @UrbanRx @LadyConserv @Kokomothegreat @realDonaldTrump That was the most ignant thing I have ever seen smh...
957765198101843968 2018-01-28 18:59:52 -0400 <jbeaton1993> The @realDonaldTrump @piersmorgan interview is a must watch.  We probably won’t get the same access to @potus again during his term in office.  Very interesting to hear Trumps views on specific topics.  #TrumpMorgan
957765197577576448 2018-01-28 18:59:52 -0400 <gaylawlawrence> @SheDoesArtWow @realDonaldTrump Fake news
957765196268916743 2018-01-28 18:59:51 -0400 <BrianBr78335232> @MargaretOsburn @Deanbaity1 @MAGAPILL @realDonaldTrump @jeffsessions The head of the black caucus stated that when people voted for Obama they new that they where voting for socilisim. His words not mine
957765195908214785 2018-01-28 18:59:51 -0400 <IWorkInTheWH> @realDonaldTrump I must apologize for my last tweet, which falsely insinuated that black people voted for @realDonaldTrump.
957765195702652928 2018-01-28 18:59:51 -0400 <MVL99> @realDonaldTrump PLEASE READ !!!!!  https://t.co/FrgEszQidH
957765192971993088 2018-01-28 18:59:51 -0400 <RIEHLGERRY> @realDonaldTrump Someone please inform Trump is a racist in the things he says and does affects everyone
957765192531705857 2018-01-28 18:59:50 -0400 <Crackupboom1> @thecjpearson @realDonaldTrump Another great video man, wise beyond your years. Dont take it personally though jay-z is just a tool playin his part
957765192460447750 2018-01-28 18:59:50 -0400 <Kevinsbsg1> @DarManz14157667 @realDonaldTrump I'm sorry for the troubles you have in your country. I hope for things to get better for you and your people.
957765190862372864 2018-01-28 18:59:50 -0400 <wcoolbreeze> @EPiC_Isha @AdrianaCohen16 @VanJones68 @realDonaldTrump @CNN No it wasn’t obama has hidden from Chicago for 9 years and the problems have grown much much worse
957765190057066496 2018-01-28 18:59:50 -0400 <scuba_reese> If God is real how come he doesn't help police? @realDonaldTrump @BarackObama
957765190052872192 2018-01-28 18:59:50 -0400 <SueWhitaker11> @DVATW @realDonaldTrump @piersmorgan Trump is a top bloke IMO. Excellent interview - what's not to like? A true patriot &amp; puts his people first. For all those who pledge a demo to oppose Trump's visit (Owen Jones, Corbyn etc), I say for every 1 they turn out, we turn out 3 👍
957765189524508672 2018-01-28 18:59:50 -0400 <walter_radu> @realDonaldTrump Jay-Z LOL
957765188081606658 2018-01-28 18:59:49 -0400 <truthsearch1957> #POTUS #Trumps @Senate @realDonaldTrump @FBI @DOJ @POTUS @Congress @KellyannePolls @SCOTUS @FLOTUS @IvankaTrump @DeptVetAffairs @WhiteHouse #Hollywood #Palmsprings #Carmel #LosAngeles #Monterey #Malibu #Laguna #MissionBeach #sacramento #LongBeach #California #santamonica #SanJose  https://t.co/1srSHZtgKG
