953054182952591362 2018-01-15 18:59:58 -0400 <jengburke> @davidaxelrod @realDonaldTrump He is a racist fraud.
953054182134697984 2018-01-15 18:59:58 -0400 <Skiridr> Donal J Trump is a RACIST LIAR. @POTUS @realDonaldTrump
953054181979541504 2018-01-15 18:59:58 -0400 <CarlosF19d> @TNOutlaw2020 @pagalvin @LouDobbs @realDonaldTrump @SebGorka Here are some more;  https://t.co/CLj8JL1xqq
953054181476261888 2018-01-15 18:59:58 -0400 <VolksJag> @realDonaldTrump While you clumsily call other nations shitholes, a once rich neighbor is becoming one. Gonna act for Venezuela? Ur button?
953054180402454528 2018-01-15 18:59:58 -0400 <TheHypeIsRight2> @realDonaldTrump But it wasnt trumps fualt!! As always.  https://t.co/YyNxoexe8K
953054179173466113 2018-01-15 18:59:57 -0400 <CLAYHATCHIE> @realDonaldTrump 🥃
953054177374195712 2018-01-15 18:59:57 -0400 <kbmartin90616> @realmattrizzuto @SisterAsphalt @contenttheory @PappNancy @ShellyRKirchoff @WhiteHouse @realDonaldTrump   https://t.co/yvdshbBzP9
953054176715722755 2018-01-15 18:59:57 -0400 <lexietalks> @kimmieclark1252 @MatthewWWGD @mrstimmypaws @ZemanLynnZ @realDonaldTrump You’re*
953054171514650624 2018-01-15 18:59:56 -0400 <eaparkstweet> @sendavidperdue @realDonaldTrump "300 bureaucrats fired from the DOE" - I hadn't heard that before and it made my day. Thanks.
953054169329381376 2018-01-15 18:59:55 -0400 <TreasonIsNotOk> @awoodard1004 @JulianSvendsen @realDonaldTrump @POTUS Obama punished them with sanctions and taking away their compounds. We have been warned by intelligence that Russia has not left, and WILL be in our 2018 and 202 elections if not stopped. Our elections need to be protected &amp; I'm not wasting anymore time with you about it. Bye.
953054167073017856 2018-01-15 18:59:54 -0400 <JulieTwinlaker> @DineshDSouza @realDonaldTrump Well there would be fires burning, rioting in the streets, Antifa protests..the MSM would be talking and providing opinions from racism activist on the shows for weeks? But Hillary Clinton does it and we get crickets?
953054162987683840 2018-01-15 18:59:54 -0400 <201_4134> @realDonaldTrump You are not ready willing to pass DACA LEGISLATION.  STOP lying and fix DACA!
953054162236923904 2018-01-15 18:59:53 -0400 <ksk1951> @realDonaldTrump @GOP Previous Presidents have spent MLK day doing public service work. You had your fat ass dropped into one of your shithole golf clubs.
953054155383296000 2018-01-15 18:59:52 -0400 <JFKinAZ> @TimonPrax @rizbozz @realDonaldTrump People will just go around and under. Parts are unrealistic to build anyways. Simpler solution, fine and enforce laws on employers who hire illegals. Problem solved.
953054154443943941 2018-01-15 18:59:51 -0400 <grandmabarbara> @realDonaldTrump You are an expert as misrepresentation. You don't want DACA so just admit. You are hurting our military and our country, little donnie. Why don't you resign and just leave us to try to pick up the pieces of the mess you've made.
953054154292973568 2018-01-15 18:59:51 -0400 <goldenj_golden> @FoxNews @RandPaul @realDonaldTrump Sure he did it because of a tax write-off.
953054152577470464 2018-01-15 18:59:51 -0400 <EmilyOpined> @AmericanIndian8 @POTUS @realDonaldTrump From the moment he won the electoral college! except why tweet at him?
953054151352705024 2018-01-15 18:59:51 -0400 <AuntieCelene> @DonaldJTrumpJr @realDonaldTrump A planet where the POTUS is a racist, misogynist, white supremacist whose idea of economic stimulus is paying hush money to porn stars
953054150396297216 2018-01-15 18:59:51 -0400 <spicy_herrera> @realDonaldTrump How about we start by funding the chip program?
953054148567687168 2018-01-15 18:59:50 -0400 <Xtien> @grayarea636 @ams_syd @Alyssa_Milano @realDonaldTrump Compared to 0.2 for most of Europe.
953054145103257600 2018-01-15 18:59:49 -0400 <victor81314077> @realDonaldTrump America has always being first and have always being great, it’s the trumps that are holding the U S up with the shit you say instead of wronging of the bad things here and now
953054141986889728 2018-01-15 18:59:48 -0400 <spotontruth> Now this is how you do it. It's called being a real president that people are proud of... you could never get that many likes on any tweet unless you said you were resigning. @realDonaldTrump #BlueTsunami2018 #FakePresident  https://t.co/nvrXMaF2xa
953054137368895489 2018-01-15 18:59:47 -0400 <DavidEa14555639> @SheriffClarke @realDonaldTrump @AmericaFirstPAC Why are you supporting the alt right? Do you actually think they will leave you alone if you back them?
953054136248958978 2018-01-15 18:59:47 -0400 <FrogBrew> #hatetrump @cnn @realDonaldTrump  I don't get it, Trump is holding the dreamers hostage and the democrats are the ones with the money. The president is not supposed to be the bad guy right? He says Dems want drugs and all the bad stuff  pouring in? I have only heard them say Daca
953054132377567232 2018-01-15 18:59:46 -0400 <Aria_Dipa> Hi, I just follow you @realDonaldTrump don’t be a dick got it?
