1088587249833390080 2019-01-24 18:59:59 -0400 <Rre_shima> @realDonaldTrump Without you the world is a better place
1088587248164106240 2019-01-24 18:59:59 -0400 <Markin43214> @CongressmanHice @SpeakerPelosi @POTUS @realDonaldTrump Jordan tweets more than Baby Trump......get a job, Jimbo
1088587246054207488 2019-01-24 18:59:59 -0400 <JoeBenedett> @realDonaldTrump Funny that Mr. Art of the Deal is doing none of the negotiations
1088587245261602818 2019-01-24 18:59:58 -0400 <wildwillie13> @TeceaP @DeniseConway19 @ChrisJZullo @realDonaldTrump Funny how Border Patrol changed stance on Fences and Walls...has changed.  https://t.co/oLMr2ABMAt  https://t.co/aWE02QEyHC
1088587245081133062 2019-01-24 18:59:58 -0400 <urbanlifeliving> @realDonaldTrump Walls were effective in the Middle Ages—-but folks who traffik drugs and people are clever and walls will not deter them. We need a smarter approach.
1088587243047002114 2019-01-24 18:59:58 -0400 <Pegasus6one> @TheRISEofROD @KAG4All @POTUS @realDonaldTrump Nancy doesn't want the American people to hear the truth, just like when she wanted to debate about the Wall in private and not in front of the press, on camera for all America to see and hear.    https://t.co/Ng3sfM5sMQ
1088587241667084288 2019-01-24 18:59:58 -0400 <GenovisD> @dessndave @dlstump @steph93065 @realDonaldTrump NAH your just blind
1088587240295616514 2019-01-24 18:59:57 -0400 <madagaingirl> #LetThemEatCake I think Americans could take a lesson From France right now. You know what happened to Marie Antoinette, right @SecretaryRoss &amp; @realDonaldTrump? We won't be the #GiletsJaunes, we will be the  #ImpeachmentMarchers.
1088587237753831431 2019-01-24 18:59:57 -0400 <csbaker> @DavidBrodyCBN @SpeakerPelosi @realDonaldTrump This one didn't age so well, did it?
1088587236965339136 2019-01-24 18:59:56 -0400 <robbysems> If they are making $120k per year, maybe that is part of the budget problem. Hold strong @realDonaldTrump #BuildThatWall
1088587236961079296 2019-01-24 18:59:56 -0400 <LileannaJ> I don’t think that the children in the White House understand how vulnerable our country is at the moment but like any child would be, they are reactive instead of proactive. @CNNTravel @cnnbrk @realDonaldTrump @SpeakerPelosi @senatemajldr @SenateGOP @SenateDems @FoxNews
1088587234805071873 2019-01-24 18:59:56 -0400 <Bampolinfo> @realDonaldTrump More exciting than that would be getting you out of the White House!
1088587232729010181 2019-01-24 18:59:55 -0400 <heartsmarttela> #BreakingNews 4U #TrumpRussia #LiarInChief @realDonaldTrump: “#Trump’s #Lawyer Said There Were “#No #Plans” for #TrumpTower #Moscow. #HereTheyAre.”  https://t.co/mDhcaJJyAE  https://t.co/QeGLd2S7XC
1088587232120778755 2019-01-24 18:59:55 -0400 <elect_Big_Bird> @realDonaldTrump  https://t.co/fMJESonZ72
1088587231680434176 2019-01-24 18:59:55 -0400 <DonaRisley> @realDonaldTrump Liar In Chief
1088587231609135104 2019-01-24 18:59:55 -0400 <tiger_reviews> @JimKilbane @realDonaldTrump @TuckerCarlson You can never UN SEE his  #share #DaddyDaughter
