963563431331852289 2018-02-13 18:59:58 -0400 <Viperxsilencer> @realDonaldTrump jk
963563425006804992 2018-02-13 18:59:57 -0400 <TBSmithIII> @realDonaldTrump You're a PIG!
963563422934847494 2018-02-13 18:59:56 -0400 <wvjoe911> @RealDonaldTrump #TrumpsNazis  https://t.co/1iAjZbcYWz
963563422146162688 2018-02-13 18:59:56 -0400 <larry_author> @BrookeTResists @MarkHerringVA @joanwalsh @realDonaldTrump While we might wish that were true, there is no authority under the Constitution for overturning a presidential election. Founders never envisioned the perfect storm that elected Trump.
963563417805127681 2018-02-13 18:59:55 -0400 <nyc_data_geek> @johnrobertsFox @FoxNews @realDonaldTrump sounds like the behavior of someone who is extremely "innocent"?  https://t.co/SqSi3udGca
963563417310294016 2018-02-13 18:59:55 -0400 <LetOurPeopleGro> @HealAlexis @CBCNews Hey #CANADA, have you heard of this very important trial happening tomorrow in AMERICA???  #GodMakesNOmistakes #HappyValentinesDay ❤  #LetOurPeopleGROW #CannabisIsGOOD 🙌  #KeepBeingAblessing @realDonaldTrump 🙏
963563415427002368 2018-02-13 18:59:55 -0400 <cindygold298> @RGlennCooper1 @JamesMc30559324 @bmin @WrobleSgw11 @kmiranda1973 @realDonaldTrump So he is running this government like he would a business. Borrowing &amp; borrowing then spending and spending and if the investment doesn’t pay off he’ll file bankruptcy. Unfortunately that debt falls on our children. Which makes me very concerned for their future.
963563414248333312 2018-02-13 18:59:54 -0400 <AbrahamAlyzah> @PwrCane1 @DonTheCon13 @CatTonic1 @winwithTrump45 @Simply_Louisa @FKNFairyPrinces @xXGarboXx @RUGER1022badass @alshadowdancer @StewartHansen3 @DAFUQUSA @Bkrenfro5Renfro @RoyMunsonAZ @Melody7473 @marcialynnjones @jonos100 @KatherinVII @libertyschild1 @garywil80738274 @instinctnaturel @mercer4pussgrab @Patriot4sure @Elepitts1997 @ignorancecosts @ICanPlainlySee @PeterPa59806913 @Putinshorse @left_republic @PotPolitics @BluDiamindVIi @Methos48970151 @jeeptec420 @TricoLorro @Trumplife2020 @PawnSpicer @Triton102 @newgar @TRUMP4H0PE @windycitybilly @alimr313 @villamarshmello @ChadBing__ @mommabee47 @any1buttHillary @ShilohStarrs @eagle1776n @GunsmithA @TGowdySC @DevinNunes @realDonaldTrump War with NK would be nuclear. How would anyone win?
963563413346676737 2018-02-13 18:59:54 -0400 <FunkePer> @axios well, it's not his money, tralala... #MAGA @realDonaldTrump
963563410599243776 2018-02-13 18:59:53 -0400 <AtmaSudy> Trump promised not to run $400 billion deficits. So he’s running a $1 trillion one, instead.  https://t.co/4ygHuRDn6z via @HuffPostPol   #dufferTrump  #treasonousTrump @realdonaldTrump
963563408837636096 2018-02-13 18:59:53 -0400 <hustonmckinney> The POTUS is a traitor.  Let me spell it out, the president of the United States of America is a traitor.  There are no if's, and or buts about it. This is way past being a Repub or Dem, this is about a democracy. Are  you a United States citizen? @realDonaldTrump is a traitor.  https://t.co/DsqFfdT8w0
963563407747231751 2018-02-13 18:59:53 -0400 <Font_Snob> Public lands are our heritage. These lands belong to all of us. @realDonaldTrump #MonumentalMistake  https://t.co/5AuQfkO5J6
963563407453585409 2018-02-13 18:59:53 -0400 <cosmicspice> @XxKuroSteelxX @oakej9207 @shaide @mamakin72 @StraightOutta16 @coolcam101 @realDonaldTrump I dont believe that Trumps a Nazi. I dont recall saying that but I do believe that he is aware that many of his supporter harbor those tendencies.  Hes just the #SypathizerInChief but again Ive pointed out many disturbing pieces of evidence that you ignore.
963563406878896129 2018-02-13 18:59:52 -0400 <DawnCuny> @realDonaldTrump is guilty af  https://t.co/GrBMnQgCJN
963563400562466816 2018-02-13 18:59:51 -0400 <09072021> @realDonaldTrump @angelaminer81 How about answering why Obama was trying to guilt trip Boehner about a bridge that needed repairs in Boehner's own district?  Oh, yeah, the GOP didn't want to cooperate with Obama on infrastructure repair.
963563400134619137 2018-02-13 18:59:51 -0400 <CheekyDevil> @SenateDems @MarkWarner Impeach Trump from office &amp; you remove a major threat. Act now before @realDonaldTrump &amp; WH staff with no clearance can potentially leak national secrets -particularly given his liaising with criminals &amp; criminal activities thus far in the WH.  #TrumpResign #ItStopsNow
963563399748640774 2018-02-13 18:59:51 -0400 <KarenLehner> It is @realDonaldTrump 's sworn duty to defend the US. He is in breach of his Oath of Office. The Congress must impeach @realDonaldTrump now. OR does Putin have something on @HouseGOP @SenateGOP ? Are they colluding with Russia?  #ImpeachTrumpNow  https://t.co/WkFcMlbHMD
963563399010574336 2018-02-13 18:59:51 -0400 <bjdmama> @KC_kristi @Alyssa_Milano @realDonaldTrump Right. Those  fast food jobs, hotel jobs, restaurant jobs  all provide a living wage.
963563398901522437 2018-02-13 18:59:51 -0400 <mortmn> @realDonaldTrump Yet we taxpayers have to pay millions  for you to vacation nearly every weekend at Maralago.  Hypocrite.
963563398863597568 2018-02-13 18:59:51 -0400 <LisaBourne11> @Mlsmith300Smith @EdKrassen @IRdotnet @realDonaldTrump I was thinking of keeping them here on a working visa. But no, illegal voting is not acceptable. Deport every single one of them!
963563398167519232 2018-02-13 18:59:50 -0400 <rwestupid1> If there is corruption with the #FoodStamps program just Imaging how exponentially will grow with the @realDonaldTrump administration proposed #FoodBags eg. #Venezuela's #Clap; @maibortpetit @jammastergirish @kejalvyas
963563395696934912 2018-02-13 18:59:50 -0400 <Mikanojo> @eainaire @SarahConnor2017 @realDonaldTrump Crackers packaged with cheese-flavored dust, awful-tasting candy, chocolate and dog food?  Unhealthy food like that will only cause MORE health problems for the poor.
963563393453056000 2018-02-13 18:59:49 -0400 <ChapmanLaurie> Like the "old, weak" part! @realDonaldTrump @maddow  https://t.co/VA8kWxrZHf
963563387417432064 2018-02-13 18:59:48 -0400 <Dump_McTrump> @Rightwingmadman @realDonaldTrump You are almost as big a Clownshoe as Ol' Baldy Trump. Hard to see around that hot mess of a hairdo he has. Probably should innovate a tupee.
963563386922467330 2018-02-13 18:59:48 -0400 <Markertaaron> @realDonaldTrump Pretty sure most of society thinks you're more racist than the Django movie but thats just me..
963563386796560384 2018-02-13 18:59:48 -0400 <Kinnekitsune> @rirakkusu @MarkHerringVA @realDonaldTrump We can start with you. I don't recall the native americans wanting you here. Get the fuck out. Move to north korea, since you hate freedom so much
963563384678514689 2018-02-13 18:59:47 -0400 <eelagr> @EdanClay @realDonaldTrump Trojan horse IS UNloaded, it has been over a YEAR. Allowing Top Russian spies here &amp; informing US via Russian media w/ pics for proof. Rubbing our noses in it by hosting 60 Russians at the NATIONAL Breakfast. Complicit Republicans acting UNDER DURESS? Their families live here too  https://t.co/HonRPoDaxx
963563380714942464 2018-02-13 18:59:46 -0400 <AJCALAMITY> @letters4trump45 @KickinBrass1 @GenJohnKelly @realDonaldTrump @GenJohnKelly is a man of great character and integrity. We are grateful for his service and his continued commitment to the betterment of our country. 🇺🇸
963563380404449280 2018-02-13 18:59:46 -0400 <CL_Ferrell> @SpeakerRyan Oh Paul @speakerryan @realDonaldTrump @GOP stop the lying.  Most of us know the GOP only uses God and prayer to PRETEND to be good Christians.  Your party is anything but good Christians.  Just manipulating the masses...How about praying for of our country in the hands of crooks?
963563380333215745 2018-02-13 18:59:46 -0400 <deputyjasIII> Patriots we really have to start an all out campaign to get Trump to discontinue the White House Press Corp.  This is just getting Too ridiculous Why extend their Platform @realDonaldTrump Retweet asap
963563375736311813 2018-02-13 18:59:45 -0400 <Indychick31> Hear that @realDonaldTrump ??  https://t.co/UFmNtcoBxz
963563375673401344 2018-02-13 18:59:45 -0400 <drtrotman> @realDonaldTrump All these FEMA camps built all around the U.S. should be used to hold these 10000+ felons. Hear Gitmo is full or nearly full. Don't make the prisoners lives pleasant. Treat them like the dirt they are!
963563375019155456 2018-02-13 18:59:45 -0400 <JulieEggemeyer> @krassenstein @realDonaldTrump 😂
