977696561827401728 2018-03-24 19:59:59 -0400 <GINGERLDUFF> @LCharretier @realDonaldTrump I concur 💯.
977696561315614720 2018-03-24 19:59:59 -0400 <grandmaofanange> @Bellafach01 @thedmproject @realDonaldTrump The reason y S Court did that, was bk it was a against  constitution, a threat to checks + balances..u know,  crap that insures our Dem gov  won't turn in2 an autocracy. B4 u vote again, would be in my + your best interest, if you took  basic civics . Unless u object 2 democracy
977696559528841216 2018-03-24 19:59:59 -0400 <YourMrBumbles> @markaustintv so hope it does come to matter and that  @HouseGOP @SenateGOP recognise that how they respond now will affect their lives and careers for ever. Ironically it may happen on the watch of a maverick Republican @POTUS @realDonaldTrump himself   https://t.co/QzheCMaFW5  https://t.co/sBUKLU3W3K
977696554277511168 2018-03-24 19:59:57 -0400 <Bkcastler> @FoxNews @SenWarren @realDonaldTrump Yea. Brilliant. Why don't you ask the non transgender military personnel to vote on it?  It might help if you ask THEM to weigh in on it  Sacrifice the concerns of the many for the concerns of the few. I don't think that's too smart.
977696554139115521 2018-03-24 19:59:57 -0400 <PenmarkFem> @realDonaldTrump  https://t.co/hpBqXtPGdo
977696553744859141 2018-03-24 19:59:57 -0400 <malabu26> “Bone-Spur Donny” just banned transgender Americans who want to volunteer to do what he was not willing to do- risk their lives in service to our country. @realdonaldtrump moves to ban most transgender people from serving in military  https://t.co/rsf9ezZy8v
977696549764399104 2018-03-24 19:59:56 -0400 <widerchange> @JohnGuandolo @realDonaldTrump @JewhadiTM @THEHermanCain @1776Stonewall @TomFitton @AmbJohnBolton @DHSgov I wish it were shocking, such unbridled ignorant bigotry from a Drump supporter.
977696548703350784 2018-03-24 19:59:56 -0400 <criseeehamilton> @jerome_corsi @realDonaldTrump AMEN why can't the train jumpers understand this?
977696547403071489 2018-03-24 19:59:56 -0400 <blue1byu> @ACLU @angela_rye @realDonaldTrump Trumps move was just to go anti-Obama. He had no clue of the consequences or disruption in these lives. Now he doesn't know what to do other than blame the usual suspects. But nobody believes his bullsh*t. He's just weak and has zero empathy.
977696543317819399 2018-03-24 19:59:55 -0400 <EdlemonSandra> @ericbolling @realDonaldTrump We know You would be a great asset to the Prez.  😀
977696541526945792 2018-03-24 19:59:54 -0400 <KnappDoolittle> @realDonaldTrump Thank you Mr. President for all you have done for this country!  Against the odds you ARE making us great again.
977696541371543552 2018-03-24 19:59:54 -0400 <2010CGW> @scklyn @krassenstein @StormyDaniels @realDonaldTrump The former is the most likely, AND, perHAPS, a high NUMBER as well...
977696541367590913 2018-03-24 19:59:54 -0400 <hailstate1111> @FoxNews @realDonaldTrump GOP will probably need it after November!
977696541132705793 2018-03-24 19:59:54 -0400 <Lynn79273345> @CoachRVinson @d_c_d1 @zizabella @realDonaldTrump Trump has no principals.
977696533184475138 2018-03-24 19:59:52 -0400 <TXRGV1> @whostheboff @VickieLu70 @J_A_P_A_C_S @RoseAJacob @msacadien @janeosanders @HillaryClinton @BernieSanders @democrats @realDonaldTrump @TheDemocrats @GOP Still can’t take that u guys are to blame for this?   😁
