1183532870251380736 2019-10-13 19:59:59 -0400 <lucerorose52> @tedlieu @realDonaldTrump Starting with you.
1183532868263469057 2019-10-13 19:59:59 -0400 <ChristineOrland> @realDonaldTrump @marklevinshow @FoxNews Sorry watching The Walking Dead, kinda like watching the GOP eat it’s own.
1183532866526949376 2019-10-13 19:59:59 -0400 <BettyN1956> @realDonaldTrump Resign traitor.
1183532865826512901 2019-10-13 19:59:58 -0400 <siwan33821583> @realDonaldTrump fuck uu
1183532864920530945 2019-10-13 19:59:58 -0400 <OneGlobalTribe> @realDonaldTrump JSTFU  ALREADY.
1183532864232538112 2019-10-13 19:59:58 -0400 <EMastrro> @GinnyStrassbur1 @ItalianAFC @AussiePatriotQ @Tatmy3 @veronelle1 @FrancoNeroSica @siminuteman1776 @ParenteJeffrey @basili_debra @joez72 @Sedulous123 @T26715155 @DanteGeo @JosephPascarel7 @bugsysbak @pegasus4002 @Patti_Sc60 @gemgirl1340 @rphfrank @AnthonyIzzo11 @JoanneTarpon07 It breaks mine you are so lost. Join us and you will feel a WINNER AGAIN! @realDonaldTrump is Blessed by God 🇺🇸🇺🇸🇺🇸
1183532864111087621 2019-10-13 19:59:58 -0400 <OnyxMant> @realDonaldTrump Who's your friend, Hmm looks familiar. Probably knew him a few years ago.  #TrumpIsAnIdiot  https://t.co/ngyjTUXCh8
1183532863075094528 2019-10-13 19:59:58 -0400 <lebii3271> @LindseyGrahamSC @realDonaldTrump You’re a joke
1183532862508802049 2019-10-13 19:59:58 -0400 <crummuffin> @HillBeverlyhill @realDonaldTrump
1183532861158232064 2019-10-13 19:59:57 -0400 <putneyswope7> @realDonaldTrump #TrumpBetrayedOurAllies #LOSER @POTUS #ResignNow subhuman  https://t.co/dphuQfuLES
1183532860831158272 2019-10-13 19:59:57 -0400 <Tatiana18838951> @realDonaldTrump World peace or your gaining pieces of property around the world?
1183532860055011328 2019-10-13 19:59:57 -0400 <GeoffTebbetts> @LindseyGrahamSC @realDonaldTrump You let him do this.  Both of you need to be shown the door.
1183532859916554242 2019-10-13 19:59:57 -0400 <RobMT406> Here @marcorubio I’ll @realDonaldTrump for you. Coward!
1183532859744604160 2019-10-13 19:59:57 -0400 <sgeorge52> @LindseyGrahamSC @realDonaldTrump  https://t.co/7CtDd4b7JK
1183532859635552256 2019-10-13 19:59:57 -0400 <HeliJoc> @w_terrence @realDonaldTrump Have the milk cartons gone out yet?
1183532858050334720 2019-10-13 19:59:56 -0400 <ceceayeobore> @Maria20254439 @ButMostlySwears @unclepaws @USMCLiberal @realDonaldTrump OMG she believes in Trump’s God this is absolutely crazy. Lady go read your bible.
1183532857807048705 2019-10-13 19:59:56 -0400 <KomradeTrumpGE> @realDonaldTrump Now do North Side of Syria..
1183532857286750208 2019-10-13 19:59:56 -0400 <misplacedsouthy> @realDonaldTrump @marklevinshow @FoxNews You are the scam. Mygawd, I don't understand how your followers cannot see it. Delusional megalomaniacs should not be pretenders in the W.H.
1183532856670392320 2019-10-13 19:59:56 -0400 <Marshyami> @realDonaldTrump @marklevinshow @FoxNews You put people's lives in danger with these hateful lies. Your birther hoax lasted 5 years. Death threats on the Obama's didn't stop you. "Obama was born in the US..period." You had fools marching &amp; chanting in violent protests &amp; you say "period" ..never question my fake news.
1183532856582250497 2019-10-13 19:59:56 -0400 <LicausiGlenn> @realDonaldTrump Dump your going down !!!
1183532856548745216 2019-10-13 19:59:56 -0400 <viksis52> @realDonaldTrump Impeachment can’t come soon enough. Send in The white coats and just remove him from the building.
1183532856259284992 2019-10-13 19:59:56 -0400 <Karl_Peterso> @unclepaws @USMCLiberal @realDonaldTrump He didn't even try to negotiate with Russia, Assad, Iran or Turkey. He run away and claimed it was a great victory. He simply doesn't care about Syria, the Kurds, the Middle East ...
1183532855894401024 2019-10-13 19:59:56 -0400 <sisabatter> @bfraser747 @realDonaldTrump 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮✌🏾✌🏾✌🏾✌🏾✌🏾✌🏾✌🏾✌🏾✌🏾✌🏾
1183532854652919809 2019-10-13 19:59:56 -0400 <GeraldA76396545> @realDonaldTrump Great,but how was your day? You and the misses injoyed being home and dinner.  As I, went to Dinning Out with Civil Air Patrol we had great time. I have three grandchildrens serving. They got to place the brass instrument. It was wonderful.  Have a great evening, Sir.
1183532853361102848 2019-10-13 19:59:55 -0400 <livinginUS_Eh> @realDonaldTrump  https://t.co/eolPpcT2P0
1183532853197492224 2019-10-13 19:59:55 -0400 <AustinAnnieD> #Trump #Trump2020 #POTUS  @realDonaldTrump @POTUS @FLOTUS  https://t.co/xjnqsI4GqE
1183532852174114816 2019-10-13 19:59:55 -0400 <BronxBrat51> @realDonaldTrump @marklevinshow @FoxNews Where’s Barron?
1183532851540746242 2019-10-13 19:59:55 -0400 <BillettSusan> @realDonaldTrump She is dangerous...or stupid...or dangerous because she is stupid...
1183532851519582208 2019-10-13 19:59:55 -0400 <MyOtterName> @BoomerApproved @YeezysDaddy @tonyposnanski @realDonaldTrump Ivanka does.
