987118647389941765 2018-04-19 19:59:59 -0400 <ellistell> @realDonaldTrump 🙄
987118646202982400 2018-04-19 19:59:59 -0400 <jonathanlynnfal> Hey @EPAScottPruitt and @realDonaldTrump -- stop the rollbacks on #CleanerCars standards!   https://t.co/T4ZF1GplFX
987118646160801792 2018-04-19 19:59:59 -0400 <StandingDrummer> @realDonaldTrump #Dotard Donnie-boy
987118644281786369 2018-04-19 19:59:59 -0400 <clarissamehler> @SerenasSong @GOP @SpeakerRyan @SenateMajLdr @WhiteHouse @POTUS @realDonaldTrump @HouseGOP @SenateGOP @VP @MSNBC He won’t fire Rosenstein or Mueller neither according to Rosenstein is he target in any investigation
987118641920569345 2018-04-19 19:59:58 -0400 <RedSoxMVP> @wolfees84 @MaryCar52186774 @OliverMcGee @realDonaldTrump It's always the way. Someone says something and then someone gives the information but no more likes or comments come because they really didn't want the information they just want to put down the people.
987118637847924736 2018-04-19 19:59:57 -0400 <Peggyw66> @realDonaldTrump Hopefully none of your choices get confirmed. It is not the Dems at fault. It is the people YOU keep choosing who are unfit, bigoted, criminals, anti-women, anti choice, and just ugh.
987118635859640320 2018-04-19 19:59:57 -0400 <Stop_The_Donald> @realDonaldTrump Violent crime across the country is at an all time low.    https://t.co/2Yji8poKkj  https://t.co/qvtCIDKTOl
987118632659546113 2018-04-19 19:59:56 -0400 <reporter616> @realDonaldTrump  Pay close attention to who she is really talking about.  https://t.co/B2tXMenKTp
987118625138995200 2018-04-19 19:59:54 -0400 <ImSoConfused225> @JordanBranam @pharmchick @NascarFanAddict @DonnaGlaso @jawfreelok @johnnynaugahyde @realDonaldTrump Global warming, better known as "climate change", is very real. You have been endlessly fed propaganda. I have no patience anymore for complete idiots. Blocking your BS!
987118624522620928 2018-04-19 19:59:54 -0400 <ag_fisher> @Momqueen95 @realDonaldTrump You never lied? Shut up.
987118623608262656 2018-04-19 19:59:54 -0400 <Steven50526267> @realDonaldTrump   https://t.co/Cy5CUifeyY
987118621678710784 2018-04-19 19:59:53 -0400 <BiancaDevones> @realDonaldTrump @MarshaBlackburn 😂😂😂😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂🤣😂🤣🤣🤣🤣
987118619044724736 2018-04-19 19:59:53 -0400 <thepoolguysteve> @blainekell6 @LisaLint3 @realDonaldTrump Here’s some facts California has a C-national ranking in education, a D+ in infrastructure 50th on the quality of life, 45th on air quality and have the highest gas and income tax rate in the nation. If we have so much money, where is it going?
987118616142385153 2018-04-19 19:59:52 -0400 <DJaxAandM> @KaniJJackson @IAmSophiaNelson @realDonaldTrump
987118614598836226 2018-04-19 19:59:52 -0400 <ImAkEmOrEsEnSe3> @thehill True Christians could not with good conscience and faith follow 🍊 @realDonaldTrump. @God commands to love thy neighbor. Feed the hungry. And give love and compassion. None of that is the scandalous @POTUS. Always #Resist #TrueBelievers  #OrangeCrush  #ImpeachTrump  https://t.co/I4x9DvcWd4
987118614410088453 2018-04-19 19:59:52 -0400 <SecretShamus> @jimlibertarian @realDonaldTrump I thought I blocked most assholes?
987118612593958912 2018-04-19 19:59:51 -0400 <fluxus2> @KrisK75USMC BREAKING:  A sketch just released depicting the suspect who is responsible for @HillaryClinton's loss to  @realDonaldTrump.  https://t.co/n0EjibbAvX
987118612543692805 2018-04-19 19:59:51 -0400 <MackMahoney> @realDonaldTrump The dems smell victory in november, but I think they're smelling the shit in their own nest...let them keep doing what their doing and the American people will give em something to smell, and it won't be Victory!
987118611478167552 2018-04-19 19:59:51 -0400 <AndersenTelma> @Fuctupmind @realDonaldTrump I wonder how much Trump's mafia paid her to do this.
987118610949787649 2018-04-19 19:59:51 -0400 <tdjna> @realDonaldTrump Like you care what America needs. #MAGARESIGN
987118607967641600 2018-04-19 19:59:50 -0400 <bp27822> @blainekell6 @realDonaldTrump I wouldn't call 50,000 illegals a week not a problem. It's insane.  Any sensible person would not want that for thier country.
987118607959117824 2018-04-19 19:59:50 -0400 <1davebranham> @realDonaldTrump It's time to start putting governors and mayor's in jail. Let's start making them pay for their criminal defense.
987118605325266945 2018-04-19 19:59:49 -0400 <turczyja_jan> @realDonaldTrump Time to take action like Kennedy did with Wallace.
987118603735633921 2018-04-19 19:59:49 -0400 <TRUMPARMY2020> There's a solid reason 4 this... He's sending a message to "Little Rocket Man" that He means business &amp; He's not afraid to walk awy frm a bad deal.   @realDonaldTrump is negotiating from a position "Strength" bc the sanctions are crushing Lil Kim's already-modest-economy. #ta🇺🇸  https://t.co/tC2xmjn5dV
987118600824741888 2018-04-19 19:59:48 -0400 <zipgerm> @realDonaldTrump Unbelievable..we can't just get pissed at republicans! We need to vote them out every 2 years and replace with stronger conservatives!! Vote primary's patriots
987118597142179841 2018-04-19 19:59:47 -0400 <Prince3eb> @thetoy1123 @realDonaldTrump   https://t.co/cAz5NrsvW5
987118596794077187 2018-04-19 19:59:47 -0400 <tbond111> @albamonica @maggieNYT @realDonaldTrump   Both Obamas will attend.
987118596232040448 2018-04-19 19:59:47 -0400 <GemotheRott> @realDonaldTrump If that were true, first, it would be a rarity, most of what you say is lies. Second, you would be crowing about it way more. You are petrified and you know you are going to jail. Good thing you ran for president or you may have gotten away with it. 😊
987118594415734784 2018-04-19 19:59:47 -0400 <tonysgdi> @realDonaldTrump IT'S TIME for the NUCLEAR OPTION. Tell McConnell to get off his patrician ASS!!!
987118594147405824 2018-04-19 19:59:47 -0400 <Michie8284> @Velma40844061 @kallijo68 @realDonaldTrump If his lips are moving he is lying.
987118594021576708 2018-04-19 19:59:47 -0400 <DebugAngel> @The_UnSilent_ @realDonaldTrump Real NOT FAKE. TRUE  REALITY  NOT  ALTERNATE REALITY
987118593123893250 2018-04-19 19:59:47 -0400 <arleneandjake> @realDonaldTrump And Michael Cohen will do the same to you.
987118592322932737 2018-04-19 19:59:46 -0400 <Nanasjt> @LauraLoomer @realDonaldTrump Uh...Republicans, initially, paid for the dossier; but when they didn’t like what they were finding out about Trump, they passed the baton. Cowards!
987118591714586626 2018-04-19 19:59:46 -0400 <mrshellwinger> @realDonaldTrump @MarshaBlackburn Whew, thanks! Now she WILL lose.
987118591404224512 2018-04-19 19:59:46 -0400 <Sahabdin1364> #बेटी_मांगे_इंसाफ  भारत सरकार से पुनः निवेदन है कि इस देश में हो रहे अत्याचार को मिटाया जाए  और बेटियों को इंसाफ दिलाया जाए  @PMOIndia  @realDonaldTrump  @vjpanaligan  @vjpitch  @vjpanaligan  @vjpiccini  @pandit_s_koshik  @AmarKhajuriya  Shadhna TV 7:40 pm  https://t.co/VKAJV2FliJ
987118591337213952 2018-04-19 19:59:46 -0400 <Rai5656> @FoxNews @realDonaldTrump @Comey He also claims he doesn't know Stormy Daniels.
987118591156805632 2018-04-19 19:59:46 -0400 <angiestwitt> @realDonaldTrump I support you 100% Mr Trump! California should have got a vote regarding if we “wanted” to become a “sanctuary” state or not. I sir, DO NOT!
987118589307228160 2018-04-19 19:59:46 -0400 <ems2613> @LouDobbs @realDonaldTrump @POTUS Shut up Crook!
987118588321558530 2018-04-19 19:59:45 -0400 <LeeAnndelCasti2> @realDonaldTrump Speaking of Buses 🚌, some have bars &amp; shackles.  Your Own Bus is waiting for you. Do you prefer orange, stripes or Prison Blues. Perhaps Ivanka's sweat shops could Start a whole new line??
987118586396332033 2018-04-19 19:59:45 -0400 <Natalydch1> @KarenGr16803097 @newdaysdawning @The_Trump_Train @realDonaldTrump No you are wrong. I'm just worry about our future about future our children.
987118584563286016 2018-04-19 19:59:44 -0400 <AnujKum54127591> #बेटी_मांगे_इंसाफ  भारत सरकार से पुनः निवेदन है कि इस देश में हो रहे अत्याचार को मिटाया जाए  और बेटियों को इंसाफ दिलाया जाए  @PMOIndia  @realDonaldTrump  @vjpanaligan  @vjpitch  @vjpanaligan  @vjpiccini  @pandit_s_koshik  @AmarKhajuriya  Shadhna TV 7:40 pm  https://t.co/mRtfmq0eAy
987118584408109056 2018-04-19 19:59:44 -0400 <MinbyH> @BillyCorben @ColleenHough How much does all this crap motorcade/entourage for @realDonaldTrump cost.
987118581933576197 2018-04-19 19:59:44 -0400 <Louise_InMN> @RBReich Dear Senators &amp; Congress Members,  At what point did you decide to stop defending the country from threats both foreign (Russia) &amp; domestic ( @realDonaldTrump ) ? Was it when the $ got YUGE?Or, was it when the Russians showed you the dossier they had on YOU? #VoteThemOut
987118581761507328 2018-04-19 19:59:44 -0400 <DCR0262> @realDonaldTrump Yes your brilliant nominations like Pruitt, DeVos, and now Bridenstine.  Good thinking putting a climate change denier in charge of NASA.  You're hurting our country, and our children's future with these moronic people.
987118581602140161 2018-04-19 19:59:44 -0400 <Sahabdeen1364> #बेटी_मांगे_इंसाफ  भारत सरकार से पुनः निवेदन है कि इस देश में हो रहे अत्याचार को मिटाया जाए  और बेटियों को इंसाफ दिलाया जाए  @PMOIndia  @realDonaldTrump  @vjpanaligan  @vjpitch  @vjpanaligan  @vjpiccini  @pandit_s_koshik  @AmarKhajuriya  Shadhna TV 7:40 pm  https://t.co/mBuviKH8wR
987118579668733953 2018-04-19 19:59:43 -0400 <Kristenmaybe> @RealNoraC @PrincessBravato @realDonaldTrump thanks I just bookmarked it. Now if I can remember that I have it. Lol.
