1140408713473331201 2019-06-16 19:59:59 -0400 <_goodbeard> @realDonaldTrump Be our president forever!
1140408712068308992 2019-06-16 19:59:59 -0400 <WillemsAngie> @FestivalSound1 @LibsInAmerica @realDonaldTrump A pity it's a fake gun
1140408711183306758 2019-06-16 19:59:59 -0400 <RetiredBoomer55> @realDonaldTrump They are considering your impeachment, because you have committed numerous high crimes and misdemeanors.  The details are in our Constitution and are definitely legal.  You should have someone explain the process to you.
1140408709861871616 2019-06-16 19:59:58 -0400 <BrianOnWine> @realDonaldTrump #gaslight
1140408708972916737 2019-06-16 19:59:58 -0400 <sturgeon_sue> @realDonaldTrump Here, let Fox tell you.  https://t.co/BbT4j4jB1c
1140408707529859072 2019-06-16 19:59:58 -0400 <willwitwonttwit> @NYBombers56 @trump_enemy I screwed up again. Forgot to tag him... @realDonaldTrump  https://t.co/nrLyQ1rpBQ
1140408706590543872 2019-06-16 19:59:58 -0400 <Jennybing53> @realDonaldTrump Six years?  Even if you DID do two terms, which is not going to happen, that would be eight years. What are you talking about?
1140408705751691265 2019-06-16 19:59:57 -0400 <MamaRoseFlowers> @realDonaldTrump Remember, trump, the moment they drag you out of the White House in 2020, kicking and screaming, you are going to be arrested. You will lose all of your 'money' and go to prison. So will your sons and daughter. Remember, YOU did this. YOU  https://t.co/GxP0yZtMNd
1140408703860035584 2019-06-16 19:59:57 -0400 <tousjoursmax53> @realDonaldTrump I don't know who's telling you that, but perhaps it's time for a new lawyer.
1140408703180582912 2019-06-16 19:59:57 -0400 <UPTOWNGIRL2008> Happy Father's Day to the #BestPresidentEver ! @realDonaldTrump  https://t.co/Ly0dQYn5DG
1140408703046377478 2019-06-16 19:59:57 -0400 <MarioAV769> @realDonaldTrump You said the White House was a dump and you didn't like it. And you'll be glad to know the investigations into you are going to go on way after you've been escorted from office. Enjoy prison Donald.
1140408701918031878 2019-06-16 19:59:56 -0400 <karaokepanda13> @realDonaldTrump  https://t.co/dut9SBELE3
1140408701783891968 2019-06-16 19:59:56 -0400 <jahamilton41f20> @realDonaldTrump All they need to do is investigate for impeachment. The criminal organization known as the "Republican" party will of course support the Drumpf, but that matters little. Approaching impeachment as a mathematical asymptote is the best approach. The Drumpf will self-destruct.
1140408699586043904 2019-06-16 19:59:56 -0400 <banksbrian> @DanScavino @realDonaldTrump @JoeBiden And #Obamacare probably paid for it.
1140408697778266113 2019-06-16 19:59:55 -0400 <janderso1492> @realDonaldTrump if you're so smart, why are you an idiot?
1140408696855584768 2019-06-16 19:59:55 -0400 <summer7570> @TurnLeftTexas @NG1951 @DavidEButler1 @Redpainter1 @IvankaTrump @realDonaldTrump  https://t.co/rjIF86ktpC Oh..and his other job..rallies. And not paying the COPS.
1140408693881810951 2019-06-16 19:59:55 -0400 <RealIanMurray> @realDonaldTrump Oh my goodness. That dingbat actually said something that makes sense!!!
1140408692845817857 2019-06-16 19:59:54 -0400 <SKayLawton> @Historian_Steve @davidsilkenat @realDonaldTrump @DineshDSouza @BillOReilly @michaeljknowles See example here  https://t.co/EYDY1JacSl.
