1129899465622654979 2019-05-18 19:59:59 -0400 <biggandygibb> @realDonaldTrump @CNN @FoxNews @NBCNews @MSNBC @GOP
1129899464351735811 2019-05-18 19:59:59 -0400 <Damaan4u33> @realDonaldTrump  https://t.co/nrx5DAJfCf
1129899464011931650 2019-05-18 19:59:59 -0400 <perrymiller06> @realDonaldTrump Lock and load
1129899463139581953 2019-05-18 19:59:59 -0400 <Daedalus6> @okiemoody @Top_Sergeant @realDonaldTrump You misspelled “his”
1129899457447784448 2019-05-18 19:59:57 -0400 <debbiedunc1> @TomFitton @realDonaldTrump That's for sure, I still don't believe BHO was born in the country, that should and ever thing else about that should have been spied on, somebodys nobody!
1129899449210331143 2019-05-18 19:59:55 -0400 <whicks7667> @ChrisJZullo @realDonaldTrump More fake news.
1129899446618210305 2019-05-18 19:59:55 -0400 <KarenRuth123> @realDonaldTrump Where do you come up with this shit? Everybody knows it is YOU that doesn’t have a clue. Our country is not full, it’s just poorly run thanks to you.
1129899445586485248 2019-05-18 19:59:55 -0400 <Pixilou> @realDonaldTrump Okaaay, we all know you were told, do you think we are stupid, are you lying again, or has Alzheimers finally taken over?  truly you need to resign.  #TrumpResign #ArrestThePresident
1129899444273537024 2019-05-18 19:59:54 -0400 <JasonLo34776171> @realDonaldTrump All those women &amp; children “bad hombres”?
1129899440687407105 2019-05-18 19:59:53 -0400 <RobKeith1> @Lrihendry @realDonaldTrump So why does he hire illegal immigrants?
1129899440448442368 2019-05-18 19:59:53 -0400 <craigfrag> @realDonaldTrump Deal With It  https://t.co/nw5hFQdLsH
1129899436946153473 2019-05-18 19:59:52 -0400 <Terrolsf> @realDonaldTrump @RepJerryNadler is too busy doing real work for the electorate. We the People want answers from Mueller, Flynn and McGahn We also want to see the taxes. Six years worth. Nadler will also uncover what Russia has on you It will all be exposed @GOP will begin to assist in the effort  https://t.co/tzZ7h0nw8S
1129899436522520576 2019-05-18 19:59:52 -0400 <lisastewart59> @disgruntled_in @Navy_Lady_45 @helpmerhonda49 @realDonaldTrump @SecretService 😂😂😂😂😂😂😂😂😂😂
1129899434517643264 2019-05-18 19:59:52 -0400 <lisastewart59> @Navy_Lady_45 @realDonaldTrump @SecretService WTH ???
1129899431862657025 2019-05-18 19:59:51 -0400 <olyteddyToo> @realDonaldTrump You do seem to be an authority on Treason dOtard.
1129899429463547904 2019-05-18 19:59:51 -0400 <dangloeckner> @realDonaldTrump Maybe Twitter isn't the best place to find solutions to these issues?
1129899428939087872 2019-05-18 19:59:51 -0400 <mokyfanboy> @FictionIRL @typhy_ Ending with an exclamation point is either @realDonaldTrump or @TheMoon112
1129899426493763584 2019-05-18 19:59:50 -0400 <tripzero> @Deborah3Warren @realDennisLynch @realDonaldTrump Also, getting cheap goods from China isn't a bad thing. It's simple economics and the us will not be able to make those things cheap enough for several years
1129899425881575424 2019-05-18 19:59:50 -0400 <MattSteele2> @TomFitton @realDonaldTrump He hired Flynn against ALL ADVICE. His sons ADMITTED most of their money came from Russia. Those two things alone warrant SURVEILLANCE. His ego did not allow him to realize that running for POTUS might expose DECADES of sleazy business dealings.  #TrumpIsAMoron #TinFoilFitton
1129899423914446851 2019-05-18 19:59:49 -0400 <peg_froehle> @realDonaldTrump that's gotta burn!😂😂😂😂
1129899423759257602 2019-05-18 19:59:49 -0400 <FilmsRedd> @93godzilla @realDonaldTrump I'm pretty sure it's not enough for all the people coming in.
1129899422362624000 2019-05-18 19:59:49 -0400 <Meanjean2300> @realDonaldTrump That's all you can say 'cause your ass can't read.📕📕📕
1129899412916973568 2019-05-18 19:59:47 -0400 <athikers_bob> @casekaem @realDonaldTrump Removal forces sound a lot like Gestapo?? Donnie, going to back to your Aryan roots??
1129899410543063040 2019-05-18 19:59:46 -0400 <ridetwolife> @Anthony93516773 @realDonaldTrump  https://t.co/JsRKZfEqGu
1129899409548795905 2019-05-18 19:59:46 -0400 <caligalmags> @BrantlyFrmBurgh @istheharlequin @OFemmeFataleZ @GOP @realDonaldTrump Or if she will be his continued victim until she reaches a ripe old age of 15 and he’s done with her. It’s a sickening reality and this guy should be a smear on the street! Along with the judge…
1129899405841190917 2019-05-18 19:59:45 -0400 <747_TJ> @realDonaldTrump America has always been great!
1129899401336500224 2019-05-18 19:59:44 -0400 <naitsum> @realDonaldTrump Treason against a campaign ? Not a thing. However , siding with Russia against our intelligence agencies might be treason. Just sayin...
1129899399910445056 2019-05-18 19:59:44 -0400 <AndreasBoos> @realDonaldTrump  https://t.co/Cxk4NbR6os
1129899399038029824 2019-05-18 19:59:43 -0400 <Juph17> @realDonaldTrump hh
1129899397758816258 2019-05-18 19:59:43 -0400 <FrustratedinGP> @TomFitton @realDonaldTrump  https://t.co/3b6rzzjv4s
1129899397175599104 2019-05-18 19:59:43 -0400 <mom22sr> @SethAbramson @realDonaldTrump Let’s not forget Trump will also say everything out of his mouth was fake news
1129899394067783681 2019-05-18 19:59:42 -0400 <tarchitect85> @wldcatpj @TomFitton @realDonaldTrump And Putin was right!🤣
