969361640314548225 2018-03-01 18:59:59 -0400 <rockpaperboom> @realDonaldTrump you gonna go to jail! jackass!   USC 18 Ch. 115 Sec. 2381
969361629556088832 2018-03-01 18:59:57 -0400 <CaBrit> @realDonaldTrump   https://t.co/HZyy9LZUDr
969361627140313089 2018-03-01 18:59:56 -0400 <WenMaMa2> @munsue @mitchellvii @FiveRights @TheLastRefuge2 @peaceandjoy101 @CarmineZozzora @PJStrikeForce @Callisto1947 @mariclaire81 @KLSouth @Team_Trump45 .🚨Cities don’t comply w/ rules, make #ShitHoleCity get NOtax💰PERIOD‼️ @realDonaldTrump @POTUS #MAGA🇺🇸 @seanhannity @munsue @UTHornsRawk @ari_russian @mommydean74 @DonaldJTrumpJr @CarmineZozzora @C_A_N_S_T  @mitchellvii @The_Trump_Train @ThePatriot143 @IngrahamAngle ✅RT
969361615886868480 2018-03-01 18:59:53 -0400 <JamesEdmondJr3> @realDonaldTrump We PCP’s need protection from administrators whe threaten us with loss of job if we don’t provide opioid RXs on demand to “ keep the patient happy”
969361612892135424 2018-03-01 18:59:53 -0400 <FitFeline> @tedlieu @realDonaldTrump And the #Russians keep winning the chaos war! 😳 #Resist
969361611025715200 2018-03-01 18:59:52 -0400 <CurtisCBallII1> @thebeej1966 @mikecslater @BtsBill @SenBlumenthal @realDonaldTrump @fox @foxandfriends @JoeNBC @maddow @seanhannity @PressSec @jaredkushner9 @FoxNews The Mueller investigation has near unlimited scope. There's really nothing they can't do when it comes to investigating. Think about it like this. He has the power to call the president to testify. Now that's powerful. Trump and his team of attorneys are already prepared. They
969361610434383872 2018-03-01 18:59:52 -0400 <liz_ostrom> @jamesalandarby @wefunkster @leighindy @realDonaldTrump Awesome and fast 😂😂🤣🤣
969361609624838145 2018-03-01 18:59:52 -0400 <mikew0691> @realDonaldTrump Mr President I"m your Biggest fan up here in Mass.ya I know We will never win this state , anyway your going to far on this gun shit slow down before you fuck up your own base,sincerly Your No 1 Worker in Mass.
969361608731480064 2018-03-01 18:59:52 -0400 <Chad92566311> @realDonaldTrump remember WE the voters make up the NRA. Better b very careful &amp; not cocky because when it comes to the constitution WE WILL DROP U OVER NIGHT like the people has Diane Frankenstein! NEVER think ur untouchable
969361608139882496 2018-03-01 18:59:51 -0400 <Dxnny23k> @realDonaldTrump We must resist comrades 😂
969361606344871936 2018-03-01 18:59:51 -0400 <5280Michael> So interesting that @PressSec thinks it's outrageous, not that numnuts @realDonaldTrump thinks that. She clearly states she thinks it....Lady we don't care what you think.  You've clearly shown yourself to be a pathological liar &amp; misrepresent things with hostility &amp; malice daily  https://t.co/KJYl3tDTiX
969361602809081856 2018-03-01 18:59:50 -0400 <pyrotarkus> @Deborah25309 @QuinnBx @Twitter @FoxNews @realDonaldTrump @IngrahamAngle @TuckerCarlson @seanhannity @RealJamesWoods Trump is a traitor
969361599696900097 2018-03-01 18:59:49 -0400 <ata2d1969> Want a job @OrrinHatch? Let's see: You're an out of touch asshat, egocentric prick &amp; an un-empathetic gasbag. You'd be a PERFECT fit for ANY job currently available at the White House (there's SO many!) Send your resumé to @realDonaldTrump. OH! And fuck U!  https://t.co/tcoLyl5MBO
969361598866391041 2018-03-01 18:59:49 -0400 <DTaylor06901> @realDonaldTrump The Standard &amp; Poor’s 500 industrial sector was down more than 2 percent today based on your brilliant plan.
969361598463782913 2018-03-01 18:59:49 -0400 <jerrywstone> @GOP @realDonaldTrump This is how the gov works were initially trouble
969361596953890816 2018-03-01 18:59:49 -0400 <spike11117> @GregShugar @realDonaldTrump Obama had false number since he counted part-time jobs, which aren't suppose to be counted at all. Wages nose dive under Obama.
969361593187356673 2018-03-01 18:59:48 -0400 <DestroWod> @DanielWalsh12 @realDonaldTrump Exactly !!
969361589722845185 2018-03-01 18:59:47 -0400 <ohioherald> Please be fair to @realDonaldTrump  https://t.co/S286CTbS7i
