1183170482557902849 2019-10-12 19:59:59 -0400 <IMSavvy> @SenSchumer @realDonaldTrump Build the Wall
1183170481060483075 2019-10-12 19:59:59 -0400 <CreativeFoodTrs> @realDonaldTrump Rudy is shameful like you.
1183170479986741248 2019-10-12 19:59:59 -0400 <Skatsoutherlan> @real_defender @realDonaldTrump @RudyGiuliani Borscht lover
1183170479953272833 2019-10-12 19:59:59 -0400 <texan2you> @realDonaldTrump @TrumperSeaney 🙏🏻🇺🇸🙏🏻
1183170479676362757 2019-10-12 19:59:59 -0400 <DavisLilian> @frequentbuyer1 @POTUS @realDonaldTrump I agree!! Impeach this so called President. &amp; 2020 get rid of GOP.
1183170479630082048 2019-10-12 19:59:59 -0400 <poppy1080> @realDonaldTrump None of you business, really.
1183170479101751296 2019-10-12 19:59:59 -0400 <KellyJGuide> @KellyO @realDonaldTrump A day late and a dollar short again!
1183170478879465475 2019-10-12 19:59:59 -0400 <ellyn_gesell> @ChristopWFisher @LouiseMensch @patribotics @icesur @realDonaldTrump @CIA @NSAGov @rterdogan_ar the Hague was interested in Trump I'll look to find the piece I posted.
1183170478002716673 2019-10-12 19:59:58 -0400 <CommonSense753> @realDonaldTrump  https://t.co/mSKr3auWIP
1183170477214314497 2019-10-12 19:59:58 -0400 <BlueDem1> @F3arl @Didijiang @nelsonwendella @realDonaldTrump No limit. They will never forgive her for not divorcing the man who came out of nowhere and ended the Reagan-Bush Era.  Righties has come to believe the White House was exclusively theirs, but Bill Clinton picked their electoral college “lock.”  https://t.co/MBEU6PIpf7
1183170475750494208 2019-10-12 19:59:58 -0400 <rz282828> @atrupar Wow it's amazing how weak he is. The IRS is part of the Executive branch. He's the president. And he talks like he has no control at all. @realDonaldTrump is soincredibly soft
1183170473997295616 2019-10-12 19:59:57 -0400 <Aslanalp64> @realDonaldTrump Yes, I'm pretty sure that's what the KURDS are saying.
1183170473087115264 2019-10-12 19:59:57 -0400 <Ladyblu26002760> No, @BetoORourke , @realDonaldTrump didn't leave them to die, he cut a deal to orchestrate their SLAUGHTER, after they fought with/for US troops. It wouldn't surprise me if a monetary payout is part of the deal. The illegitimate, weak, scared, fat, dumb, bully did this. SOLD out!
1183170471539478529 2019-10-12 19:59:57 -0400 <firedog1256> @HuntleyHavers @Diabolic600 @AndyOstroy @realDonaldTrump @foxandfriends @RepLeeZeldin If he owned Lockheed Martin, should we abandon all the military aircraft they design and build?
1183170470985846785 2019-10-12 19:59:57 -0400 <Carolmomma364> @JackDedrick2 @redstorm420 @NoClanFrank @glamelegance @goodneighbor123 @realDonaldTrump I did comment...a big long comment...dude you’re drunk, go to bed you’re embarrassing yourself
1183170468775202816 2019-10-12 19:59:56 -0400 <kewhi_83> @TheRightMelissa @mike_a135 @realDonaldTrump @RudyGiuliani "Followed by President Trump for 24 hours". Sure set the bar high there, didn't ya? Do you have that on your resume? Do you actually brag to people about it? Way to dream big there 😂
1183170466170757120 2019-10-12 19:59:56 -0400 <tammy0916> @realDonaldTrump  https://t.co/bqBEaksbeO
1183170465600327686 2019-10-12 19:59:55 -0400 <Erisblend> @realDonaldTrump Looks like a place for idiots to gather
1183170465499512834 2019-10-12 19:59:55 -0400 <HarveyWilms> @KellyO @realDonaldTrump Bollicks Yes Donald the cheque is in the mail and I think I love you. More B/S from a President who is Barking Mad.  Look at the poor children that are suffering.....but then again just how much thought do you give to Sandy Hook and doing something about gun control.....
1183170464245567488 2019-10-12 19:59:55 -0400 <AcdntlyRngMama> @TheRickWilson @realDonaldTrump @LindseyGrahamSC so glad you enjoyed your football game today while the innocent and our allies die.  It’s on your hands
1183170464077750274 2019-10-12 19:59:55 -0400 <MissHorrorNerd> @realDonaldTrump You are a murderer
1183170462853095425 2019-10-12 19:59:55 -0400 <MillardFillmor1> .@realDonaldTrump
1183170459895914496 2019-10-12 19:59:54 -0400 <thesecondellen> @HoarseWisperer @realDonaldTrump: On what basis idiot? because they are calling your corruption? You were elected, not ordained and you are accountable to the people of this country.
1183170459539562497 2019-10-12 19:59:54 -0400 <ZanaMason10> @realDonaldTrump KARMA.....IS.....COMING&gt;&gt;&gt;&gt;&gt;SOON.....  https://t.co/bqeGQW18wh
1183170459216633857 2019-10-12 19:59:54 -0400 <LussoAngel> @realDonaldTrump @SpeakerPelosi  25th amendment time?  He is clearly delusional these conspiracy theories get crazier an crazier.
1183170458914443269 2019-10-12 19:59:54 -0400 <chesney_bea> @TheRUSSELLCLARK @VivaRevolt @realDonaldTrump @IvankaTrump The way you have typed this shows disrespect  - are you aware of this - was it deliberate ?
1183170455944871936 2019-10-12 19:59:53 -0400 <janedoe53230467> @realDonaldTrump Tell that to your buddy Erdoğan.
1183170455932416000 2019-10-12 19:59:53 -0400 <PXtinxion> @realDonaldTrump  https://t.co/TRHceH6TiA
1183170455194222592 2019-10-12 19:59:53 -0400 <Lilsuzy1962> @idnac4u @realDonaldTrump #Boom!! 💣💥  https://t.co/X6EiOXJBvG
1183170453378125824 2019-10-12 19:59:52 -0400 <Lady_Penquin> .@Acosta, @POTUS has the right to eject DISRUPTIVE protesters. "Fringe Viewpoints"? #MSM is the fringe. "Bashing immigrants"? Outright lying. BTW, @realDonaldTrump doesn't have to "stoke" hatred of the press, you've earned it. What a miserable human being you are.
1183170452736233472 2019-10-12 19:59:52 -0400 <maualibar> @BoffMoatman @MatthewJshow @real_defender @realDonaldTrump In other words he only wants to end selected wars.  Not all of them !
1183170452115599361 2019-10-12 19:59:52 -0400 <EngineerPoet> @realDonaldTrump @donnabrazile @CNN @FoxNews How bad is it if no one sees The reality of where we are  Could it be much worse if we  Were all oblivious to the scar   We’ve seen so much that’s insane  We’ve become almost immune  But ignoring it doesn’t diminish it  It just makes it come again too soon  #trump
1183170451410960386 2019-10-12 19:59:52 -0400 <happypeaceful3> @GiannoCaldwell @realDonaldTrump Congratulations for your new book and you're from My Hometown Chicago I wish I can go back with you one day
1183170449531760641 2019-10-12 19:59:52 -0400 <GymKlieber> @ananavarro This is disgusting. These people did most of fighting and dying so .@realDonaldTrump could stand up and say I stopped ISIS.  Their blood is on Trump's hands.  This will be the last time any government/group will fight along side a country that betrayed their alliance.
1183170448642760704 2019-10-12 19:59:51 -0400 <Jack42725437> @realDonaldTrump  https://t.co/OhoQ7nfMpF
1183170446965006336 2019-10-12 19:59:51 -0400 <_metafizik> Current Syria/Kurds/Turkey fiasco epitomizes how out of touch w reality @realDonaldTrump is &amp; how he can't think past the moment. 3D chess my ass. Stupid fuck's playing mumbly peg. Right or wrong timing of pulling out NOW knowing about 🇹🇲s plan is dumb.  https://t.co/ou5GC7GJnl
