1019733555017109504 2018-07-18 19:59:59 -0400 <g_velasco> @realDonaldTrump  https://t.co/YqAa5sp3YZ
1019733554157113344 2018-07-18 19:59:59 -0400 <LkAlpine> @realDonaldTrump @GOP
1019733552320131072 2018-07-18 19:59:59 -0400 <stevenson_stu> @realDonaldTrump Trump is being blackmailed by Putin. Treason is a crime. Lock him up.
1019733551711842304 2018-07-18 19:59:59 -0400 <arjunkumar0702> @realDonaldTrump Nope its called FACT CHECK.  https://t.co/AwK0buJte9
1019733550768144385 2018-07-18 19:59:58 -0400 <SamKeaton4> @StopTrump2020 @realDonaldTrump In simple terms...  Pathetic
1019733550722142209 2018-07-18 19:59:58 -0400 <KeysToTheCourt1> @WhiteHouse @POTUS @realDonaldTrump @IvankaTrump I guess we should forgive #Treason because #economy is doing well right now. I don’t think so! #DumpTrump #LiarTrump #TreasonousTrump #DumpPence
1019733550705197056 2018-07-18 19:59:58 -0400 <PedroAl95220578> @realDonaldTrump YOU ARE A NAZI
1019733549828763649 2018-07-18 19:59:58 -0400 <cher4amer> @realDonaldTrump A fabulous success! FOR PUTIN! What does he have on you? Must be pretty potent!
1019733548104863745 2018-07-18 19:59:58 -0400 <brikemp4> @ForEssieFans @hickory66 @realDonaldTrump Hey now... I’m innocent
1019733546569797632 2018-07-18 19:59:57 -0400 <copeland620> @realDonaldTrump There was no point in the meeting with Putin when we have no idea what was discussed. The only thing we know for sure is your total disrespect for America. We can wrap up your performance in Helsinki as shitting on America during your photo opp.
1019733542585098240 2018-07-18 19:59:56 -0400 <FlatEarthKevin> @realDonaldTrump They’ll tell you it’s global warming smh
1019733542341758976 2018-07-18 19:59:56 -0400 <JoeGomez1> #Dtrump Has no Spine he could not tell it  to #Putins Face Wuss @realDonaldTrump
1019733542237032449 2018-07-18 19:59:56 -0400 <frackfreenb> @Yortselba1 @DineshDSouza @realDonaldTrump Left wing socialist media? You mean everybody other than Fox &amp; Breitbart?
1019733539544289285 2018-07-18 19:59:56 -0400 <tammy0916> @realDonaldTrump  https://t.co/lWE0rMc9Ir
1019733538256678913 2018-07-18 19:59:55 -0400 <fatimus07> @TonyBrunoShow @funder @realDonaldTrump A whole mariachi band....  https://t.co/V4O8msvFED
1019733537682022402 2018-07-18 19:59:55 -0400 <halstark88> @realDonaldTrump No I’d rather you not blame Americans and take his side over your own intelligence community. I hate that you accept Putin’s word. Just admit you side with Russia over America. Be honest for once please.
1019733536687833088 2018-07-18 19:59:55 -0400 <Christi46119463> @realDonaldTrump They hate that you are hurting US to help him.  If you want to work for Putin, move to Russia.
1019733534712483840 2018-07-18 19:59:55 -0400 <MurderousRedCap> @RepSwalwell @realDonaldTrump @McFaul Seeing as Trump came out to the world as Putin's puppet, you should be doing this already.
1019733534330834945 2018-07-18 19:59:54 -0400 <Mishel2017> @KinraIce @realDonaldTrump @maddow @RepAdamSchiff I am a lifelong republican.  We distrust putin and believe in the real rule of law.  Like putins acts of war on our freedom.  Our constitution needs to be defended
