888911532633051136 2017-07-22 19:59:59 -0400 <bernardcolbert> @realDonaldTrump You are a criminal!!
888911530154233857 2017-07-22 19:59:58 -0400 <maryel_t> @realDonaldTrump No, no one is asking that but you.
888911529814495232 2017-07-22 19:59:58 -0400 <TimTheGrey> @mike_pence @realDonaldTrump I love all the whiners crying about stripping healthcare from "millions ". We had healthcare waaay before Obama..remember?
888911528958640128 2017-07-22 19:59:58 -0400 <Happytobe1977> @realDonaldTrump Hey dummy, the intelligence leak is not from WP it was to the WP!! @POTUS
888911527264301056 2017-07-22 19:59:57 -0400 <RSchultEdit1995> @peplamb @realDonaldTrump #FakeChristian
888911526182227968 2017-07-22 19:59:57 -0400 <celticdragon56> @nautilus1304 @allisonBeDemure @arianejustine @thehowie @EdwardTHardy @realDonaldTrump Lmao! So true!!
888911524227665920 2017-07-22 19:59:57 -0400 <BloomGamble5106> @politico I keep saying @realDonaldTrump is headed south
888911523548209152 2017-07-22 19:59:57 -0400 <LaRazon_Bolivia> @realDonaldTrump advierte del poder militar de #EEUU al inaugurar potente portaaviones  https://t.co/RMjZLcE58C  https://t.co/BGyZ7XZNnB
888911522973351940 2017-07-22 19:59:56 -0400 <skb209> @realDonaldTrump people aren't asking that...they did not meet with Russians or release classified information to them...yet you did.
888911521983680512 2017-07-22 19:59:56 -0400 <StoutParcel> @Pablovi77 @benborges_ @berto42 @America3675 @imbrucemaxwell @Tedakin @JulianAssange @realDonaldTrump Are you in W. Europe?
888911519618142208 2017-07-22 19:59:56 -0400 <McmeenaB> @realDonaldTrump @POTUS @Varneyco Peace I need to talk to business men about a business plan.
888911519311900673 2017-07-22 19:59:56 -0400 <Valentinojere1> One of the tweets removed, so there won't be any conflict with @realDonaldTrump  https://t.co/Y9alsgZ6W7
888911519173419008 2017-07-22 19:59:56 -0400 <WBannister77> @realDonaldTrump can we get some clarity on 232? Then Senate an House can't jam you up on this.
888911518628286464 2017-07-22 19:59:55 -0400 <evaluateit1> @RJSzczerba @realDonaldTrump As soon as we get Hillarys
888911516497530880 2017-07-22 19:59:55 -0400 <vartian> @JamesBr7012ever @realDonaldTrump An Internet coward and a self-hating closet-case. How shocking #sad
888911513720733696 2017-07-22 19:59:54 -0400 <Not_Fade__Away> @Ben2000blue @grvffintm @getongab @realDonaldTrump   https://t.co/yuEJXYWqgI
888911506733223937 2017-07-22 19:59:53 -0400 <women_prof> @kawingate1964 @eugenegu @EmmaKennedy @realDonaldTrump Fame and power.  He has money.
888911504954859521 2017-07-22 19:59:52 -0400 <jge_james> @realDonaldTrump Hey good news. I found a dollar in my trousers pocket this morning!
888911502014545920 2017-07-22 19:59:51 -0400 <Exnasa1> @realDonaldTrump Maybe we should just move on to the tax code all Americans hate taxes so any improvement all will agree. Shouldn't be a hard fight at all.
