951604636338872322 2018-01-11 18:59:59 -0400 <Rosa67261146> @IRdotnet @realDonaldTrump He's already doing the opioids , that began long ago
951604636032688129 2018-01-11 18:59:59 -0400 <ahodeparfum> SHITHOLE PRESIDENT @realDonaldTrump  https://t.co/AbftvbbdvY
951604635713732608 2018-01-11 18:59:59 -0400 <quackinrosie> @lookin4aleader @EdKrassen @IRdotnet @realDonaldTrump You don't recall him attacking #PresidentBush? He did it often. Hey can't anyone see #obamas faults. The man divided our country.
951604634979852288 2018-01-11 18:59:59 -0400 <bajamama03> @realDonaldTrump You are a disgrace, an embarrassment, an abomination. You disrespect the highest office of this once great nation. You are NOT president. You need to get out. #disgrace #UnfitToBePresident
951604634346541057 2018-01-11 18:59:59 -0400 <kayakendall> The fact that this will resonate with his base is precisely the problem facing us. #Racism and #hatred have become legitimized under @realDonaldTrump &amp; tacitly endorsed by craven @GOP  https://t.co/klAmzK6y5M
951604634287788032 2018-01-11 18:59:59 -0400 <slnuelken> @realDonaldTrump notice how we're just above Puerto Rico... a shit hole place according to you  https://t.co/BGthaXCggr
951604633100632065 2018-01-11 18:59:59 -0400 <KAbarr9> @realDonaldTrump This tweet had to be walked back as did Trump's agreement  with Sec. Feinstein that the DACA bill should be a clean bill. QUESTION: Who is really leading our government. Who exactly is correcting him? He doesn't have a stand. Is this an example of dementia?
951604632631103491 2018-01-11 18:59:59 -0400 <VolfanJB> @RepJayapal @SierraClub @realDonaldTrump It’s a stain that we have representatives that are clearly disrespectful to the person that holds the highest office in The United States.
951604632429658112 2018-01-11 18:59:58 -0400 <TheMisterMarcus> @BreakersTackle @realDonaldTrump I have my own degree and career. I’m speaking of those being taken advantage of by corporate greed.
951604630592544768 2018-01-11 18:59:58 -0400 <vet4_peace> @SenMarkey @realDonaldTrump So what's going to be done about it???
951604630579970048 2018-01-11 18:59:58 -0400 <P_Finley> @realDonaldTrump @POTUS  #EndIndefinitedetentionOur #EndNDAA Gov Killed #LaVoy &amp; jailed others without bail. #Bundys Talk about how many are affected by this #EndForProfitPrisons  https://t.co/CdipqXLfa7
951604630202601472 2018-01-11 18:59:58 -0400 <Mthinking2> @realDonaldTrump #TrumpIsALiar #TrumpLiesMatter #TrumpIsBad4America #ImpeachTrumpNow #TaxScamBill #NoWallNoBan #ShitHole-In-Chief #AssHatInChief
951604627891421184 2018-01-11 18:59:57 -0400 <77Maritimer> @realDonaldTrump SUPER!  :)
951604625412521984 2018-01-11 18:59:57 -0400 <EvanPexc> @slapmijits @bunnycat007 @realDonaldTrump Disgusting!
951604624976482306 2018-01-11 18:59:57 -0400 <hillier_noel> Rubbish c'mon BBC stop putting out the #FakeNews @realDonaldTrump  https://t.co/NbFNMyKOfs
951604624808701952 2018-01-11 18:59:57 -0400 <william_iciles> @IvankaTrump @realDonaldTrump WELL JAIL, THEN AGAIN JAIL, AND STILL THE CIRCLE .HURTING, ROBERING, KILLIG, RAPING PEOPLE, DRUGS DEALES, ETC, UHMM BETTER IS DEATH CAPITAL. TU PUT AN END TO THE VICIOUS CIRCLE. :)
951604623852408833 2018-01-11 18:59:56 -0400 <alevapa1> @onevoice20175 @realDonaldTrump @foxandfriends LOL! LOL!  LOL!  LOL!    You lose! Again!
951604623634247680 2018-01-11 18:59:56 -0400 <urinalmint16> @realDonaldTrump  https://t.co/HZwaH72mKO
951604620954128385 2018-01-11 18:59:56 -0400 <KijoLlewellyn> @realDonaldTrump better arrest your buddies in big Pharma
951604620463394816 2018-01-11 18:59:56 -0400 <4FreeUSA> @SenWarren @realDonaldTrump Why don't you tell American taxpayers how much it costs to support dreamers and their extended families through government benefits and educational systems.  The costs of each item we purchase also bears the additional price reflecting taxes on the manufacturer and sellers.
951604619637088257 2018-01-11 18:59:55 -0400 <angenola> @IvankaTrump @realDonaldTrump DO IT NOW.............Incoming inmates need the space  https://t.co/B9UCTboFLU
951604619389550592 2018-01-11 18:59:55 -0400 <ShawnMannix> @realDonaldTrump I like how by putting an “!” At the end of the statement, we’re to believe Trump wrote it. Yeesh.
951604618584379394 2018-01-11 18:59:55 -0400 <nursekelli32> @realDonaldTrump Except allow Medicaid to help pay for necessary treatments for those who are currently addicted?
951604617519030273 2018-01-11 18:59:55 -0400 <bromo999> @realDonaldTrump In all my 65 years I’ve never met anyone as stupid as you are, never.   A total moron trying to fix problems we don’t have.   We are a joke to the world, thanks DT.
951604616742998017 2018-01-11 18:59:55 -0400 <StarCreativeI> @ProudResister Every time we think the racist, POS #FakePresident #TraitorTrump can't go any lower, he reaches a lower darker #Shithole! @realdonaldtrump is headed for the lowest Hell in a hand basket! #DACA #Haiti #ElSalvador #Africa #NeedToImpeach #ImpeachTrump!  https://t.co/Z05LzRh3Jw
951604616734691328 2018-01-11 18:59:55 -0400 <nena_pj> @senrobportman @ATN @Jim_Jordan @realDonaldTrump  @Walmart decided to at least give raise, but put many out of jobs.  How is winning working for u? @ellevogueandme @TomWolf
951604616667398145 2018-01-11 18:59:55 -0400 <DarleneArsenau1> @realDonaldTrump 👇u r a SHITHOLE  https://t.co/pjfoE8vWPG
951604616210165761 2018-01-11 18:59:55 -0400 <Mel_bourne_oz> Brillant idea @realDonaldTrump a leader with insightful vision. Finally someone is going to tackle recidivism. #maga  https://t.co/Aojh0xwip4
951604614553526273 2018-01-11 18:59:54 -0400 <gupdiver> @NancyPelosi @SharylAttkisson @realDonaldTrump Why because we need ppl whi contribe to our economy like yiu said these #dreamers are? We need the best skilled &amp; educated immigrants not those who need government assistance
951604614285033473 2018-01-11 18:59:54 -0400 <leelee_cam> @restless_mortal @realDonaldTrump   https://t.co/NecPCC0WPq
951604613542793221 2018-01-11 18:59:54 -0400 <cosser65> @TheRynheart @realDonaldTrump @foxandfriends I don’t understand. If UK prime minister or mps spoke like this they would be ousted. Gone. Disgraced. Why is Trump not admonished? Post terminated?
951604612682969088 2018-01-11 18:59:54 -0400 <DJMikeAllan> When @realDonaldTrump has messed up the world so much...@CNN’s graphics person is like WHATEVER.....  https://t.co/Fkzg6Yz23O
951604611789582336 2018-01-11 18:59:54 -0400 <PaulThmsMiller> @AhmedBaba_ @realDonaldTrump is a documented liar.
951604611261050881 2018-01-11 18:59:53 -0400 <GardeniaCoast> @cheriguillory @EdKrassen @IRdotnet @realDonaldTrump Please enlighten us how did Obama make this country worse?  Facts!
951604610954907648 2018-01-11 18:59:53 -0400 <CerebralAmerica> @MntnHop @rie_rie76 @LuvMalibuBarbie @LPatherat @realDonaldTrump That isn't true and please educate yourself. You don't earn the honor of lie of the year by accident. At this point the dossier is irrelevant, even if he was spot on.  https://t.co/AMqOo26kJ4
951604610359316480 2018-01-11 18:59:53 -0400 <simplyemc> @MePoochie @ShafPatel @realDonaldTrump @Twitter @POTUS Hate has existed since the founding of this nation! Heck since Cain &amp; Abel. Some Americans have empathy, love &amp; compassion for ALL humans here. Some others have none. When a @potus has as his major base such #fine people, NONE of us should remain quiet as he dismantles freedom.
951604610011205634 2018-01-11 18:59:53 -0400 <vivaCOLOMBIA__> @MistahWoodhouse @EvanNikolich @realDonaldTrump This joke is under appreciated
951604609767927809 2018-01-11 18:59:53 -0400 <amy8cs> @realDonaldTrump Racist
951604607804780544 2018-01-11 18:59:53 -0400 <IamPhreedah> @margare39793611 @luxtualuceat @Fall_Out_Gay_ @kyungkarenmend1 @realDonaldTrump Evil hater? Wouldn’t you want to be one. I hate evil. Why do you like it so much?
951604607536463872 2018-01-11 18:59:53 -0400 <davidvnyc> @realDonaldTrump What ever happened to your campaign promise to leave Marijuana regulations to individual states?!? #LegalizeIt 🇺🇸🇺🇸🇺🇸
951604605812707328 2018-01-11 18:59:52 -0400 <marciau16> @SenWarren @realDonaldTrump Like President Obama ensured! Are you serious? Where have been?
951604605296590850 2018-01-11 18:59:52 -0400 <nsb49> I’m just  proud that we have an honest caring n classy president -Said no one EVER! @realDonaldTrump #HesGotToGo #HGTG
951604605112086528 2018-01-11 18:59:52 -0400 <TheNatalieS> @realDonaldTrump  https://t.co/1lt7i9LkPK
951604601454817281 2018-01-11 18:59:51 -0400 <louis_wolfe> @OpposingViews @SenSanders @realDonaldTrump Hell no. He’s a socialist. Eat on that Twitter. Trump 2020
951604599600898049 2018-01-11 18:59:51 -0400 <TbumpyTina> @President1Trump @realDonaldTrump @raveonstudio
951604597877084160 2018-01-11 18:59:50 -0400 <tamkyn> @realDonaldTrump @VP @SebGorka @StevenKBannon @newtgingrich Pathetic SNOWFLAKE Dems can't handle the Truth that All Americans who voted Trump are thinking Thank God he said it! TRUTH HURTS DEMS GET OVER IT      https://t.co/1ntI3nGHY0
951604597843357696 2018-01-11 18:59:50 -0400 <JPGonzale2> @realDonaldTrump talk abt shitholes - if the world is given an enema they will stick the tube in u What a loser, g'father was draft dodger, as was father (and KKK faithful), as were u, as r Uday and Qusay - 2 shits off the old block. Tough talk from a coward hiding behind guards
951604597549912065 2018-01-11 18:59:50 -0400 <RaznHaol> @tedlieu @realDonaldTrump He says it’s unfair because it stands against him keep standing 👍👍👍
951604597499596800 2018-01-11 18:59:50 -0400 <illuzzi> @IvankaTrump @realDonaldTrump Are there shithole states too? What an embarrassment this family is
951604597176532992 2018-01-11 18:59:50 -0400 <law_torn> @IndifferentCow @realDonaldTrump even listen to the video? or are you a headline reviewer?
951604596904022016 2018-01-11 18:59:50 -0400 <luciecmz> @realDonaldTrump @foxandfriends You may go now: partly third generation German immigrant and second generation Irish immigrant.  Your country of choice, Russia, Germany or Ireland (when they would welcome you)? Shoo, shoo, go.
951604596266471424 2018-01-11 18:59:50 -0400 <Justheatheralla> @realDonaldTrump "Why do we want all these people from 'shithole countries' coming here?"   - words that intelligent, presidential individuals with class, dignity &amp; grace never say.
951604594404044800 2018-01-11 18:59:49 -0400 <theRealPertinax> @IvankaTrump @realDonaldTrump Maybe you should visit your daddy's favorite country, Haiti, instead of where your trademarks are recognized, Princess Copyshoe.   https://t.co/2iaI7dF3dg
951604593410023424 2018-01-11 18:59:49 -0400 <WealthandWorld> @USATODAY He's Honest. THIS IS EXACTLY WHY WE ELECTED HIM. I want a President who doesn't want shitty people from shithole countries and has no problem saying it.. I applaud @realDonaldTrump 👏👏👏 For being the best president ever! #MAGA  https://t.co/hrp0rF82Rx
951604593246470144 2018-01-11 18:59:49 -0400 <tkny28> @realDonaldTrump disgusting
951604593129123840 2018-01-11 18:59:49 -0400 <neilhomestead> @realDonaldTrump Congratulations! But there is more to a country than the economy, even though that is important. But you can't see anything else! Poor man!
951604592663515136 2018-01-11 18:59:49 -0400 <AllergicToCNN> @HardballChris @realDonaldTrump What are you fit for, Chris...If NBC was into decency rather than indecency, you'd be outta there well over 2 weeks now!
951604591589838850 2018-01-11 18:59:49 -0400 <MrsFeta> @IvankaTrump @realDonaldTrump Do not privatize prisons... it will cost so much more (money &amp; lives) in the end
951604591220707328 2018-01-11 18:59:49 -0400 <noTrumpette> @realDonaldTrump  https://t.co/rPDsHFrFhX
951604590771888130 2018-01-11 18:59:49 -0400 <lizsimon3> #Haitians and #Norwegians #POTUS @realDonaldTrump #shithole #racism #racist  https://t.co/wlVaB3YAQl
951604590767738886 2018-01-11 18:59:49 -0400 <sunshine_toni> @VicenteFoxQue @Ginger624 @realDonaldTrump Vincent's, you took the words right out of my mouth....
951604590666854400 2018-01-11 18:59:49 -0400 <EvanPexc> @GrumpyChef @bunnycat007 @realDonaldTrump Hey, that’s offensive towards chimpanzees!!
951604590050455552 2018-01-11 18:59:48 -0400 <CIUINTERDICTION> @realDonaldTrump Refund MCTFT and provide real interdiction training again.....Another great program Obama did away with!! @VP @realDonaldTrump @POTUS
