843975438473068544 2017-03-20 19:59:59 -0400 <RGreg62> @realDonaldTrump .....  Fair Trade. Even playing field. USA will win every time.
843975438049431552 2017-03-20 19:59:59 -0400 <loiskeller> I did not know this: before @realdonaldTrump called for defunding PBS, 'Sesame...  https://t.co/4AQHm0d9rE by #eepenguin via @c0nvey
843975436090531841 2017-03-20 19:59:58 -0400 <RonaldDomont> Ur #UnderInvestigation Jack @reaLDonaldTrump #LIAR #TheResistance
843975434790473728 2017-03-20 19:59:58 -0400 <SourdifJ> @realdonaldtrump  https://t.co/GsvtNmC3yM
843975434031284224 2017-03-20 19:59:58 -0400 <CareyHaskell> @realDonaldTrump  https://t.co/BTBZk5owUT
843975432290496514 2017-03-20 19:59:58 -0400 <RedHawk1947> @realDonaldTrump Now nepotism!  Shameful!  Shameful.  You should have your butt impeached NOW.   Despicable white trash in the WH.
843975431611203584 2017-03-20 19:59:57 -0400 <MEECH1967> @realDonaldTrump @KellyannePolls Remember when Kellyanne said this. Now she defends him.  How disgusting  https://t.co/0hRV5b2bH5
843975428826193923 2017-03-20 19:59:57 -0400 <MpyMpy28> @realDonaldTrump we saw pictures that was enough.
843975428775673856 2017-03-20 19:59:57 -0400 <MeijaAnne> @realDonaldTrump I think someone has found the "leaker" in a hotel room in Russia
843975428029276160 2017-03-20 19:59:57 -0400 <robtheswan> @realDonaldTrump , you are a deeply unpleasant person, but I expect you have been told this many, many times.
843975427370631168 2017-03-20 19:59:56 -0400 <kdusc> @realDonaldTrump You need to apologize to Obama you  https://t.co/MZkYJEUSoF are a disgrace to this Country.
843975427039215616 2017-03-20 19:59:56 -0400 <SurfBot6> @realDonaldTrump #H1Bs are NOT GOOD for American workers!  #H1Bs have no place in "buy American and hire American."  CANCEL #H1Bs
843975425521082368 2017-03-20 19:59:56 -0400 <chabby111> @realDonaldTrump My pocket book is getting nervous. What are the costs of Congressional Hearings? Please post that information.
843975423381901312 2017-03-20 19:59:55 -0400 <BellaJoanna5> @realDonaldTrump stop having rallies and do some work; address the pressing issues of the day - what a mess!
843975423130320897 2017-03-20 19:59:55 -0400 <mattmarcouxsr> @realDonaldTrump  https://t.co/93t4mCLUZK
843975422899605504 2017-03-20 19:59:55 -0400 <natsronnoco> @realDonaldTrump Thank You for wasting more tax payer dollars travelling to Kentucky instead of doing your job.
843975422249525248 2017-03-20 19:59:55 -0400 <ShibumiLG> @realDonaldTrump are you trying to break Goebbels record for repeating the same lies?  Please Make America Great Again and resign
843975418373967873 2017-03-20 19:59:54 -0400 <TweetThisBabe> @Serendipity33 @DeepakChopra @realDonaldTrump @POTUS  Are you out of your mind? SOROS is a POS who belongs in JAIL!  Now enough I am working
843975413994987521 2017-03-20 19:59:53 -0400 <TheTinaC> @GavinNewsom @realDonaldTrump This is probably too sophisticated for DT to understand.
