900507947427672064 2017-08-23 19:59:59 -0400 <Jack61Akron> Unbelievable.  What a total jerk.  Get a life @realDonaldTrump  https://t.co/BnOydjQEMh
900507946370584577 2017-08-23 19:59:59 -0400 <SierraWhiskee> @NalydV1776 @realDonaldTrump @POTUS I believe that!!
900507946169364487 2017-08-23 19:59:59 -0400 <Gareth_OC> @realDonaldTrump PARKLIFE
900507944026034176 2017-08-23 19:59:59 -0400 <Lilly_0126> @LiberalResist @realDonaldTrump is pardoning a racist who likes to profile the people in Arizona. Shocking!!!
900507943984140289 2017-08-23 19:59:59 -0400 <TornadoesBoreMe> @TheTweetwit @realDonaldTrump And if THAT didn't make it clear he is a sexual predator - his DARVO tendencies give it away:   https://t.co/Qw6JJzNHvh
900507942084018177 2017-08-23 19:59:58 -0400 <HarveyLawson1> @realDonaldTrump Donald Trump is depending on people’s fatigue.
900507941794611200 2017-08-23 19:59:58 -0400 <10903> #DESPOT_DEMOCRATS   YOU LOST   It is: fu·tile  adjective incapable producing any useful result; STUPID @CNN  @realDonaldTrump @cspanwj  https://t.co/EjR0oq1nEY
900507938871283716 2017-08-23 19:59:57 -0400 <ol92o> Wife of @realDonaldTrump  https://t.co/GGmoLdUYc1
900507933229830144 2017-08-23 19:59:56 -0400 <j_yaah> @dan_kammen thank you for your leadership, morals &amp; character ... all of which @realDonaldTrump lacks!  https://t.co/WvCpivVAvH
900507932835667968 2017-08-23 19:59:56 -0400 <chuha> @katxarielle @realDonaldTrump Only if Mexico pays like promised.
900507932357525504 2017-08-23 19:59:56 -0400 <KopsMiss> @realDonaldTrump Carson broke Federal Law by appearing at the rally
900507931308953601 2017-08-23 19:59:56 -0400 <Chadstiles7> @realDonaldTrump We sacrificed, we cared about our neighbors, we put our money where our mouths were, and we never beat our chest. We built great big things
900507930507792384 2017-08-23 19:59:55 -0400 <LoveMyLotus> @realDonaldTrump You need to conquer your malign narcissism, it dishonor America
900507929450868745 2017-08-23 19:59:55 -0400 <Miriam61980> @realDonaldTrump You are the president you can stop the rallies. deal with the problems we have in this country.
900507928381321216 2017-08-23 19:59:55 -0400 <JohnFit00782884> @Impeach_D_Trump @realDonaldTrump Christopher Steele is a paid partisan Democrat operative
900507927487885312 2017-08-23 19:59:55 -0400 <Carl834> @realDonaldTrump You are right. However, you don't believe this and you certainly don't promote this.
900507927211118592 2017-08-23 19:59:55 -0400 <nuts442u2> @realDonaldTrump You are one lying s o b
900507923796897793 2017-08-23 19:59:54 -0400 <eldude1277> @andrewkimmel_ @POTUS @GOP @realDonaldTrump that's not a pic from "fakes news" and that's a lot of ppl.
900507922563837953 2017-08-23 19:59:54 -0400 <malinkejo> @joemamma_1 @Spicerlies @Kitten0409 @realDonaldTrump Holy borscht...I just finished the articles.
900507918444920832 2017-08-23 19:59:53 -0400 <moiramainhere> @Veteran4Trump @realDonaldTrump @AmericanLegion @SecShulkin @DeptVetAffairs "I like people who weren't captured"
900507916301717504 2017-08-23 19:59:52 -0400 <NoMaD_1967> @realDonaldTrump @AmericanLegion @SecShulkin @DeptVetAffairs Idiot Trump cant seem to stop himself from talking about Obama, Clinton, crowd sizes, the media, FakeFox&amp;Friends and his stupid wall.  https://t.co/Pa6JUgnOnz
900507914905034752 2017-08-23 19:59:52 -0400 <Dynamite6371> @DineshDSouza @realDonaldTrump What I'm hoping for is that America is waking up and doing their own homework and not listening to media as yourself anymore
900507914061832192 2017-08-23 19:59:51 -0400 <LaughingGiraffy> @realDonaldTrump Awwww poor thing. Not getting your way? #ImpeachTrump  https://t.co/e4aW36MmjC
900507912128344070 2017-08-23 19:59:51 -0400 <Whysothat> BUSTED: Alt-Left Democrat Calling for @realDonaldTrump’s Assassination Violently Hazed Sorority Sister  https://t.co/cLQXYKW7cU
900507911884914688 2017-08-23 19:59:51 -0400 <Toes44> @phr33m0f0 @RGanley @Alyssa_Milano @realDonaldTrump Just following your #AltLeft playbook.... 😄😄😄😄
900507909469155329 2017-08-23 19:59:50 -0400 <jacksonstblues> @GeorgiaDirtRoad @realDonaldTrump Amen
900507909137866752 2017-08-23 19:59:50 -0400 <WRCARROLL1> @realDonaldTrump @AnnCoulter Still need his vote  Better chance than if a Dem held that seat.
900507908819103745 2017-08-23 19:59:50 -0400 <ProtectFutures> @point5com @NFL @MLB @adage @facebook @YouTube @POTUS @realDonaldTrump @VFTSolutions @USChamber @sherylsandberg #piracy #nfl #mlb #facebooklive
900507906616905732 2017-08-23 19:59:50 -0400 <divabeverly> @realDonaldTrump Hide the codes!  https://t.co/qczuCLyLZA
900507905547542528 2017-08-23 19:59:49 -0400 <gonka95> @DineshDSouza @realDonaldTrump Lol! Did you read the 'terrified' commentors?
900507904297521152 2017-08-23 19:59:49 -0400 <manoaislander> @LouDobbs @POTUS @EdRollins @realDonaldTrump   https://t.co/fSKeJokPbh
900507902707998720 2017-08-23 19:59:49 -0400 <Rodrigo_shaqiri> Mãe não é quem tem o filho mãe é quem cria 🔥❤ @Pontifex_pt @realDonaldTrump @BarackObama @Pedromota22 @Pedromota22
900507899524468738 2017-08-23 19:59:48 -0400 <RobertG35947779> @Impeach_D_Trump @realDonaldTrump Am I now? When did you serve?
900507898467536897 2017-08-23 19:59:48 -0400 <LaunyWest> @GeorgiaDirtRoad @MikeTrivisonno @realDonaldTrump 90% of reason why Trump won election. Too bad some are too afraid to ADMIT they support him due to FEAR of reprisals from ANTIFA &amp; BLM
900507898006183939 2017-08-23 19:59:48 -0400 <TweetusHChrist> @KellyannePolls @POTUS @realDonaldTrump No it doesn't. Can't confirm judges who haven't been nominated! Laziest. President. Ever.
900507897234432000 2017-08-23 19:59:47 -0400 <CarranoDebi> @NancyPelosi @realDonaldTrump OMG....what a deplorable twit you are, Nancy!
900507896647221248 2017-08-23 19:59:47 -0400 <Danthemanolol> @realDonaldTrump Not under your so called leadership......you b.s. so much.....you are the loser and are so arrogant...
900507894776463360 2017-08-23 19:59:47 -0400 <Jenlskelly> @realPelicanfarm @williamlegate @Nazi_Catcher @EdKrassen @realDonaldTrump I really hope you're wrong.
900507894596096000 2017-08-23 19:59:47 -0400 <cuayahuiluis> @FerCanalesF @HillaryClinton @realDonaldTrump No se mordió la lengua
900507894260666369 2017-08-23 19:59:47 -0400 <UnknownTxGirl> @CNN @realDonaldTrump - including the KKK? Or are you excluding them for your polls
900507891882479621 2017-08-23 19:59:46 -0400 <AMERICA37199261> @That_Guy_Fleits @DaysLeft4Trump @realDonaldTrump HE WILL BE IN OFFICE UNTIL 2025 !
900507886199197698 2017-08-23 19:59:45 -0400 <huthuthuyck> dont do this @realDonaldTrump  https://t.co/exEExa6zEe
900507884085280768 2017-08-23 19:59:44 -0400 <Roxanne1958> @katiecouric @realDonaldTrump What really scares me are journalist like you dividing our country...
900507883787255808 2017-08-23 19:59:44 -0400 <realPelicanfarm> @Jenlskelly @williamlegate @Nazi_Catcher @EdKrassen @realDonaldTrump Believe me, I do. The conscience, the moral soul of our nation is at stake.
900507883770585088 2017-08-23 19:59:44 -0400 <lynnshannon> @realDonaldTrump The Dems could have done it and didn't. The rule is there for a reason. So inept, insane fools cant force stupid laws down our throats.
900507883330252800 2017-08-23 19:59:44 -0400 <happyluvthing> @realDonaldTrump Drain the swamp.... I do not think that phrase means what you think it means.  #DonnyJohn
900507877944766464 2017-08-23 19:59:43 -0400 <XenaResists> @realDonaldTrump @AnnCoulter Trump train is loosing many many passengers. Walking out of a shortened venue. Soon only the White nationals/KKK will be left
900507877194043392 2017-08-23 19:59:43 -0400 <BillDommasch> @realDonaldTrump @AmericanLegion @SecShulkin @DeptVetAffairs HUA  Mr. President! Squash the nattering nabobs of negativity!
