1034229069947301888 2018-08-27 19:59:59 -0400 <NASJones333> Wow, @realDonaldTrump. So much winning! How DO you STAND it????
1034229069842403329 2018-08-27 19:59:59 -0400 <Still_I_Stand62> @realDonaldTrump @FLOTUS @UKenyatta @WhiteHouse  https://t.co/aGSCi8wEOK
1034229068315729925 2018-08-27 19:59:59 -0400 <JudyKNelson1> @DrDenaGrayson @realDonaldTrump Mueller is now the sexiest man alive. Why can’t he be our president?
1034229064016580609 2018-08-27 19:59:58 -0400 <BelugaCubana> @VicenteFoxQue @EPN @realDonaldTrump ya no se si estos tuits son para ver las reacciones de los chairos y cómo saltan y te cagas de risa leyendo sus respuestas, si es así eres un crack
1034229063475507205 2018-08-27 19:59:58 -0400 <banjoguync> @JerryFalwellJr @realDonaldTrump @BarackObama And I cannot believe the responses to Mr Falwell  from all of these sick individuals that just goes to show you how much hate is in the world God bless you mr. Falwell
1034229062942826496 2018-08-27 19:59:58 -0400 <RMontoto> @IronDixie @DJBurn77 @CNN @realDonaldTrump So it's not just me. I've seen this same post twice in the last hour on 2 completely different topics.  How doe that happen?  Freaky weird to see it twice like this.
1034229062431059968 2018-08-27 19:59:58 -0400 <StefWilliams25> #JohnMcCain has more A list attendees at his funeral than @realDonaldTrump had at his inauguration. Probably equal amounts of sorrow and sadness, though.
1034229061592264704 2018-08-27 19:59:57 -0400 <yachtzco> @realDonaldTrump @dougducey should appoint @drkelly
1034229057838350336 2018-08-27 19:59:57 -0400 <realAnishDanish> @realDonaldTrump I feel bad for all this disrespect towards you.  https://t.co/v7mxhg21u1
1034229055321591808 2018-08-27 19:59:56 -0400 <LockeFlint> @Jencam76 @realDonaldTrump But Jenn , I'm having to go to work everyday now. And I don't get as much free stuff. You can't tell me this isn't Trump's fault!!
1034229054000521216 2018-08-27 19:59:56 -0400 <gmw3751> @toddstarnes @realDonaldTrump Anything he does-doesnt do. It's disgusting
1034229053644005378 2018-08-27 19:59:56 -0400 <horsevtnek> @MonicaCrowley @darylmox @realDonaldTrump Theft of AMERICAN VALUES
1034229053555924993 2018-08-27 19:59:56 -0400 <BTheLightChapel> @realDonaldTrump Scott is a conman like you.... he’s a FAILURE for Florida.. all he cares about is how much his family can milk the taxpayers out of... like your family is doing
1034229049558687744 2018-08-27 19:59:55 -0400 <GodRedacted> @mbtvrepair @Strandjunker @realDonaldTrump Wrong, wrong on all acounts. I'm a Democrat and never thought ill of McCain.  Always regarded him as a hero. Politically I just prefered Obama
1034229047176323072 2018-08-27 19:59:54 -0400 <lady_cybele> @tj2c58 @realDonaldTrump Thank you for speaking out.
