1170486907077300224 2019-09-07 19:59:59 -0400 <may_pumpkin655> @ruffian726 @realDonaldTrump Would not doubt it!
1170486906754408454 2019-09-07 19:59:59 -0400 <Frankske84> @Light_Is_Pure @realDonaldTrump There's a lot of countries on this planet that could wipe out most of the world. Most of them don't feel like *not* nuking other countries without any cause is something to brag about.
1170486904770326528 2019-09-07 19:59:59 -0400 <24sales2U> @alf27900 @realDonaldTrump Yeah, Trump was going to let the Taliban fly their own plane into the USA. After they got their flying lessons from the Saudis of course.
1170486902530748423 2019-09-07 19:59:58 -0400 <randyspace59> @realDonaldTrump Who won't let it go? After you get up from the toilet while tweeting, check the mirror...
1170486900639051776 2019-09-07 19:59:58 -0400 <afridijalil> Interesting: So it’s official that Peace deal with Taliban failed. I predicted it a couple of months ago. Era of new wars to start. There are reports that Baghdadi to appear in that region and so Zawahri    https://t.co/5Kty8KJ8qZ @realDonaldTrump @ImranKhanPTI @TheFrontierPost
1170486899519045632 2019-09-07 19:59:58 -0400 <Hcreed526> Just stay home!! You support the Orange Clown!! @realDonaldTrump !!
1170486898642440193 2019-09-07 19:59:57 -0400 <AzizJama555> @safi24711848 @realDonaldTrump I double your thank you.
1170486897434648586 2019-09-07 19:59:57 -0400 <ladydi1980> @MaxBoot @washingtonpost @nytimes @CNN @realDonaldTrump History has shown that everything he says is either incorrect, exaggerated or an outright lie. Waiting for the real story to come out.
1170486896415260673 2019-09-07 19:59:57 -0400 <TipsySkunk> @AdamSchiff .@realDonaldTrump hasn't alienated Australia. You're full of it.
1170486894699962370 2019-09-07 19:59:56 -0400 <RichardWColton> @realDonaldTrump rsxwssedkRwet j3wxz
1170486894037209094 2019-09-07 19:59:56 -0400 <ResistPres> @ABC If there ever was a secret meeting. @realDonaldTrump  is not a reliable source &amp; if caught in one of his many lies, will drive the nation bonkers trying to prove he is right. Also what sane democratic leader would host a terrorist group that was involved with 9/11 &amp; hid Bin Laden
1170486893949177856 2019-09-07 19:59:56 -0400 <HousesOfCandy> The Taliban at Camp David?! Four days before 911?! Oh hell no. @realDonaldTrump #resign
1170486893504598017 2019-09-07 19:59:56 -0400 <DeeDon5123> Please Listen2all  @realDonaldTrump @MELANIATRUMP    https://t.co/8GofZICf88
1170486893269512192 2019-09-07 19:59:56 -0400 <Anna_63> @BreitbartNews @realDonaldTrump @RepMoBrooks So  many like @RepMoBrooks will be voted out for telling lies.
1170486892770541573 2019-09-07 19:59:56 -0400 <AprilKihlstrom> @realDonaldTrump You're the one who won't let it go and every time you tweet about it you look weaker and weaker.
1170486890518237184 2019-09-07 19:59:55 -0400 <VoltairesVoice> @Jeremy96475383 @alx @CNNPR @PressSec @CNN @realDonaldTrump @NHC_Atlantic That’s why - for people like #Trump who don’t get stats, models, probabilities, @NHC_Atlantic produced and official, simplified map without outliers to show which areas most likely in path. Our #StableGenius then altered with a sharpie...2/3
1170486889817739265 2019-09-07 19:59:55 -0400 <thepashtuntimes> @realDonaldTrump cancels peace talks with Taliban.  @US4AfghanPeace Khalilzad seems failed.  https://t.co/8haO7Y2sU1
1170486885359087616 2019-09-07 19:59:54 -0400 <KLM20041> @PoliticalShort @realDonaldTrump That is because they are factually reporting all the negative things he does and represents!
1170486885254389762 2019-09-07 19:59:54 -0400 <SILZAZ1> @OLulaEstaPreso @QuelDris @PATRlOTAS @realDonaldTrump @HillaryClinton Tem que ficar espertos, muitos seguidores de direita que podem estar sendo usados.   https://t.co/RxI94YXRLB
1170486884486635520 2019-09-07 19:59:54 -0400 <Pete1099> @realDonaldTrump You mean like the failing Trump administration.
1170486883643777024 2019-09-07 19:59:54 -0400 <JamesHoulihan9> @realDonaldTrump This is all Obama's fault
