1107793806374637569 2019-03-18 19:59:59 -0400 <wysiwyg_666> @realDonaldTrump Where have i seen that signature before. Hmmmm
1107793806345277440 2019-03-18 19:59:59 -0400 <JRMcParlan> @realDonaldTrump What kind of writing is that?  My kid had more legible handwriting at the age of 6.
1107793800502509569 2019-03-18 19:59:58 -0400 <KarolRhodes13> @Lrihendry @realDonaldTrump Donnie's latest poll number from Gallup is 39% approval.
1107793799013494785 2019-03-18 19:59:58 -0400 <GrumpyPotato> round of golf with @realDonaldTrump
1107793794223755264 2019-03-18 19:59:57 -0400 <Jared_Whosoever> @cdmoore1972 @KamVTV @realDonaldTrump Obummer also sold out the US for far more
1107793792705400833 2019-03-18 19:59:56 -0400 <CJancaterino> @realDonaldTrump millions of us 100% with you!!
1107793792319541249 2019-03-18 19:59:56 -0400 <Redrchr61> @realDonaldTrump So you donated to put more babies in cages? You’re making millions on your underhanded deals with Russia and Saudis.
1107793792109731840 2019-03-18 19:59:56 -0400 <OwlenRose> @joshwood215 @Steveman34 @Jxnewton @realDonaldTrump Ah, cognitive dissonance. You don't like that list I posted because it's that good!. I know you're embarrassed to post Obama's because it's so dismal juxtaposed toTrump's. And that's after only 2 years! But if want to get into failures, you'll lose that one too.
1107793792093040641 2019-03-18 19:59:56 -0400 <JoleneDraper> @SecretsBedard @Scavino45 @realDonaldTrump Wow!  That’s why I quit using Facebook
1107793791681994758 2019-03-18 19:59:56 -0400 <donjean13> @irrepressably @mondolopez2 @realDonaldTrump Along with Medusa
1107793789781983232 2019-03-18 19:59:55 -0400 <thecodyburke> @realDonaldTrump Fredrick Douglas is doing great things though
1107793789727506432 2019-03-18 19:59:55 -0400 <k8fr8> @realDonaldTrump @MSNBC That 50% don't watch anything other than Fox and don't read a newspaper...uneducated sheep.
1107793788427292673 2019-03-18 19:59:55 -0400 <TrantDiane> @realDonaldTrump I am NOT a Republican...but i do have the utmost respect for Senator McCain...he was a true hero and man who truly wanted the best for his country and didn't the constant " look at me ..I am amazing! " He was a humble man and you are a buffoon!
