979508501813739520 2018-03-29 19:59:59 -0400 <JohnSch89549267> @FrancisWegner @realDonaldTrump   https://t.co/v25JLVnEWg
979508500333301760 2018-03-29 19:59:59 -0400 <SpunkyUSA_1> @sdoyle999 @realDonaldTrump @AmbJohnBolton Your way too obvious, your a liberal shark for sure.  I believe he will be kept until he screws up or his loyalties stray!  I know you probably won't understand that, liberals are loyal to no one, lie to everyone!#keepinitreal
979508496814231552 2018-03-29 19:59:58 -0400 <violaine01> @realDonaldTrump Maybe you should show them how you intend to pay back all the taxes you never paid, because you were to smart...
979508496755515392 2018-03-29 19:59:58 -0400 <LouDobbs> Deep State Corruption- @JudicialWatch’s Chris Farrell: Strzok-Page texts show there was clear coordination between corrupt FBI agents and the Obama White House to subvert the @realDonaldTrump presidency. This is deadly serious stuff. #MAGA #TrumpTrain #DTS #Dobbs  https://t.co/UGVzrZjyce
979508495178350592 2018-03-29 19:59:58 -0400 <sherrylou916> @realDonaldTrump. @DonaldJTrumpJr. @EricTrump. @IvankaTrump. And families be steadfast in your support of the USA prayers to all of you. Just know patriots of the USA stand with you while those dark forces attempt to wear you all down. Stay strong.
979508491437203456 2018-03-29 19:59:57 -0400 <jpheismn> I don’t understand @realDonaldTrump why you don’t push your agencies to be transparent?!?! Why does Mueller get an endless budget &amp; no  accountability? DOJ breaks the law AND covers up using Taxpayer dollars and won’t be held accountable! #DrainTheSwamp #DCvsAmerica #Rudderless
979508490145116162 2018-03-29 19:59:57 -0400 <MaureenJungblut> @4YrsToday @cosmyra64 @realDonaldTrump I’d kick him
979508488790360064 2018-03-29 19:59:56 -0400 <arnold28309769> @realDonaldTrump President  Donald J Trump you’re the greatest sure wish we had leadership like yours in Canada, God bless you and your family. We love you.
979508486945017857 2018-03-29 19:59:56 -0400 <KerseyBeth> @oldgoatsmell @SpamWalsh @DerekHebert4 @kfhall0852 @realDonaldTrump Yes he only paid Paula Jones a settlement for sexual harassment.  Trump is paying for keeping people quiet.
979508484143067136 2018-03-29 19:59:55 -0400 <smithchickpea1> @LALNason @realDonaldTrump Blah blah blah stor me
979508479093366784 2018-03-29 19:59:54 -0400 <MastaG122> @LouDobbs @EdRollins @realDonaldTrump Let’s get Trey Gowdy in there.
979508475100389376 2018-03-29 19:59:53 -0400 <mcgdfry> @realDonaldTrump Mr. President....thank you for a great speech today and making America once again a World leader!  Appreciate your wanting to rebuild our crumbling infrastructure..now if only Congress would get off their butts!
979508473821040641 2018-03-29 19:59:53 -0400 <AGirlHadNoPOTUS> @realDonaldTrump   https://t.co/aCvshk5txl
979508468397715456 2018-03-29 19:59:51 -0400 <EndT1Diabetes> @realDonaldTrump Inflation, inflation, inflation! I can’t afford to go to the grocery store anymore. Thank a lot!
979508467932319745 2018-03-29 19:59:51 -0400 <alackaschmatz> @realDonaldTrump I hope we plan on denuclearizing as well. The fewer nuclear weapons, the better.
979508466950664192 2018-03-29 19:59:51 -0400 <Tracisoper1> @RepSwalwell @tcthom277 @realDonaldTrump It's a horrible nightmare to watch everyday #WorstPresidentEver
979508463087730688 2018-03-29 19:59:50 -0400 <S246278910> @ROYALMRBADNEWS @feldinsc @realDonaldTrump @nautmiles @DebbyMacArthur Well if I say it how I want too, it would be an "Accident ". They'd pop him and Soros where they stood. Up close and personal
979508462307639296 2018-03-29 19:59:50 -0400 <_oldmandownther> @FoxNews @oreillyfactor @realDonaldTrump @LisaBloom @DrWendyWalsh @carolineheldman @seanhannity @JudgeJeanine @CNNMoney @NPR @thedailybeast @TuckerCarlson @YahooNews @BreitbartNews @infowars @maddow @Tennessean @voxdotcom @BW @WigdorLaw @NYLawJournal @megynkelly @indystar @GeraldoRivera @BillOReilly @TMZ @AndreaTantaros @THR @HuffPost @GOP @deray @YouTube @FBI @TheFive @scottienhughes @NPostPolitics @bpolitics @chrissyteigen @ryanjreilly @mashable @21CF @foxandfriends @StormyDaniels @JesseBWatters @SebGorka @YahooEnt 183B: #FakesNews #FauxNews #FoxNewsSucks 2 OF 5: rt VIA .@IngrahamAngle "David Hogg Rejected By Four Colleges To Which He Applied and whines about it. (Dinged by UCLA with a 4.1 GPA...totally predictable given acceptance rates.)"  https://t.co/S00P729MYY
979508461879820288 2018-03-29 19:59:50 -0400 <LynSimpson9> @UlikeUkeep @ODonnellKathlee @realDonaldTrump Not true,  they were illegals,  so he figured he could get away with NOT PAYING THEM!
979508456205049862 2018-03-29 19:59:49 -0400 <Kodie2038Donna> @MAGARoseTaylor @realDonaldTrump Taking my negative frustration s and using it for Forward Thinking. As a standbyer watching what has errupted since Trumps election is worrisome. If liberals DO TAKE OVER, its kiss our A## goodbye! We need to seriously focus on #CitizensDrainingTheSwampTogether
979508454183374848 2018-03-29 19:59:48 -0400 <Lynngra35433097> @bamabelleng @CoreyLMJones @realDonaldTrump I think he was rich before. LOVE MY PRESIDENT! MAGA
979508453566828545 2018-03-29 19:59:48 -0400 <Jeannine4w> @realDonaldTrump As your company's products are made by child labor in foreign countries. For every decision you make you ask yourself, "what's in it for me". Despicable.
979508451012378625 2018-03-29 19:59:47 -0400 <JuanPooch> @SlappyWoodape @NolteNC @russellscotte @realDonaldTrump ....names, burial locations, bank account info, bills girlfriends, ETC
979508448181342208 2018-03-29 19:59:47 -0400 <LeelerMayy> @The_Dr_Chi_Show @1SarahRose @GOP @realDonaldTrump @FLOTUS @FoxNews It is odd that all of you ppl think guns are the problem at schools wake up,  I guess the problem with ppl choosing vehicle  as a weapon means we should outlaw them? And u should also outlaw knifes,  baseball bats or abortion that kill 3,000 children a day in the USA
979508447313121280 2018-03-29 19:59:46 -0400 <BLDickey> @_pascuzzo @Reflog_18 @realDonaldTrump @FoxNews @AnnCoulter @DonaldJTrumpJr @IvankaTrump @Trump   https://t.co/fXF0qquKiw
979508442195943425 2018-03-29 19:59:45 -0400 <SubHuman19AT4> @thebeej1966 @georgehitt11 @jimmydean572 @realDonaldTrump @TheJusticeDept Has he released his taxes? Did he put family members in power positions in the White House? He fired Comey because of the “russier thing”. Has he ever criticized Putin publicly?
979508440308559873 2018-03-29 19:59:45 -0400 <Zakaria52618421> @realDonaldTrump Hey Mr Trump I want to ask something
979508432850964481 2018-03-29 19:59:43 -0400 <ChrisDelosada> @Rational_Billy @stutteringjohnm @realDonaldTrump Ass
979508431471202304 2018-03-29 19:59:43 -0400 <RegressiveBard> @FurredIntellect @Azu_Rayn @Popehat @Templar_Gamer1 @APaverDarkly @Nice_Weeb @RevenantFox @TheQuQu @Anarchangel_ @Nielk1 @telikonol @AmoraBunny @PolUnpurrect @MrShikaki @Vae_00 @JimFear138 @jondelarroz @realDonaldTrump @KalebPrime @Vetusan @SquidLewd @Pontifex @NotJonMollison @JulianAssange The real irony of this ofc is that as far as I can tell Popehat is one of those bloggers than really valued his anonymity as an internet blogger in order to save face and also deal with the things he is passionate about.  So ofc he pulls the trope.
979508431366193153 2018-03-29 19:59:43 -0400 <OceanBreeze1977> @realDonaldTrump You have no heart or soul.
979508426278653952 2018-03-29 19:59:41 -0400 <ddogsdad> @realDonaldTrump Unemployment claims are low because the percntage of 1099 workers is the highest in history.
979508426207318016 2018-03-29 19:59:41 -0400 <Infidel_Ken> @NickBuser5 @cameron_kasky @IngrahamAngle @realDonaldTrump She still wasn't offensive.  Look, I applaud these kids they are trying to fight for what they believe in but doing shit like this is bullying and facism which is What the left really supports "if you don't agree we will simply force you" 1/2
979508425683034113 2018-03-29 19:59:41 -0400 <rancher523> @TRICORNERHAT @CADYHUGHES @TomFitton @JudicialWatch @netflix @realDonaldTrump Entering into an age of Pocket book politics,hey the progressives started it, will finish it. #MAGA
979508425657929728 2018-03-29 19:59:41 -0400 <safetysuzie> Hey @realDonaldTrump this should upset you a whole bunch.  https://t.co/2Rr36M4PSu
979508423388745728 2018-03-29 19:59:41 -0400 <Leosawyer11> @FoxNewsInsider @realDonaldTrump @OutnumberedFNC AND WE WILL SAY PEL WHAT NEVER HEARD OF HER OH. PELOSER YA SHE USED TO #HAUNT THESE HALLS!!
979508418535763968 2018-03-29 19:59:40 -0400 <bretpdx> He sounds like my 8yr old @realDonaldTrump @IvankaTrump  https://t.co/rDUUNxxt6v
979508418326224896 2018-03-29 19:59:39 -0400 <debbiedolan> @realDonaldTrump  is just showing what a stupid ignoramus he is!!!!!!!!  https://t.co/j0aQXOYAtS
979508418250551296 2018-03-29 19:59:39 -0400 <TYenter> @jwarpony @ThomasKlineMD @realDonaldTrump Well its 10 times worse now.
979508416652640261 2018-03-29 19:59:39 -0400 <KipperNY42> @realdonaldtrump also congratulated Vladimir Putin on “winning” the election.  And who doesn’t congratulate a bunch of kids for organizing an event much bigger and more important than a show reboot.  https://t.co/RprJiwiz0w
979508413200662529 2018-03-29 19:59:38 -0400 <Dalwind92213305> @TalbertSwan @HopeRadio1 @realDonaldTrump Agree
979508412974288896 2018-03-29 19:59:38 -0400 <Brandon61642608> @realDonaldTrump You pay absolutely no taxes you filthy piece of shit
