1185344809831059456 2019-10-18 19:59:59 -0400 <23Doordan> @eugenegu @realDonaldTrump Don’t be fooled bro ISIS doesn’t even exist!!
1185344809713786881 2019-10-18 19:59:59 -0400 <gpzervas23> @realDonaldTrump @POTUS Ethnic cleansing is the name of the game.   Nothing new for these folks... practiced and perfected over the last hundred years.
1185344809659256832 2019-10-18 19:59:59 -0400 <Lyngvie1> I want @realdonaldtrump to know that I see him as a weak, spineless, thing that is causing countless deaths by not having the backbone to stand firm when Turkey wanted the US to move out. I don't believe anything is under control. I think that a failed loser is in charge. #UNFIT
1185344808610459648 2019-10-18 19:59:59 -0400 <ellejones_12> @Dsenyos808 @aaronjmate @realDonaldTrump And Trump is doing such a fabulous job. Wait. What has he done? Responsible for the slaughter of innocent civilians, caging children, causing farmers to lose their farms.....I don’t have all night.
1185344808400777216 2019-10-18 19:59:59 -0400 <NYCritix> @icanucklehead @nelsonwendella @realDonaldTrump Wait, no I thought I sent that in reply to someone lol
1185344807331221504 2019-10-18 19:59:59 -0400 <DessiesMama> @MissFlorida1 @AddsEvery @realDonaldTrump Riiiiight. Love you too!
1185344806907719683 2019-10-18 19:59:59 -0400 <Waikoloa_Gal> @cybervato66 @TheRightMelissa @realDonaldTrump Fake outrage? LOL. Aren’t you just the cutest little thing.
1185344806802903040 2019-10-18 19:59:59 -0400 <KarinM711> @realDonaldTrump And he’s in this mess up to his eyeballs
1185344806232440832 2019-10-18 19:59:59 -0400 <viking2086> @GovBrewer @SpeakerPelosi @POTUS @realDonaldTrump @BarackObama  https://t.co/abUVhZ8eru
1185344804940591105 2019-10-18 19:59:58 -0400 <xzmvq5> @realDonaldTrump You would think the United Nations would do something,
1185344799496376321 2019-10-18 19:59:57 -0400 <steven_alsip> @realDonaldTrump If you have to point out that you are doing important work; you are not doing important work
1185344799005499392 2019-10-18 19:59:57 -0400 <BruceAd86417338> @realDonaldTrump Let’s see, you gave Erdogan the green light to kill Kurds, now you are the hero?!!
1185344798233772032 2019-10-18 19:59:57 -0400 <HotSmiter> @realDonaldTrump SPRAY US with your  VISCUS MAGA FLUID! (its orange!) 💦💦💦💦💦💦 and it will be easier for us to stick together SIR!  MAGA 🇱🇷STUCK🇱🇷MAGA
1185344795973169152 2019-10-18 19:59:56 -0400 <sethwell> @realDonaldTrump Not the time to gloat. Maybe when an armistice happens would be appropriate. Still have to end it permanently. #MoronInChief #DementiaDon  https://t.co/fSNmw11536
1185344794937217024 2019-10-18 19:59:56 -0400 <darkspot> @realDonaldTrump You got a 'pause' and owned by Turkey.
1185344793033019395 2019-10-18 19:59:55 -0400 <GGobely> @SpeakerPelosi @realDonaldTrump Lies nancy
1185344792810655744 2019-10-18 19:59:55 -0400 <LittleMsBiddi> @realDonaldTrump @WhiteHouse  https://t.co/9WRWrVYeDb
1185344792680681474 2019-10-18 19:59:55 -0400 <msmith78> @GovMikeHuckabee @realDonaldTrump I voted for Kasich in the NH primary.... Can I take back my vote... What was I thinking.
1185344792252665856 2019-10-18 19:59:55 -0400 <neutronneedle> @realDonaldTrump *If* you were doing what was intended for a president, your days would be sublime. Instead, you foul your own legacy.
1185344791866789888 2019-10-18 19:59:55 -0400 <Alexkabir3> @realDonaldTrump Contact;  https://t.co/AchFaGB0ZM Are you #looking for wordpress Expert
1185344791606726656 2019-10-18 19:59:55 -0400 <DaylieKartunes> @realDonaldTrump you didn't save anybody's life and there is no ceasefire!  https://t.co/0IowEJbPpC
1185344791388839938 2019-10-18 19:59:55 -0400 <tracytang090103> @realDonaldTrump @POTUS #DumpTrump2020
