1175197948293943297 2019-09-20 19:59:59 -0400 <stone_shoe> @LyndaBarrettMer @ScottPresler @realDonaldTrump  https://t.co/S2OFVp3jUP
1175197938710175744 2019-09-20 19:59:57 -0400 <luckydbldd> @TomFitton @JudicialWatch @realDonaldTrump @realDonaldTrump  Why can't Barr get off his duff and help out Judicial Watch?
1175197938236018689 2019-09-20 19:59:57 -0400 <DanielEHernand7> @neeco_tripp @realDonaldTrump Is a set up to get Biden! Lol....... It was a master move and you guys are falling for it......  https://t.co/dNW20TZQ2l
1175197938114580480 2019-09-20 19:59:57 -0400 <charliesheenpgh> @CNN Unproven?????? CNN IS AGAINST UNPROVEN????????? WHAT????? @realDonaldTrump @FoxNews #cnnfakenews   #CNNIsFakeNews
1175197936407461888 2019-09-20 19:59:56 -0400 <animalfriend1> You fking hypocrite @realDonaldTrump
1175197934327123973 2019-09-20 19:59:56 -0400 <JLFerris30> @mike_axelrod @LynnSavory @realDonaldTrump Friends  https://t.co/2g7a9YM53m
1175197930376114176 2019-09-20 19:59:55 -0400 <Shepyrd> @realDonaldTrump HAHAHAHAH. Fuck Off RINO. #NotMyGOP
1175197928857563136 2019-09-20 19:59:55 -0400 <advisorybureau> @realDonaldTrump Help my lawyer rig the 2020 election and I will release the $250 million that is owed to you anyway.
1175197927255375873 2019-09-20 19:59:54 -0400 <rdcastagna> @daquilajmd @FGumpsMomma @RockyMountViews @ResistanceNOW77 @MysterySolvent @realDonaldTrump Yes it is. We all need to support Greta Thunberg for the Nobel Prize! Without a doubt an amazing day when young people stood up to save their future. If you don’t believe in climate change then grasp the fact that the earth has only 100 years of oil left st this rate of use.
1175197927003717634 2019-09-20 19:59:54 -0400 <LulaPuch> Therefore you are a very black turd @realDonaldTrump Asylum is legal you fool. From Discover on Google  https://t.co/Ke0o3sKzxG
1175197924109639680 2019-09-20 19:59:53 -0400 <Pentome1> @realDonaldTrump Approval rating of who? Certainly not overall.
1175197922834735105 2019-09-20 19:59:53 -0400 <N62665> @glamelegance @realDonaldTrump @TuckerCarlson So you miss high unemployment for Minorities, more minorities on Food Stamps and below the poverty rate. Divisiveness between Races. Appeasement to all foreign governments 4 years of Recession. Worst recovery since the great depression campaign promises never kept.
1175197921098100736 2019-09-20 19:59:53 -0400 <FIRE_THE_FOOL> @JeannetteChips @realDonaldTrump @SpeakerPelosi Exactly!
1175197920431202304 2019-09-20 19:59:53 -0400 <sshhhooxxaa96> @amanj_jamal @realDonaldTrump @IvankaTrump Hahahahaha kura muhim trin shty awaya achm bo America awash le gare money haya
1175197919160483840 2019-09-20 19:59:52 -0400 <Free_nthee> @Qanon76 @realDonaldTrump   A very good Dan Bongino show.   https://t.co/Nuzkv1RnWp
1175197919143768064 2019-09-20 19:59:52 -0400 <infobaeamerica> El presidente de #EEUU @realDonaldTrump liderará un encuentro al margen de la Asamblea de la ONU para presionar al régimen de #Maduro  https://t.co/yLFsqXg0s6
1175197918212448257 2019-09-20 19:59:52 -0400 <NancyLeighCoons> @realDonaldTrump that is you!  #Commanderincheat !
1175197914496405510 2019-09-20 19:59:51 -0400 <Master_of_Hats> @AirGuard_Guy @missmelissajoi @JRobertMilner1 @steakhunt @ewarren @realDonaldTrump That's entirely true. I hate what this country has become utterly, and I know that we will never go back. It only gets worse from here. But the thing about hate is, it wins. So maybe the rest of us need to hate a little more. It's what Americans are good at.
1175197914001334273 2019-09-20 19:59:51 -0400 <telly00869434> @paracorder2 @BolandDrummer @shsc2013_Island @bhhorsley @itsJeffTiedrich @realDonaldTrump @Paracorder This is a great one... over 7 MILLION views!! Might be too smart for you, though:  https://t.co/i2YCAP8CYr
1175197912554455041 2019-09-20 19:59:51 -0400 <maperettedm> @LoriSchrack1 @femme_phememe @3ChicsPolitico @glamelegance @DLTrunnell @realDonaldTrump Guess who was heading up the FBI. Mr. I'm a jackass COMEY.
1175197911547662339 2019-09-20 19:59:50 -0400 <Adaias_Magno> @realDonaldTrump @BilldeBlasio LOL!!!
1175197911384121345 2019-09-20 19:59:50 -0400 <TheRollinsBrown> @nickamin20 @KathyBaumgardn5 @maggiemoonbeam3 @realDonaldTrump They’re the ones screwing with the declassification.  They’re the conspirators.
1175197909782061056 2019-09-20 19:59:50 -0400 <Annmisiaszek1> @hiyosilva88 @realDonaldTrump Ask the farmers
1175197906892206087 2019-09-20 19:59:49 -0400 <ClaraZietta> @realDonaldTrump Ya can’t just mock up a slide of yourself and state approval rating without citing the SOURCE.   back it up dude with a real poll.   #presidentjackass
1175197906074161152 2019-09-20 19:59:49 -0400 <BachPatu> @DanSither @Jawesomene @dntcllme_nicole @resist_detroit1 @sandyhook @GOP @realDonaldTrump @senatemajldr @SenCoryGardner @NRA Well what would YOU call a weapon that can take stocks (If they were still legal) AND 100 round ammounition drums   I'd call it an ASSAULT RIFLE  But whatever makes you sleep at night champ…
1175197905604501504 2019-09-20 19:59:49 -0400 <Hayes77519> @WalshFreedom @DevinCow @realDonaldTrump @JoeBiden "Jefferson has beliefs; Burr has none."
1175197905235271681 2019-09-20 19:59:49 -0400 <GruyereRichard> @scotthughes1234 @elanacurl @HuffPostPol Reasonable people are comparing this to the #rules that have framed our #expectations and #reality.  The #spoiled and #privileged #brat that IS @realDonaldTrump has NEVER been held #accountable for ANYTHING so our rules are irrelevant. #ItsTime  #ITMFA #Treason
1175197904237035520 2019-09-20 19:59:49 -0400 <mjenkins200910> @Mi350R @SteveHiltonx @realDonaldTrump @AndyPuzder @IvankaTrump @NextRevFNC You realize the UK isn't having these issues. And they have been undergoing much more extensive research then our own country who supposedly has amazing scientists. But it's all politicians want is that damn might dollar. The MSA settlement.
1175197893281505280 2019-09-20 19:59:46 -0400 <sgoldscher> @living_gurl @thehill @realDonaldTrump @FLOTUS Maybe it's one of Ivanka's designs.
1175197892988080128 2019-09-20 19:59:46 -0400 <DahliaBlue3> @RWPUSA @benFranklin2018 @SpeakerPelosi @realDonaldTrump Courage or kompromat?
1175197891683598337 2019-09-20 19:59:46 -0400 <RobFlaherty44> @HackettKate That @realDonaldTrump really is making America great again.
1175197888802099202 2019-09-20 19:59:45 -0400 <Steve_E_Thomas> Now would be a good time for @realDonaldTrump to complain about how much Obama golfed.   Just saying......
1175197887405469696 2019-09-20 19:59:45 -0400 <Onlimoi> @SpeakerPelosi The United States of America is on pause, and a sense of powerlessness &amp; paralysis seems to have gripped the country.  Allowing this appallingly abnormal @realDonaldTrump Government Ungoverned Show to proceed uninterrupted will confirm that the #USA doesn't even matter anymore.
1175197886725984258 2019-09-20 19:59:44 -0400 <RykerStephenson> @realDonaldTrump Hawking more products for Fox News staff, I see. The first sentence of the description of her children’s book on Amazon takes a swipe at diversity. No, we don’t talk about diversity too much and yes, it can be a part of the equation that unifies us. On behalf of my kids, fuck off
1175197886214098944 2019-09-20 19:59:44 -0400 <JoshKetner> @realDonaldTrump By trying to return to higher emission engines, you're just guaranteeing another auto company bailout as more consumers turn to hybrid/electric vehicles. Don't just make America great in the now, make it great in the future as well. Be proactive, not responsive.
1175197883542495232 2019-09-20 19:59:44 -0400 <abbeyzoe2209> @thehill @realDonaldTrump @FLOTUS Does she shop at Goodwill? In fact ive found better looking clothes there...
1175197883349385218 2019-09-20 19:59:44 -0400 <SpookyMulder94> @SkyNewsAust @realDonaldTrump @ScottMorrisonMP I agree.
1175197883286659072 2019-09-20 19:59:44 -0400 <duh_stinn> @thecomm03084109 @CressMarko @willchamberlain @realDonaldTrump However, to answer your question, yes civilians need AR-15's. Just ask the NRA instructor who stopped the Texas church shooter with his AR-15 or the kid in Oklahoma who used an AR-15 to defend his family after multiple armed attackers broke into his families house.
1175197877720604677 2019-09-20 19:59:42 -0400 <Content_Retired> @realDonaldTrump  https://t.co/ECD0Ue4ur7
1175197874247720960 2019-09-20 19:59:41 -0400 <Sunsetboy4ever1> @Mayor_Steinberg @SacCountyDA @SPDOutreach @sacsheriff @SacPolice @FBI @CIA @DHSgov @POTUS @realDonaldTrump @georgesoros @SocialSecurity @LibbySchaaf @TheJusticeDept @Oakland  @truisrael @IRSnews #IWillNotYield #racist #Christians #overmedicated   https://t.co/Vjl586ewAQ
1175197871739506688 2019-09-20 19:59:41 -0400 <doreen0578> @realDonaldTrump
1175197870565314562 2019-09-20 19:59:41 -0400 <CaptTwitchy> @SoundTrainingGr @PJNorwood @IAFFNewsDesk @realDonaldTrump @JoeBiden @RicciSCOTUS Yeah, that is true. About the only thing politicians bitch about firemen is bloated pensions and going to the grocery store.
1175197868870602752 2019-09-20 19:59:40 -0400 <SabraDarling> @realDonaldTrump "Everything Nixon did during Watergate pales in comparison to Trump using the power of the Presidency to pressure a foreign leader who needs U.S. Aid to investigate a political opponent  https://t.co/EedZ04IX4p
1175197867654504448 2019-09-20 19:59:40 -0400 <ponderthis> @Lenasmi45403431 @FriendofPiglet @jeremynewberger @realDonaldTrump And “The Shining” with, of course, Jack Nicholson
1175197866756698112 2019-09-20 19:59:40 -0400 <jackhutton> How did @realDonaldTrump wife Melania get an Einstein visa?
1175197866224173058 2019-09-20 19:59:40 -0400 <NeilKenes> @MSNBC @realDonaldTrump  - what is going on?    law punishes acts of homosexuality or cross-dressing with punishments of fines, public whipping, beatings, vigilante attacks, chemical castrations, prison time up to life  https://t.co/3fSf14Zboz  cc: @DeptofDefense  https://t.co/hjbVNvE8eU
1175197865620230144 2019-09-20 19:59:39 -0400 <USRoute41> Show it to @realDonaldTrump ... he'll order 4 trailer loads to install in Trump Tower.
