1171574070363795456 2019-09-10 19:59:59 -0400 <mmk_inc74> @andylassner @nypackergirl @realDonaldTrump Big. If true.
1171574070204403712 2019-09-10 19:59:59 -0400 <N7Renegade> @real_defender @realDonaldTrump The only reason we are having this vote today is because the last Republican nominee for this seat committed voter fraud tho lol
1171574068207861760 2019-09-10 19:59:59 -0400 <JoanMClements> @caholloway2112 @realDonaldTrump @larry_kudlow @HillaryClinton Bill Clinton was an unfaithful husband..But all with adult women..The disturbing way Trump was seen to behave around pubescent girls has bothered people for years..ps. You should write a book..#Fiction /3
1171574065720700928 2019-09-10 19:59:58 -0400 <Porky321Smith> @realDonaldTrump God bless you President Trump. Bolton may be an intelligent person, but he is a hawk &amp; ready to do the military industrial complex's work. Colonel Douglas MacGregor on the other hand, should be your advisor. He seems knowledgeable on foreign affairs, but most import apolitical.
1171574063707373568 2019-09-10 19:59:58 -0400 <rnadna2> @realDonaldTrump needs to be arrested for criminal acts against the United States!!
1171574058699415552 2019-09-10 19:59:57 -0400 <Clay38611125> @SenSchumer @realDonaldTrump ,zio were,y  https://t.co/223GwvMzgt
1171574058468749312 2019-09-10 19:59:56 -0400 <PinellasPointG> @realDonaldTrump LMMFAO !!!!
1171574054089887744 2019-09-10 19:59:55 -0400 <heylookitsnate> @SouthFlorida2A @ZeroWarningShot @ann_t1919 @leeF787 @realDonaldTrump You might be a crazy conspiracy theorist, but at least no one can call you a racist.  https://t.co/Ouy7YoI0XE
1171574052034502656 2019-09-10 19:59:55 -0400 <Robin35649917> @realDonaldTrump That's my American President.. thank you Trump🇺🇸🇺🇸🇺🇸🇺🇸
1171574050600173569 2019-09-10 19:59:55 -0400 <linthdem> @rdrhwke @realDonaldTrump @linthdem I will fb tomorrow. I hit my limit
1171574045764182017 2019-09-10 19:59:53 -0400 <oropeza143> @realDonaldTrump When Melania leaves you for Trudeau, or that secret service agent she LOVES..Youll have a chance with ivanka again...disgusting human being that you are..
1171574045382467585 2019-09-10 19:59:53 -0400 <kevindqc> @realDonaldTrump Please sue them and see what happens :) Are you gonna sue every single pollsters?
1171574043008520193 2019-09-10 19:59:53 -0400 <Robin95333630> @realDonaldTrump  https://t.co/3Zpyhaf3At
1171574042890891264 2019-09-10 19:59:53 -0400 <Halzel> @IndepedentLady @PostroomRich @MRWhippen @dixiepickett18 @nachosarah @realDonaldTrump @POTUS With the exception that we do not hold the same opinion as you on abortion being 'to kill babies'.   Thankfully, neither do more and more states.
1171574042677121024 2019-09-10 19:59:53 -0400 <karenknitssocks> @TheRightMelissa @realDonaldTrump You're fake.
1171574040672292870 2019-09-10 19:59:52 -0400 <JudithGWhite> @realDonaldTrump Thank you, Mr. Presidente @realDonaldTrump, for finally being a leader who actually tackles the problems of this nation! Much love! #winning
1171574040059793408 2019-09-10 19:59:52 -0400 <PeterPyke> It's obviously  hard to get good help   in #DeepState's #USA.  Perhaps @realDonaldTrump   might look here for a new National Security Advisor?  @TulsiGabbard.  You are welcome, Donny.
1171574039510487051 2019-09-10 19:59:52 -0400 <Metacomet99> @SoyBeanSunrise @Gil_Hoffman @netanyahu @realDonaldTrump Wow... he did not destroy ISIS.  Korea is as big a threat as ever.  Do you only watch Fox?
1171574037681725440 2019-09-10 19:59:52 -0400 <buttercuprules1> Hey kids,  more examples why it is important to get an education. You don't want to be like these guys. @kerryeroberts @realDonaldTrump #educationmatters #educaionforall
1171574035286822918 2019-09-10 19:59:51 -0400 <stmithomas> @EladRatson @BotSentinel @realDonaldTrump The fact that the Russians elected him does not make the liar a truth teller.
1171574032866664448 2019-09-10 19:59:50 -0400 <Smithand6Squad> @TeamTrump Where can I get one? Whole family, includes 6 kids, support @realDonaldTrump would love some MAGA hats. DM me so we can get some. #MakeAmericaGreatAgain
1171574031943917568 2019-09-10 19:59:50 -0400 <Meliss14725495> @norlisa5561 @RandallDesear @realDonaldTrump You should watch some real news-the list of how he hurts this country grows by the day.  It is hypocrisy when u claim to be a Christian &amp; at the same time worship someone with no morals, empathy or ethics.  IMO.  😉👍🏻🇺🇸🇺🇸
1171574029490229248 2019-09-10 19:59:50 -0400 <Shar0n_Valencia> @realDonaldTrump  Not looking too good for #PABPOTUS
1171574027120340993 2019-09-10 19:59:49 -0400 <AtuToo50> @SpeakerPelosi @realDonaldTrump Same song, second verse, same as the first. GOP repeatedly attacks every day people while at the same time winning votes from the same people they are hurting. There's just no logical way they should win any election in this country.
1171574025618784256 2019-09-10 19:59:49 -0400 <blairgautschi> @realDonaldTrump
1171574025224511489 2019-09-10 19:59:49 -0400 <Charles03335775> @realDonaldTrump While the number of kids in cages increases.
1171574023911813121 2019-09-10 19:59:48 -0400 <perrypines> @Patti_Sc60 @BobBrinson1 @NannyMcTrump @bigmack600 @cbrady923 @MichelleWSC @YC727USA @familyfirstcorp @familyunity61 @GaryWalters66 @MRCRIDE @TCats75 @texasrecks @tagruber @4Mischief @hoppinmama5 @YourSinsR4given @KevinMFerrara Followed ALL! Follow back please! #MAGA #MAGA2020 #BUILDTHATDAMNWALL #JESUSISLORD #JESUSISTHESONOFGOD #NEVERFORGET #MAGA @realDonaldTrump @OANN #TrumpLandslide2020 #WAKEUPAMERICA #WalkAway #WWG1WGA  https://t.co/QE3s5jEeQE
1171574021466591232 2019-09-10 19:59:48 -0400 <FmjPatriot> @PackersFavreFan @pretzba1 @Wendy50531315 @mammo74 @realDonaldTrump I never actually expected to find so many douche bags around the world. ThevAmerican people get to choose again November 2020. If it’s a Socialist from the pot of suspects in the running. The US and World will cry!
1171574019524419584 2019-09-10 19:59:47 -0400 <teacherspet1958> @realDonaldTrump
1171574015846211585 2019-09-10 19:59:46 -0400 <jupiterose123> @kyle30921840 @oldmarinemcd @JudicialWatch @TomFitton @realDonaldTrump Should I go on?
1171574014508224513 2019-09-10 19:59:46 -0400 <19Pam56> @almostjingo @realDonaldTrump Can we find out the political leanings of these 2 FEMA employees. Besides lining their pockets were they trying to make Trump look bad?
1171574012843106304 2019-09-10 19:59:46 -0400 <CLB1116> @realDonaldTrump The wall that Mexico was going to pay for?  https://t.co/ft7bB5oYUF
1171574011404443648 2019-09-10 19:59:45 -0400 <jeanne81603807> @realDonaldTrump Did u draw that yourself with your sharpie?
1171574005444145152 2019-09-10 19:59:44 -0400 <somnalige> @realDonaldTrump @LisaMei62 There are only two things which can stop you from being reelected  as president - 1) an economically powerful China &amp; 2) Allowing Muslim immigrants - if you are able to cripple China strategically by weakening there business moves you and your family can stay in power in USA
1171574004768862208 2019-09-10 19:59:44 -0400 <worldpce0> @realDonaldTrump Six out of 10 Americans don’t want to see you do a second term :-)! Thank God 🇺🇸
1171574003758239746 2019-09-10 19:59:43 -0400 <CesarTorres_64> @realDonaldTrump What positive changes have you made?
