1167950191644663810 2019-08-31 19:59:59 -0400 <keithHi43853371> @realDonaldTrump Congrats on the space program. The country really needs it.
1167950190222790657 2019-08-31 19:59:59 -0400 <cesttristeadire> @alderiex @realDonaldTrump The USA moves forward what? More mass shootings ? This is exactly what the Democrats wish to prevent but, #GOP have no interest. Guess why? NRA
1167950186729095168 2019-08-31 19:59:58 -0400 <GJackKing1> @realDonaldTrump Get your ethyl alcohol out of my gasoline, Bubba!
1167950186708008961 2019-08-31 19:59:58 -0400 <earlgreymartini>  https://t.co/zDrE84MxmY #Chinazi @realDonaldTrump @VP @marcorubio @TomTugendhat @SenTedCruz @senatemajldr @RepMcGovern @SpeakerPelosi @guardian @BBCWorld
1167950186015887363 2019-08-31 19:59:58 -0400 <Wride2Wride> @realDonaldTrump We have a lying President what’s the problem with Comey
1167950184770195456 2019-08-31 19:59:58 -0400 <Drawnder> @realDonaldTrump Sounds like a piece of work. Who would hire somebody like that after knowing her for years ?
1167950180521369600 2019-08-31 19:59:57 -0400 <GSwarthout> @BobVerona @hero92694asmr @AngelaBelcamino @realDonaldTrump No, we don't.  Don't play stupid.
1167950180299096066 2019-08-31 19:59:57 -0400 <jhcToyko> @littledeekay @realDonaldTrump @GOP The @gop is thrilled to have no accountability....  They love not being responsible... That's why they nominatedhim again! They got vacatons to go tooooooo
1167950179657379840 2019-08-31 19:59:56 -0400 <fox_swank> @LeeHolly81 @realDonaldTrump Well, we know where all the men with Little Penis’s are today. Real men don’t have to carry on like that to feel good about themselves. Later, They’ll kick the dog, ruff up the Misses, then lean back in the recliner, yell for a damn beer, it better be cold &amp; turn on FAUX NO NEWS
1167950178751397888 2019-08-31 19:59:56 -0400 <arjr1974> @CyberShamrock @alderiex @realDonaldTrump 🤣🤣🤣...LITERALLY BY MOVING BACKWARDS
1167950178726187009 2019-08-31 19:59:56 -0400 <sophieandlili> @JasonArgonaut7 @VP @realDonaldTrump 😂 be best is the gift that keeps giving!
1167950178717851649 2019-08-31 19:59:56 -0400 <niki_dyer> @realDonaldTrump You are not. Liar.
1167950174578102272 2019-08-31 19:59:55 -0400 <SocialGonzo> @realDonaldTrump #DerangedDonald #ConDon #PutinsPuppet #RussianOwned #PeePeeTapes  https://t.co/1dV2qZKBYX
