865718709679214593 2017-05-19 19:59:59 -0400 <justjessie226> @realDonaldTrump  https://t.co/auoi8bTG8j
865718702347603972 2017-05-19 19:59:57 -0400 <therudest_one> @linzylo58 @williamlegate @realDonaldTrump You ain't won shit, never will
865718686556065793 2017-05-19 19:59:53 -0400 <jordanowen42> Okay @realDonaldTrump supporters, NOW why do you support him? (Besides "because he's being treated so badly" bullshit.) #MAGA
865718684039426049 2017-05-19 19:59:53 -0400 <TOMLANDRY66> @AndyOstroy @realDonaldTrump That's awesome without being awesome
865718682886049794 2017-05-19 19:59:52 -0400 <PattiLCook> Apologies to @drseuss1904 &amp; fans @VP @realDonaldTrump @POTUS #tytlive  #ImpeachTrumpPence  https://t.co/QL430pRJV9
865718682470809600 2017-05-19 19:59:52 -0400 <MaddogHarryMadd> @realDonaldTrump @USCGAcademy You made it all about yourself not for students you're a complete narcissistic buffoon.
865718681543880705 2017-05-19 19:59:52 -0400 <ricca_mark> @realDonaldTrump Protecting American interests?  How about protecting Americans from Turkish thugs.  #cockholster
865718680369410049 2017-05-19 19:59:52 -0400 <Bluebugaboo2> We all should be friends of Putin @POTUS  @realDonaldTrump let's face it he is the only adult  among all the leaders  https://t.co/yXVmFWRug5
865718675021721600 2017-05-19 19:59:51 -0400 <onethousandfire> @2simplyb @Millennial_Dems @realDonaldTrump @CNN @AC360   https://t.co/uHHePKxW4r
865718674459693057 2017-05-19 19:59:50 -0400 <bisnieto>  https://t.co/zWWHWpSBXZ @realDonaldTrump  Presidente del norte. No somos enemigo Venezuela es amiga somos gente de paz.Converse y entenderá
865718673423704064 2017-05-19 19:59:50 -0400 <seethispotus> @realDonaldTrump Did you see this?  https://t.co/xTbiqeFC76
865718673188814848 2017-05-19 19:59:50 -0400 <jsch30> @realDonaldTrump I think you need to focus on not embarrassing the American people on your Big foreign trip! #trumpacts5yrsold
865718671641018369 2017-05-19 19:59:50 -0400 <barboneastus> @RezOKC @realDonaldTrump Not with me. I respect others n their right to express it. What ever happens is in the hands of a higher power than me. Nite sir.
865718671251046400 2017-05-19 19:59:50 -0400 <suzguz60> @realDonaldTrump With this latest news U will be viewed even MORE of a JOKE by the heads of state than when ur plane took off! Imagine that!
865718670282047488 2017-05-19 19:59:49 -0400 <torresnadine2> @MoveOn @thebeadingnana @realDonaldTrump Why does this behavior not bother the GOP? We Americans want to know! Why! GOP is dividing all Americans! This is bad. Putin agenda is bad.
865718663676125184 2017-05-19 19:59:48 -0400 <BoredGeekTweets> @realDonaldTrump Excuse me, I need to go alternate vomiting and laughing at you. Pope refuses to see you, you will have no success, xenophobe. Look it up.
865718661486702592 2017-05-19 19:59:47 -0400 <myprincessfive> @realDonaldTrump ENJOY!!!!!!  https://t.co/Y2WJ3u5dib
865718660844748800 2017-05-19 19:59:47 -0400 <DeniseRickard> @realDonaldTrump Why do you tweet under your name and #POTUS?  We only need to see your lies once, thank you very much. #AmericansDeserveBetter
865718652724584448 2017-05-19 19:59:45 -0400 <adman329_adam> @williamlegate @realDonaldTrump Wow, is this all u do all day?
865718648060739584 2017-05-19 19:59:44 -0400 <lovingactivated> @realDonaldTrump @realDonaldTrump you surely will be embarrassing yourself and our country. Who knew the Middle East and Europe were so complicated. Right?
865718647519498240 2017-05-19 19:59:44 -0400 <semperTT> @misterdish69 @dottemarie @Cosain02Cosain @eavesdropann @KnucklDraginSam @stand4honor @justicehall69 @DanaElizabeth69 @workbench59 @BarbaraNsgstud @Snap_Politics @richmagoo @MatuaJustin @oceanmaniac @FuriousFarmBoy @Navyvet30yrs @Latticepr @sxdoc @4AllSoulKind @4yourvets @FBI @jimmygarner @TheGreatFeather @unarosabianca13 @BillPeriman @HorseShort @_WCarter_ @Mom2theCorps @jorgenseptember @RandallKraft @mama_sees @TGowdySC @realDonaldTrump @wikileaks @OminousPie @wienerherzog2 @PizzaPizzaLtd @pmclauth @CraigRSawyer @Pedo_Gate @Cernovich @GOP @Monica_Soul_Air @Anamcara2015 @OpChemtrails @ChemtrailTruth @ChemtrailAutism @Chemtrail_Watch 😂😂 #weinerroastingfriday  https://t.co/1eHLqraZwI
865718643878973440 2017-05-19 19:59:43 -0400 <LarahMorgana> @californiasun1 @jules_su @realDonaldTrump You mean the way Trump and Cheney fought?   LOL!!@!!!
865718634261368832 2017-05-19 19:59:41 -0400 <Gandi2099> Take Heart MR @POTUS @VP @nikkihaley @realDonaldTrump  https://t.co/qwKMIwDOKM
865718628183941121 2017-05-19 19:59:39 -0400 <patriotusa77b> Cleaning the swamp takes significant effort, time and Energy and yes "big balls".  @realDonaldTrump
