1051261296061161472 2018-10-13 19:59:59 -0400 <kelreedfll> @tm_roy @MissButter @realDonaldTrump Dream on dreamers.
1051261291552215040 2018-10-13 19:59:58 -0400 <FalexanderFiona> @GOP @realDonaldTrump DEFICIT DEFICIT   -- Top 1% taxpayers, small taxes, rest of the population......nothing.  That is what the GOP and Trump is 'doing' for you.
1051261291178921984 2018-10-13 19:59:57 -0400 <MademoiselleRe5> @lindachapin54 @Monilopez827 @ProudResister @realDonaldTrump 🤣😂😁💕💕
1051261288322650113 2018-10-13 19:59:57 -0400 <jeffqli77> @realDonaldTrump @WhiteHouse #LEADRIGHT #MAGA #CHINESEAMERICANFORTRUMP #CAFTfortrump #trump2020 #takebackUSA #redwaverising2018
1051261283570470912 2018-10-13 19:59:56 -0400 <EdwardNiam> #trumpSTUPIDonSTEROIDS #trumpLYINGSCUMBAGinCHIEF America is drowning in the cascading flood of #LIES #COLOSSALSTUPIDITY #INCOMPETENCE #RACISM #CORRUPTION of @realdonaldtrump
1051261279862747136 2018-10-13 19:59:55 -0400 <Mommygatr> @MichaelAvenatti @realDonaldTrump @THR That is some serious sexiness represented in those pictures. Too bad it won’t help Trump. At All😝
1051261272048771072 2018-10-13 19:59:53 -0400 <Rajnees84911023> @realDonaldTrump Yea u r great President. This is what u want to Hear? He definitely have some mental problems.
1051261271146926082 2018-10-13 19:59:53 -0400 <DuranGeralduri> @krassenstein @realDonaldTrump Brian he is campaigning to prevent the Democrats from getting their dirty little hands on a congressional seat! Anyway are you helping us here in Florida?
1051261268928155648 2018-10-13 19:59:52 -0400 <gizmo_renegade> @GOP @realDonaldTrump  https://t.co/OPDwWrn4uh
1051261263358119937 2018-10-13 19:59:51 -0400 <ChubsTucks> @keatonc33 @yanks2derek @FoxNews @realDonaldTrump  https://t.co/ZK0uedDrCG
1051261263232274433 2018-10-13 19:59:51 -0400 <coffinflxxt> @realDonaldTrump 2020 trump out of office. Hopefully you people can see past his bullshit.
1051261258052329472 2018-10-13 19:59:50 -0400 <Edsren> @realDonaldTrump  https://t.co/VEiu55Gbhu
1051261251253235712 2018-10-13 19:59:48 -0400 <paulosophia> @merlin5by5 @realDonaldTrump “Americans are largely unaware that Mexicans were frequently the targets of lynch mobs, from the mid-19th century until well into the 20th century, second only to African-Americans in the scale and scope of the crimes.”
1051261250125144064 2018-10-13 19:59:48 -0400 <cjj1988> @FoxNews @realDonaldTrump Why is fox news not showing Trump rallys on tv here lately
1051261249659518977 2018-10-13 19:59:48 -0400 <DJGoonie> @realdonaldtrump said he making sure artist x songwriters x producers get all of there money. 💰💰Seems like #kanyewest did have a plan.  https://t.co/0tIShBZuRc
1051261247369359360 2018-10-13 19:59:47 -0400 <ziggystardad> @FoxNews @realDonaldTrump Another angry mob rally with far right threatening  decent Americans
1051261240939433984 2018-10-13 19:59:45 -0400 <GretchenGGG333> @joncoopertweets No food No Fema, but a rally tonight with @realDonaldTrump !
1051261239123423232 2018-10-13 19:59:45 -0400 <SunflowerSoul71> @TeaPainUSA @RInman715 @HillaryClinton @realDonaldTrump LOL  I LOVE THIS!!!!   Seriously LOVE THIS!
1051261237466714112 2018-10-13 19:59:45 -0400 <AmazonAnne9> @realDonaldTrump Another waste of our taxpayer dollars. Grifter.  https://t.co/3tJKrVhT3G
