1112504847591309312 2019-03-31 19:59:59 -0400 <OldWhiteGal1> @realDonaldTrump Why do you always lie?
1112504847159316481 2019-03-31 19:59:59 -0400 <ericaj58> @WhisnerRoger @mAlex72480672 @TheHalliCJShow @mmpadellan @realDonaldTrump Jesus doesn’t exist.  https://t.co/tMpUv8h4R0
1112504846471622656 2019-03-31 19:59:59 -0400 <George_Of_FL> @Bamaof5Gail @realDonaldTrump @WSJ They are all laughing at Trump as they should be(FBI,CIA).  Trump has disrespected every one of them and the way he treated them was wrong, but now you want them to help Trump?  They can't stand him.  He trust PUTIN over our own FBI/CIA. He fired FBI Director who was loved.
1112504844408029184 2019-03-31 19:59:58 -0400 <peggydumptrump> @realDonaldTrump And how does spending your days cheating in golf fix anything?
1112504841861910529 2019-03-31 19:59:58 -0400 <TonyWel83244831> @realDonaldTrump Amen. You have done more for this country and to still be fighting this. Keep up the good work and stay strong.
1112504841140461568 2019-03-31 19:59:58 -0400 <BiznessGuru4u> @realDonaldTrump Hey buddy here’s your trusted and reliable news source. How many Mexican Countries are there?  https://t.co/1KhfPWjdXc
1112504840796729346 2019-03-31 19:59:58 -0400 <FrankDangelo23> @realDonaldTrump Why have you hired undocumented immigrants! for years? through out your fraudulent empire? Now you want to crush immigration? To take away the attention! from your delusional treasonous pathological liar fucking moron conman rancid fishlips incompetent corrupt clueless behavior?  https://t.co/FSeeTF9GmY
1112504840775569408 2019-03-31 19:59:58 -0400 <Mar_cus74> @Chloesylvestre1 @G_WWG1WGA @realDonaldTrump @POTUS @GenFlynn Teeth make Michael nervous.
1112504839743909889 2019-03-31 19:59:57 -0400 <joanrobertsmn> @realDonaldTrump #LyingBastardTrump #FakeTrumpEmergency #FalsePromisesMadeTrump   https://t.co/QKo1uA0VqF
1112504839421026304 2019-03-31 19:59:57 -0400 <BrianBrijw33> @JudgeJeanine @CLewandowski_ @realDonaldTrump Please explain then????????
1112504837047021568 2019-03-31 19:59:57 -0400 <orvis2010> @realDonaldTrump You look and sound tired. Is your age catching up with you? Hillary wouldn’t have had this problem.
1112504833355993091 2019-03-31 19:59:56 -0400 <brenda_vasanski> @realDonaldTrump  https://t.co/PF053bglA5
1112504832991117312 2019-03-31 19:59:56 -0400 <tgregoryt> @realDonaldTrump So easy? So why haven't you done it? I've again you say you're incompetent, and I believe you. #nowall
1112504832001085440 2019-03-31 19:59:55 -0400 <BusdriverDG> @realDonaldTrump That last sentence sounds like you are getting ready to do something really stupid, like closing the border.
1112504829983801344 2019-03-31 19:59:55 -0400 <NITI10ST> @dabqueen2017_zx @JeffreyGuterman @realDonaldTrump @Ale_Mussolini_ That's wrong, i agree with you on that note...
1112504828209610753 2019-03-31 19:59:55 -0400 <MindyHouston_1> @EdKrassen @realDonaldTrump  https://t.co/m6IoWiTqa3
1112504827769208832 2019-03-31 19:59:54 -0400 <lizloganhere> @realDonaldTrump You sound completely insane. But please by all means make this stupid move, which will doom your re-election.
1112504826334580736 2019-03-31 19:59:54 -0400 <TNccole> @terri911065 @WayneC0RP @keithdawson01 @ChatByCC @realDonaldTrump @WSJ So you think Trump can be helped with Medication, do you?
1112504825005178881 2019-03-31 19:59:54 -0400 <DakotaPresley3> @realDonaldTrump  https://t.co/E9rf0TdVcR
1112504822706532353 2019-03-31 19:59:53 -0400 <USASMNR> @realDonaldTrump #Yes  https://t.co/2uYxOYMKTa
1112504821003763716 2019-03-31 19:59:53 -0400 <deanthadean> @realDonaldTrump #ReleaseTheFullMuellerReport
1112504819636424705 2019-03-31 19:59:52 -0400 <LeeGodf82662516> @realDonaldTrump for every family that makes under $100.00 give them a $100.000  spending would go way up.
1112504817929371648 2019-03-31 19:59:52 -0400 <LevalloisPerrot> @krassenstein @realDonaldTrump Que diriez-vous d'aller là-bas et de réparer toute la corruption qu'ils n'ont pas abordée, débile?
1112504815282806784 2019-03-31 19:59:51 -0400 <tacunningham55> @steph93065 @realDonaldTrump Wow, projection much?  Psychological projection is a defence mechanism in which the human ego defends itself against unconscious impulses or qualities (both positive and negative) by denying their existence in themselves while attributing them to others.
1112504813634420736 2019-03-31 19:59:51 -0400 <vickihorn5> @realDonaldTrump Mexico doesn’t HAVE to do anything. We have a responsibility to protect their immigration rights as HUMAN BEINGS! I know it’s a concept hard for you to understand. Stop creating the worst crisis in humanitarian history! Stop stealing their children!
1112504813546283009 2019-03-31 19:59:51 -0400 <Rasta1619> @realDonaldTrump You whine and complain but don't DO anything.  Deal-making at this level is beyond you because you don't KNOW anything.  So you don't even try.  History will document you as the failure you are.  #2020 is coming.
1112504806046875648 2019-03-31 19:59:49 -0400 <wabisabi8468> @realDonaldTrump Save it...Yam
1112504804314677248 2019-03-31 19:59:49 -0400 <DanFrommeltdan> Ah, yes, @ScottPelley colluding with crackpot Russians on climate! @60Minutes desperately trying to promote a hoax! @realDonaldTrump @ClintEastwoodLA @seanhannity
1112504804314632193 2019-03-31 19:59:49 -0400 <dc_ginny> @Cordicon @realDonaldTrump Did you hear about the sword wielding MAGA hat wearing assailant at a San Fran roller rink
1112504804100714496 2019-03-31 19:59:49 -0400 <Veganforlife111> @realDonaldTrump Shutting down the border will hurt the Americans just as much as it will hurt the Mexicans,there is just one Mexico not three!
1112504804037804035 2019-03-31 19:59:49 -0400 <papachepe5> @ChatByCC @realDonaldTrump And you are going to pick up the vegetables on the field when not Mexicans can cross to work. Love to see this happening.
1112504803479949318 2019-03-31 19:59:49 -0400 <wrongwatch> @TheDailyEdge @KellyannePolls @realDonaldTrump ........don't answer the question they asked, answer another question.....
1112504803052175361 2019-03-31 19:59:49 -0400 <wcooper7554> @realDonaldTrump @nytimes So sunddenly the New York Times is no longer a failing newspaper with bad “rating”?  Hmmmmm
1112504799696744449 2019-03-31 19:59:48 -0400 <KarinPeace55> @ALL3rd @krassenstein @realDonaldTrump And more Children die, because of the big Baby in WH 😐😓
1112504799633829888 2019-03-31 19:59:48 -0400 <someIsraeliGuy> @dabqueen2017_zx @NITI10ST @JeffreyGuterman @realDonaldTrump @Ale_Mussolini_ She wasn't defending Hillary Clinton.
1112504799604334592 2019-03-31 19:59:48 -0400 <MikeRobledo2> @realDonaldTrump  https://t.co/eQm37FhZr9
1112504798706700288 2019-03-31 19:59:48 -0400 <Cherry24742707> @ericaj58 @TheHalliCJShow @mmpadellan @realDonaldTrump Just goes to show the stupidity and ignorance of people on the left Yeah you got it Wilson - FDR - LBJ all committed the same crime is Obozo did But live in your closed minded and ignorant world and wallow in your mommy‘s safe space basement
1112504798492938241 2019-03-31 19:59:47 -0400 <mssexyred66> @KramerCharles @TalbertSwan @tweetsonamug @realDonaldTrump @WSJ You are joking right? You could not possibly be admonishing anyone with that abomination sitting in the White House. The Bishop knows what he's saying and does not need to repent from truth.
1112504797779894278 2019-03-31 19:59:47 -0400 <BrianBrijw33> @realDonaldTrump @WSJ @realDonaldTrump Please explain then????????  https://t.co/prdJwcESf0
1112504796056092674 2019-03-31 19:59:47 -0400 <KarliGilbertson> @realDonaldTrump The gop has baptized and blessed an asylum at 1600 Pennsylvania Ave. there’s our true national emergency. Resign
1112504793266819073 2019-03-31 19:59:46 -0400 <saucylewis25> @realDonaldTrump @PeterHi32200905 I definitely agree with you. But they love to make things hard for the people. So long as they can have their power over them.
