1188606300252323840 2019-10-27 19:59:59 -0400 <FLkVAVYrIdfqEAD> @StateDept @realDonaldTrump Good job
1188606300227276800 2019-10-27 19:59:59 -0400 <CommonSense013> @jamieleecurtis @realDonaldTrump That’s messed up. I see nothing in your tweet addressing the the people he killed in heinous ways. You may want to rethink your viewpoint and call a mulligan.
1188606298637656064 2019-10-27 19:59:59 -0400 <PatsLadi99> @realDonaldTrump Is this you being Presidential or is this a national emergency?? #UnfitForOffice
1188606296641155072 2019-10-27 19:59:59 -0400 <ShuttJo> @gtconway3d @TimOBrien @realDonaldTrump Fascist
1188606296146112512 2019-10-27 19:59:58 -0400 <Mayes3D> @realDonaldTrump Vomit 🤢
1188606296058187777 2019-10-27 19:59:58 -0400 <Fairway_aces> 52 west to 52 East to Arvada station 76 to 38 Ave 38 Ave to Kipling ... Come-on Mann I was tryna work out 🏊😇🇺🇸 unjust &amp; unamerican @realDonaldTrump @BarrackObamaFak
1188606295311470594 2019-10-27 19:59:58 -0400 <P4boxers> @QuareFellas @realDonaldTrump @KremlinRussia_E ??
1188606295265415168 2019-10-27 19:59:58 -0400 <deadacated1> @bone_jt @JohnFra33545146 @MarciaZwick @fortismind @realDonaldTrump @MarthaRaddatz @TerryMoran  https://t.co/tASCYHPSB9
1188606294896336896 2019-10-27 19:59:58 -0400 <Hugroms> #Les10actusdujour 4. @realDonaldTrump annonce que les forces américaines ont tué  Abou Bakr Al-Baghdad le chef de l'Etat Islamique
1188606292748845057 2019-10-27 19:59:58 -0400 <trump2trumpIRL> Ok ok ok, @realDonaldTrump, no need to rush
1188606291637198849 2019-10-27 19:59:57 -0400 <Mennonitemare> Wow, @realDonaldTrump found a way to make watching a baseball game more aggravating.
1188606291121446913 2019-10-27 19:59:57 -0400 <xxxRyD> @realDonaldTrump @azizansari @JoeNBC @OsamaBinDiesell @TheOnion @billmaher  https://t.co/xg4gvW9wrW
