1165413476715696129 2019-08-24 19:59:59 -0400 <KZjHS4KoWeRobP1> @karen25705 @realDonaldTrump Realy?
1165413476497408000 2019-08-24 19:59:59 -0400 <DakotaBiff> The world should NEVER be allowed to forget this  @realDonaldTrump @POTUS @KellyannePolls
1165413476027625472 2019-08-24 19:59:59 -0400 <Lady_Mirage15> @realDonaldTrump Fascist much?!
1165413474979254272 2019-08-24 19:59:59 -0400 <57student> @realDonaldTrump @ChuckGrassley @dbongino @LindseyGrahamSC @seanhannity  @IngrahamAngle @KimStrassel @ProfMJCleveland @Barnes_Law @chuckwoolery @AlexBHouston @mschlapp @TomFitton @bbusa617 @HeyTammyBruce @SaraCarterDC   https://t.co/oxqw3YabCb
1165413469769715712 2019-08-24 19:59:58 -0400 <mjnjallen> @GOP @realDonaldTrump She's a special sort of crazy.
1165413468847202304 2019-08-24 19:59:57 -0400 <keithamccluskey> @gamewolf67 @realDonaldTrump @EmmanuelMacron I don’t think that.  England and France are strong.  EU is the problem, so much corruption.  EU needs to fail.  Germany will need to pick up the pieces of their country, again.  So polarized.
1165413463696596993 2019-08-24 19:59:56 -0400 <sgtmawesley> @realDonaldTrump @POTUS @EmmanuelMacron Name one. I'll wait.
1165413463255998464 2019-08-24 19:59:56 -0400 <Mossimo77> @Scavino45 @realDonaldTrump @BorisJohnson American dumbass POTUS doppelgänger meet British PM doofus doppelgänger. That hair!! It’s so blonde, greasy and absurd!
1165413460232065024 2019-08-24 19:59:55 -0400 <johnnyelvis1112> @realDonaldTrump Go to bed...
1165413459925905408 2019-08-24 19:59:55 -0400 <PhinneyJan> @realDonaldTrump Yeah.....two bathrooms shit crazy women
1165413459795873795 2019-08-24 19:59:55 -0400 <MikeCignarella> @michael31821845 @realDonaldTrump Busch Regan. That’s my argument. Same as yours.
1165413458801844224 2019-08-24 19:59:55 -0400 <Niborobin55> @Scavino45 @realDonaldTrump @BorisJohnson The clones.
1165413457191038976 2019-08-24 19:59:55 -0400 <NYCwondergirl> @GaetaSusan @realDonaldTrump @POTUS Color me complicit. 🙄
1165413456083935232 2019-08-24 19:59:54 -0400 <jbibro> @StewardshipAmer @realDonaldTrump Jock riding at its finest.
1165413453835767810 2019-08-24 19:59:54 -0400 <im_nathan_green> @JazzyDog2 @GregShugar @realDonaldTrump 67 follower bot
1165413451545620480 2019-08-24 19:59:53 -0400 <ChrisRoy78> @realDonaldTrump  https://t.co/896uym4h10
1165413450018971650 2019-08-24 19:59:53 -0400 <Josephi19326608> @Scaramucci @realDonaldTrump 🙏🏻
1165413448324440070 2019-08-24 19:59:53 -0400 <seanmack1025> @realDonaldTrump The media is the free press. We have a dumb president his name his Trump.
