1015747287849623552 2018-07-07 19:59:59 -0400 <PLEEZD> @realDonaldTrump   https://t.co/2KmimmMUqx
1015747286838726658 2018-07-07 19:59:59 -0400 <EmbilJesus> @Papatim52Tim @DavidWohl @realDonaldTrump Who?
1015747286775631872 2018-07-07 19:59:59 -0400 <tlc1946> @realDonaldTrump Airlines track of our luggage better than this administration has kept track of innocent children taken from their parents at the border. 19 parents have been deported without their kids!  Is this what a true Christian (or any other person of faith) could abide?
1015747285806960641 2018-07-07 19:59:59 -0400 <alsosusieq2> @MarcusNeville2 @morten @NotOnMyWatch45 @realDonaldTrump It will.  Russia already has been tagged spreading disinformation again.  Many of his "followers" are fake.
1015747285223960577 2018-07-07 19:59:59 -0400 <LouAnnHresists> @rhondaprell @eljay63a @stopthenutjob @realDonaldTrump   https://t.co/e5pj9qWTaJ
1015747283399397377 2018-07-07 19:59:58 -0400 <Bmarybgood2> @realDonaldTrump What planet are you living on?   Nothing you say makes a bit of sense!
1015747283156193281 2018-07-07 19:59:58 -0400 <weasieg> @realDonaldTrump What the hell. He makes no sense!  Go to bed.
1015747279729414145 2018-07-07 19:59:57 -0400 <maxsolo_pi> @ForeverLogical @realDonaldTrump Criminal? Wow. Why aren’t they prosecuting that? Instead of beating the dead horse “Russia”?
1015747279641292801 2018-07-07 19:59:57 -0400 <NancyKl14165894> @MiltShook @MalcolmNance @realDonaldTrump The question is : Is he doing it on orders from his boss PUTIN ?  After all this tariffs on steel and alum greatly benefits Russia's economy making necessary other countries to buy from them  . Suspicious ? I'd say so .
1015747279427231745 2018-07-07 19:59:57 -0400 <soandsew4> @realDonaldTrump This AGAIN #DonTheCon?  DENY.....DISTRACT.....DEFLECT.  Hey #MAGA N. Korea is saying their meeting with Donnie Boo Boo is REGRETTABLE.  #TrumpCrimeFamily
1015747278148128768 2018-07-07 19:59:57 -0400 <Eddiehouston> @Maximus_4EVR @EddieREdgerton1 @POTUS @realDonaldTrump None of them.
1015747276793266177 2018-07-07 19:59:57 -0400 <WilseyJill> @VicenteFoxQue @realDonaldTrump I love you, this is hysterical😂😂😂😂❤️😘👍
1015747275883085825 2018-07-07 19:59:56 -0400 <TallulahStarr> @SmithsCoffeepot @LeonaTrumpster @CONNORFORTRUMP @hightide172 @bountytx @clayfeathers @MarcusBrutus_ @ToddBar10122549 @outintheboonie1 @fisherhaven92 @CarolMBoothe @debiegijoe @VHayek214 @RobHighfill82 @SassySculptor @cantgeterdone @realDonaldTrump Gosh, Baby Luke looks like his grandpa!
1015747275509895168 2018-07-07 19:59:56 -0400 <dray3907> @realDonaldTrump   https://t.co/KLUPNBFw0r
1015747274574581762 2018-07-07 19:59:56 -0400 <KurtMFriese> @The_Trump_Train @realDonaldTrump   https://t.co/s2fwr3OXqo
1015747273060421632 2018-07-07 19:59:56 -0400 <oldiewankenobe> @rob0349 @realDonaldTrump They either completely don't care to hide it anymore or think we are too stupid to see it for ourselves.
1015747272011845632 2018-07-07 19:59:55 -0400 <preferkindness> @realDonaldTrump Nope. Did the math. Your supporters are about 18% of the adult population
1015747271596466176 2018-07-07 19:59:55 -0400 <Mediawatcher36> @realDonaldTrump There have been numerous arrest of people that are on your team, many of them have been forced to resign and many of them were proven guilty, why do you keep calling it a witch hunt when it clearly isn’t?
1015747270816477184 2018-07-07 19:59:55 -0400 <rob11563> cc: @realDonaldTrump @FLOTUS #MAGA !!!  https://t.co/pmnk5FZ4ci
1015747269931487232 2018-07-07 19:59:55 -0400 <moroccandna> @bobsacard @dbongino @realDonaldTrump 2/ “...and failing to register as foreign agents for Ukraine as required by the Foreign Agents Registration Act. Manafort was charged with four counts of failing to file reports of foreign bank and financial accounts while Gates was charged with three.
1015747269595840512 2018-07-07 19:59:55 -0400 <ImLarryWhiteToo> @realDonaldTrump Hopefully you.
1015747268006371328 2018-07-07 19:59:55 -0400 <gracieandmike> @VickyForDJT @DavidWohl @realDonaldTrump Hire a deprogrammer, propagandized robot.
1015747267884716032 2018-07-07 19:59:54 -0400 <jamesHe23689806> @GayleBfromSoCal @IngrahamAngle @thehill @realDonaldTrump Vote
1015747266110423041 2018-07-07 19:59:54 -0400 <maggiecrowley_> @realDonaldTrump So presidential
