1142220651471757313 2019-06-21 19:59:59 -0400 <donafella> @realDonaldTrump  https://t.co/3N8S0d6IB7
1142220651060764677 2019-06-21 19:59:59 -0400 <leeolso15125526> @realDonaldTrump Why  didn’t you ask the question before you authorized the strike. Most people ask questions first but then again, you aren’t that bright!!
1142220649152299008 2019-06-21 19:59:58 -0400 <realHeinerFox> @LouDobbs @EdRollins @realDonaldTrump Watch my lips: I'm not Obama, or Bush. Behave, or get a world of hurt.
1142220648091148288 2019-06-21 19:59:58 -0400 <OhallenCB69> @tristanwillows @realDonaldTrump Delusional foolishness.
1142220644118978560 2019-06-21 19:59:57 -0400 <Damita911> @ddale8 CULT45 said: I don’t know David Duke, I never talk to Putin or Russia, I didn’t grope those women, I didn’t  fire Comey, yes I did,  it doesn’t matter , I could do it anyway. @realDonaldTrump
1142220644047867906 2019-06-21 19:59:57 -0400 <BruceNoble2> @realDonaldTrump Not a bad idea
1142220643276079104 2019-06-21 19:59:57 -0400 <AGrimsky> @DonaldJTrumpJr @realDonaldTrump He has a magic wand. Everything he touches turns to crap. Look in the mirror for proof #DouchebagDonJr
1142220642965688321 2019-06-21 19:59:57 -0400 <Petey_Stitz> @realDonaldTrump  https://t.co/h1XNDH3XuP
1142220642386874369 2019-06-21 19:59:57 -0400 <LatitudeofMind> @anotheresquire @realDonaldTrump @GOP I think Arman should cross the border into maybe China and demand free welfare checks and housing and if they dont give it to him then tell them there nazis and see what happens.
1142220641397039104 2019-06-21 19:59:56 -0400 <voicesavemark4> @tonyposnanski @PrincessBravato @realDonaldTrump yup big daddy putin!
1142220639597748235 2019-06-21 19:59:56 -0400 <iamjoseanaya> @realDonaldTrump guys he can count in increments of 4 very quick😳 @TheDemocrats what’s your strategy against this great feat??
1142220639245238272 2019-06-21 19:59:56 -0400 <ProfessorKitKat> @rreeves27 @Bernie2O2O @GrahamAllen_1 @AOC @realDonaldTrump Putin found the perfect Patsy.  Meet President Putz from the United States of Putin.  @realDonaldTrump thinks he'll still be in power. But Putin will throw him in jail, once he takes over, for being a traitor. Putin won't be able to trust him either.
1142220638968356864 2019-06-21 19:59:56 -0400 <SWeston19444568> @realDonaldTrump @TuckerCarlson @foxandfriends The facts from the Mueller Report about your Collusion and Obstruction are the facts that are pouring out.
1142220638347808768 2019-06-21 19:59:56 -0400 <isnelk> @Ji_Predicciones @realDonaldTrump Ya DonaldT como que lleva mucho diciendo eso :(
1142220637772996608 2019-06-21 19:59:56 -0400 <fireater02> @realDonaldTrump Haha you're aging pretty poorly there, my friend.
1142220635055243264 2019-06-21 19:59:55 -0400 <AndreaCiniero> @AprilDRyan @AURNOnline @PressSec Glad she's gone but I don't think it's going to help. All associated with @realDonaldTrump are slim balls.
1142220634778419200 2019-06-21 19:59:55 -0400 <JoeKaufmanUSA> @realDonaldTrump Mr. President, there is no #negotiation or #sanction that will end #Iran's massive support for #terrorist groups or Iran's firm commitment to creating #NuclearWeapons.  https://t.co/WATiqYvacn
1142220634132504576 2019-06-21 19:59:55 -0400 <AMonostra> @realDonaldTrump If it were allowed, I would vote for you the rest of my life!! Keep up the great work Mr. President!! ❤️🙏
1142220633050406912 2019-06-21 19:59:55 -0400 <ruby_dragonfly> @politico So, a logical look at these accusations:  1) a description of the assault that is similar in nature as the assaults as described by the other 15-16 (more?) victims of @realDonaldTrump  2) very similar in nature to how @realDonaldTrump himself described how he conducts sexual &gt;&gt;
1142220631372644352 2019-06-21 19:59:54 -0400 <fifthstmotors> @ForeverLogical @billmcgarry52 @realDonaldTrump It’s called negotiation dim bulb that which Obama was incapable of even contemplating. Then again it requires some effort. Hence Obama’s lack of negotiating. 😊🇺🇸
1142220631167123461 2019-06-21 19:59:54 -0400 <anheuserbrewing> @shansber17 @realDonaldTrump *Did  would make this statement sound more intelligent!  (Like a question)
1142220628600266753 2019-06-21 19:59:53 -0400 <Wethepe73030227> @mmpadellan @realDonaldTrump  https://t.co/yQkTld4yOp
1142220627572473858 2019-06-21 19:59:53 -0400 <aliasgah> @realDonaldTrump Fucking yikes.
1142220625056030720 2019-06-21 19:59:53 -0400 <iluvbkk> @SenWarren @realDonaldTrump @SenatorTomUdall That’s rich! Maybe John Kerry is provoking them to do something they will regret. Wouldn’t put it past that snake.
1142220621901791232 2019-06-21 19:59:52 -0400 <SundLayInc> @realDonaldTrump I'm going to be put in Twitter prison for this. You're too old and your syphillitic brain wont last that long. Thought and prayers for your early, sooner than later......(fill in the blank)
1142220616331931648 2019-06-21 19:59:51 -0400 <BlazeMcHerbs> @cenkuygur @realDonaldTrump Yeah, um, no
1142220615346114560 2019-06-21 19:59:50 -0400 <Mikakim69> @RDBN710 @RyanHillMI @realDonaldTrump Who's president right now? I can see why on a daily basis, because he brings it on himself!
1142220614289244161 2019-06-21 19:59:50 -0400 <wol22633117> @realDonaldTrump Long live president Trump
1142220611701415938 2019-06-21 19:59:49 -0400 <entropycat88> @DonaldJTrumpJr @realDonaldTrump You’re disgusting
1142220608274673664 2019-06-21 19:59:49 -0400 <ChucklLin> @realDonaldTrump @MSNBC Obama set this up for you. Trust me, Americans know who is responsible for our current economy!
1142220606835793920 2019-06-21 19:59:48 -0400 <heatherjj21> @RitaWil12946835 @DavidKyaloM @realDonaldTrump @TeamTrump @VP @The_Trump_Train  https://t.co/AFXRWEieuK
1142220605502021632 2019-06-21 19:59:48 -0400 <johniadarola> @marshmelocoyote @realDonaldTrump I considered that, but after this week I considered my response more fun.
1142220604793327617 2019-06-21 19:59:48 -0400 <jetsjets> @CharlieVTX @NYMag @JonLemire @realDonaldTrump Dumb luck.
1142220604751437824 2019-06-21 19:59:48 -0400 <the_joyful_poet> @StephenKing @realDonaldTrump @POTUS Bud, unh, wuddaboudah, the h&amp;q?!
1142220603576999936 2019-06-21 19:59:47 -0400 <marnd86> .@realDonaldTrump Better build a $50 billion dollar wall around Philadelphia before all these drugs pour into the United States  https://t.co/KFtqW4vu87
1142220603241295873 2019-06-21 19:59:47 -0400 <alonaProphet> @realDonaldTrump  https://t.co/ZTpz5qt7Q1   ....... 호의호식들을 하고 있으며 청와대의 대변인과 같은 자리는 아나운서나 앵커 그리고 기자 출신들이 거의 맡아서 하고 있는 상황이다. 이러고도 개혁을 한다고 하고 있느냐?! (증거 자료인 동영상들을 확인해 보기 바란다) by Prophet Yi Jung-Yon ( David of JESUS )
1142220602645856258 2019-06-21 19:59:47 -0400 <Podium_Hawk> @MCRO821 @GuyFor5 @itsJeffTiedrich @realDonaldTrump @TheBig_Easy I'm 1 of many bring to you - The CRIMES OUR Government   Guessing you want to keep paying taxes to the Crown, since 1606 The First Virginia Charter Look it up Not own the land where you live Or other ILLEGAL taxes  You ARE the delusional one in this conversation
1142220602272571392 2019-06-21 19:59:47 -0400 <Rjacks1024> @realDonaldTrump Get your facts straight
1142220601861562368 2019-06-21 19:59:47 -0400 <PamiPilbeam> @ExtremelyBlue12 @JessicaRepati @ComfortablySmug @realDonaldTrump  https://t.co/8quUU3H4py
1142220595918229504 2019-06-21 19:59:46 -0400 <CanadaLib> @DonaldJTrumpJr @realDonaldTrump Promises made, TEE TIMES KEPT.  THE ONLY TIMES HE EVER USED HIS MAGIC WAND WAS TO MAKE HIS BUSINESSES GO AWAY.  OR HIS $130.000 MAGIC WAND.  Donald Trump Jr.  Most stupid man in America as per Robert Mueller.  #Sad
1142220595557478400 2019-06-21 19:59:46 -0400 <robertr12014499> @jvv94066445 @AdrianaCohen16 @dbongino @realDonaldTrump @RepAOC @Ilhan That’s a lie. She is not democrats had 15 times to close the loop on immigration and booted it. Very sad. This woman is telling lies. She want attention to be the queen bee
1142220593422639110 2019-06-21 19:59:45 -0400 <mrsnay2015> @realDonaldTrump  https://t.co/4f8U0Sxs7W
1142220593074339840 2019-06-21 19:59:45 -0400 <dadz1949z> @SpringSteps @TheMarkPantano @realDonaldTrump Says volumes of those who recommended him appointed him and said he was conservative like Roberts   Ya right.
1142220591044284417 2019-06-21 19:59:44 -0400 <Bree000007> @NOW1SOLAR @realDonaldTrump 🤣🤣🤣🤣🤣 Actors going to lie. Shameful actually. They are betting on no one actually reading the report. 🤦‍♀️
1142220588259262465 2019-06-21 19:59:44 -0400 <tippex1> @USMCHueygunner @iTreySantana @KamVTV @realDonaldTrump You don't have to continue, no.  And based on your TL, I'll assume you are too (albeit ill-informed)
1142220588229906432 2019-06-21 19:59:44 -0400 <AwesomeJulie1> @faithangel2k @realDonaldTrump Be still and not reacting is the best thing you can do at the end you will be a winner.
1142220587437137920 2019-06-21 19:59:44 -0400 <grady1972> @realDonaldTrump Are you going to start at your hotel? Of course not you fucken monster!
1142220586711576577 2019-06-21 19:59:43 -0400 <bobbyoffshore> @realDonaldTrump @MSNBC  https://t.co/uguTeVNaQY
1142220585927397385 2019-06-21 19:59:43 -0400 <NancyNoCo24> @anishamidish @Fahrenthold @realDonaldTrump Trump Foundation is CLOSED. NO MEMBER OF HIS FAMILY IS ALLOWED TO RUN A CHARITABLE ORGANIZATION EVER AGAIN.
1142220581959376896 2019-06-21 19:59:42 -0400 <TommyStrongbo> @LouDobbs @TomFitton @POTUS @realDonaldTrump More of the same from Lou. All radical speculation without any factual information.  https://t.co/OyPf5aoMq8
1142220581166825472 2019-06-21 19:59:42 -0400 <HowellDori> @TheMarkPantano @realDonaldTrump I recall, prior to his nomination, you said he would not be a good choice.
1142220580663562241 2019-06-21 19:59:42 -0400 <BerylGonePink> @realDonaldTrump Rape is illegal. Just FYI.
1142220577001787392 2019-06-21 19:59:41 -0400 <says_mp> @DonaldJTrumpJr @realDonaldTrump #IMissObama 💔😢
1142220576892678145 2019-06-21 19:59:41 -0400 <patsdunc> @realDonaldTrump @POTUS Correct. Tell war mongers Bolton...and Pompeo
1142220575823269890 2019-06-21 19:59:41 -0400 <CopaRaya> @CarlosLoret @realDonaldTrump  https://t.co/OfCrtfsqIU
1142220575038935040 2019-06-21 19:59:41 -0400 <PamiPilbeam> @ExtremelyBlue12 @JessicaRepati @ComfortablySmug @realDonaldTrump  https://t.co/exUdsn90ws
1142220575030611968 2019-06-21 19:59:41 -0400 <lemuelsoto5> @realDonaldTrump WHAT EGO DO YOU HAVE.
1142220574946541568 2019-06-21 19:59:41 -0400 <SarkisyanArmand> @webhaxan @roohbakhsh_ali @MaxGon_5 @realDonaldTrump Because without oil, 99.999999999% of people will not be able to go to work to put food on the table tf you mean
1142220571348021249 2019-06-21 19:59:40 -0400 <BioProf> And this is so true.  I used to be an evangelical "Christian", and now I realize this may truly be the prophecy...@realDonaldTrump @Franklin_Graham  https://t.co/UsTB4kriK4
1142220564528082945 2019-06-21 19:59:38 -0400 <Thomas_F_McHugh> @realDonaldTrump You forgot 2020.
1142220564053934080 2019-06-21 19:59:38 -0400 <LouisCy93586254> @RandPaul @realDonaldTrump Rand! Trust his instincts? What's wrong with you? His instincts have driven his companies to multiple bankruptcies! Shame on you. tRump is incapable of running a bowel movement.
1142220563685027844 2019-06-21 19:59:38 -0400 <realPrezSnow> @realDonaldTrump #PanemForever
1142220563588382720 2019-06-21 19:59:38 -0400 <ProfessorKitKat> @rreeves27 @Bernie2O2O @GrahamAllen_1 @AOC @realDonaldTrump You meant "whining", correct?  Also, A little history for you:  https://t.co/mazuLZOQLk  And Trump IS Putin's perfect patsy.
1142220562913275904 2019-06-21 19:59:38 -0400 <_DOSBROSVIDEOS_> @realDonaldTrump  https://t.co/WTiFgNUdYj
1142220561730420736 2019-06-21 19:59:38 -0400 <maddezmom> @thedoggeneral1 @personalitty @realDonaldTrump Dude that is Marla Maples. 🤷‍♀️ here is the picture.  https://t.co/jRhK6xaedf
1142220557108334592 2019-06-21 19:59:36 -0400 <PopeEanred> @ChanSanBBYs @SubParTweetz @LWalshNHL @realDonaldTrump no your referring to the video in which he made a joke
1142220555904569344 2019-06-21 19:59:36 -0400 <altheebqatar001> @Abdulkhaleq_UAE @realDonaldTrump قولنا لكم، بيحلبكم يابقر😂😂😂😂😂
1142220554981773313 2019-06-21 19:59:36 -0400 <OnstottRachel> @decolover61 @thedoggeneral1 @PamelaPatriot @realDonaldTrump I thought she looked very familiar...
1142220554079854592 2019-06-21 19:59:36 -0400 <benitog> @Luana72481043 @TIME @realDonaldTrump I'm crying of laughter.
1142220553304064000 2019-06-21 19:59:35 -0400 <The_Moccasin_> @BriteEyes8 @AmericanRising @MissyJo79 @BluehandArea @AmericanJane2 @mwam1993 @marylene58 @MsSpy007 @Pcnw45Mike @walkawayAUS @slocke375 @jujube23 @martuk56 @barefootinAk @RealBluehand @FoundinNV @49FisHLiveS @GOP @RealJamesWoods @realDonaldTrump @TheDemocrats @nfulmer0827 @VP @anthonymentill4 @BanchaSomchai @ShrimpyViews @RynoOnAir This is why no religion should be in public school, in the end no group can have a lock on a Constitutional right. Do I like it? NO! "Freedom of religion" does not apply to a political ideology though.  Of course I wonder why Atheist aren't crowing.   https://t.co/Oqds3nnhoJ
1142220549814460416 2019-06-21 19:59:35 -0400 <jmack0813> @nwgoboating @SenSchumer @chollycreosote @realDonaldTrump Of course he does, the truth hurts!!!
1142220548749111296 2019-06-21 19:59:34 -0400 <shawnalaree> Right on @NewYorkStateAG! Read her thread if you or someone you know needs information. @realDonaldTrump is instigating a fight with his CRUEL policies.  #ImpeachTrump then #LockHimUp  @TheDemocrats  @SpeakerPelosi
1142220548661026817 2019-06-21 19:59:34 -0400 <soulgirl65> @realDonaldTrump  https://t.co/ygsChKMHsS
1142220548212215808 2019-06-21 19:59:34 -0400 <votedonkey2024> @realDonaldTrump No words needed...except, the nightmare will end with his power.  https://t.co/TOyXKuOHuz
