1022995045694287872 2018-07-27 19:59:59 -0400 <RSchultEdit1995> @rngrjoe_94 @ChrisJZullo @realDonaldTrump Hello Bot McBot Face.
1022995045136453633 2018-07-27 19:59:59 -0400 <FaranoLinda> @realdonaldtrump.....chicken shit...a coward of a person (not a man) like I said before APPRENTICE CAN'T HANDLE THE TRUTH!!!
1022995044960272384 2018-07-27 19:59:59 -0400 <LBJ87486443> Do not let it go unnoticed what kind of people are constantly attacking @realDonaldTrump  @AlanGrayson then allegedly struck her on the back of the head and told her, "I'm gonna kill you bitch."  https://t.co/w10GNEqUf7
1022995044368699392 2018-07-27 19:59:59 -0400 <MidModPicks> @realDonaldTrump ...how ‘bout them poison apples?!
1022995044016504832 2018-07-27 19:59:59 -0400 <mpd4256> @aindrelid @LuiezPrez @realDonaldTrump All I know the GDP is 4.1 for the second quarter...but thanks for noting your point from Oslo.
1022995043693613058 2018-07-27 19:59:59 -0400 <Bentomabegeorg1> @Direforce @rocaramirez @realDonaldTrump @RonDeSantisFL @BrianKempGA Well Donald Trump this is the founding fathers again, hanging out in South Park Colorado with mr. Marsh. I would rather have fake news on my side than the Russians like you. If you lied about knowing the meetings with Russia, that's treason and you should hang.
1022995043060043776 2018-07-27 19:59:59 -0400 <Lcgfrancis55Lea> @realDonaldTrump  Made in China, his own crap is made in China.
1022995042233925632 2018-07-27 19:59:59 -0400 <dmjut1945> @BuddyWayne4 @centola48 @realDonaldTrump @POTUS @NancyPelosi @HouseDemocrats Get help Buddy.
1022995040761720833 2018-07-27 19:59:58 -0400 <h_w_c> .@SenateGOP .@HouseGOP .@SpeakerRyan .@GOP .@SenateMajLdr .@realDonaldTrump  Truth:  .@HouseDemocrats .@SenateDems .@NancyPelosi .@SenSchumer .@DNC #MAGA #tax #Job #sex
1022995040182960133 2018-07-27 19:59:58 -0400 <tomjake125> @realDonaldTrump  https://t.co/Wb20whS5rZ
1022995039612485634 2018-07-27 19:59:58 -0400 <iamofdaniel> @emwstig @realDonaldTrump I feel like there’s an interesting message here, but I’m missing it.
1022995039549644800 2018-07-27 19:59:58 -0400 <peteach65> @realDonaldTrump Not true! At least we love our FBI, NSA and CIA more than you do!!!!
1022995039331409920 2018-07-27 19:59:58 -0400 <PaulGizzmow1> @realDonaldTrump @GJTIII None of us care that the deck is stacked against you sir.  We can see the forest thru the trees.
1022995038513577984 2018-07-27 19:59:58 -0400 <MiekeTweeting> @StopTrump2020 @realDonaldTrump He is running the country like his many failed businesses.  The  only difference is unlimited money and advisers to bail him out.  Eventually if he keeps going he is going to bankrupt this country too.
