913553910731726848 2017-09-28 19:59:59 -0400 <666k9s> @realDonaldTrump "...really hard to help"? What does this mean? You disgust me
913553910144602113 2017-09-28 19:59:59 -0400 <Brandy89160099> @PSYCH_HYPE @IvankaTrump You're Showing Typical #LiberalHatred. Time to #Unite. President @realDonaldTrump is doing Awesome job! 3Major Hurricanes Back to Back.
913553910002053120 2017-09-28 19:59:59 -0400 <JohnDRobinson> @realDonaldTrump Treat who fairly?
913553909339344896 2017-09-28 19:59:59 -0400 <KCCombest> @realDonaldTrump There is no fair with press. Time out the haters @POTUS @realDonaldTrump   Just keep plowing ahead!!
913553908764614657 2017-09-28 19:59:59 -0400 <tweety_trump> @realDonaldTrump Pit Bull and Royal Caribbean have already shown more initiative and   compassion than you have. We all know you care more about the NFL.
913553908274012160 2017-09-28 19:59:59 -0400 <vandevil555> @billoreilly @realDonaldTrump   https://t.co/Jclv3X4OcS
913553904125825024 2017-09-28 19:59:58 -0400 <karensanders7> @lorijmadsen @billoreilly @realDonaldTrump So Do I!! What a Loss!!
913553903739908101 2017-09-28 19:59:58 -0400 <rob11563> @BenSasse Excellent Ben. It's a shame though that you're still supporting @realDonaldTrump (by doing nothing) who is enabling this type of hatred.  https://t.co/5feAghDf5m
913553903429541889 2017-09-28 19:59:58 -0400 <Trav1sJ0nes> @realDonaldTrump Should have acted quicker!
913553901928042496 2017-09-28 19:59:57 -0400 <KellieADennis74> @billoreilly @realDonaldTrump Ugh
913553901349101568 2017-09-28 19:59:57 -0400 <withersteen> @realDonaldTrump @trumps_feed   https://t.co/EXA6pZ1MpU
913553901206376448 2017-09-28 19:59:57 -0400 <AndyDuf92461354> @Team_Trump45 @realDonaldTrump Love it... Absolutely love it hahaha
913553901185413120 2017-09-28 19:59:57 -0400 <scott_vfr> @Richardfreeusa @realDonaldTrump Golfing?
913553901118509056 2017-09-28 19:59:57 -0400 <Kasmik> @realDonaldTrump You should have sent help sooner
913553898773684225 2017-09-28 19:59:57 -0400 <Dcary31> @realDonaldTrump Nothing do with the press. Everything to do with your lack of action
913553898627051520 2017-09-28 19:59:57 -0400 <ronwright11> @billoreilly @realDonaldTrump   https://t.co/Lm37Q29LB3
913553896374624258 2017-09-28 19:59:56 -0400 <BeckyLemay> @realDonaldTrump Dude, worry about PR, not the press.  https://t.co/aR0ZC2QGgB
913553895770660864 2017-09-28 19:59:56 -0400 <Weedneedpeace> @realDonaldTrump Find me here
913553895439319040 2017-09-28 19:59:56 -0400 <MCohorst77> @avanconia @realDonaldTrump Where's the Red Cross 👀 are they not running down there pandering for donations and stealing from churches?Guess there's not enough $$ in PR
913553894147575808 2017-09-28 19:59:56 -0400 <tbakerz2> @FoxNews @SecPriceMD @realDonaldTrump Is this Way HardWorking MiddleClass Americ Money should BSpent?Reported Now Over 1Million$  The Swamp has become Cesspool🇺🇸
913553893258354690 2017-09-28 19:59:55 -0400 <TonyRandazzo8> @realDonaldTrump MR PRES.THE CHURCH HAS MANY POWERS TO CAST OUT DEMONS !THEY ONLY COLLECT MONEY ;TO START WARS! POPE PAIS THE12 GAVE HITLER GOLD TO START WAR
913553892222361600 2017-09-28 19:59:55 -0400 <BillWhelam> @thehowie @realDonaldTrump Explode the deficit!!! Your joking! After eight years of Obama's gross negligence and willful misconduct concerning the debt? So sad
913553892130013184 2017-09-28 19:59:55 -0400 <no2narcissists> @realDonaldTrump As usual, you think the problem is that the press is treating you unfairly, not that CHILDREN ARE DYING IN HOSPITALS FOR LACK OF POWER! /1
913553891689680896 2017-09-28 19:59:55 -0400 <sefref32> @IvankaTrump @realDonaldTrump Shut up &amp; go away too. Phony
913553889366069248 2017-09-28 19:59:54 -0400 <ARSKYLOVER> @billoreilly @realDonaldTrump NICE job draining the SWAMP you #DotardTrump  ! 😳😡😖👎🏻  https://t.co/fcD1n3LSEa
913553888468385792 2017-09-28 19:59:54 -0400 <iwillv0te> @realDonaldTrump take ownership of your immediate staff's (Price) mistakes. He's your direct subordinate, and you should also be accountable
913553885578399745 2017-09-28 19:59:53 -0400 <InjectedmyLungs> @billoreilly @realDonaldTrump   https://t.co/31SSgVg5A6
913553885457010689 2017-09-28 19:59:53 -0400 <Lovely_xRose> @blaustein @realDonaldTrump Of course he still has food but that food will eventually ran out and I won't let it reach that point.
913553884857151488 2017-09-28 19:59:53 -0400 <Not_A_god4> @realDonaldTrump @trumps_feed This isn't about you.
913553882353225728 2017-09-28 19:59:53 -0400 <sixtiesforever> @realDonaldTrump Send the NFL and NBA down there to a real job
913553882231455744 2017-09-28 19:59:53 -0400 <ISeeYouMotel6> @xZirxy @Zephyrosomega @FiIibuster @realDonaldTrump He shit Sherlock. He had to be led each time.
913553882130862080 2017-09-28 19:59:53 -0400 <TheOnlyMike_E> @realDonaldTrump If only they were white. You'd try harder
913553882067886080 2017-09-28 19:59:53 -0400 <steffaniem> @realDonaldTumpr @billoreilly @realDonaldTrump @FoxNews No
913553881778593793 2017-09-28 19:59:53 -0400 <GrantDotDotDot> @realDonaldTrump Here's something for those of you who - unlike me - are not already an armchair Trump psychiatrist.  https://t.co/UXtg5tKlPJ
913553881627373568 2017-09-28 19:59:53 -0400 <ChurtHurt> @realDonaldTrump The press is there. They are reporting what is happening in Puerto Rico. Hope you are listening.
913553880172154880 2017-09-28 19:59:52 -0400 <TheRealRobCox> @realDonaldTrump It's been over two weeks and people still can't reach the love ones in Puerto Rico
913553879920345088 2017-09-28 19:59:52 -0400 <haiku_troll> @thebradfordfile @realDonaldTrump @NFL Like the gold star family The draft dodging TV show host in chief abused on the campaign trail?
913553878364409856 2017-09-28 19:59:52 -0400 <BNAmusic88> @mrntweet2 @realDonaldTrump @NFL @nflcommish @steelers @USArmy @Kaepernick7 😂😂😂
913553877558992896 2017-09-28 19:59:52 -0400 <lisanne10n> @realDonaldTrump Have to agree with Trump on this. We can't possibly know what's happening from our comforts on the US mainland
913553876879577093 2017-09-28 19:59:51 -0400 <Debbiesue65> @onebostonboy @EvieMarlin @BeauWillimon @realDonaldTrump If he did nothing, it sure is taking tRump along time to dismantle all that was done. #RacistBigotPresident #Russia #LockHimUp
913553875805773824 2017-09-28 19:59:51 -0400 <XiWins_WeLost_> @danibostick @eugenegu @iCrazyJa @realDonaldTrump He did put America first. Houston &amp; Florida were pounded &amp; are doing better than expected.  Puerto Rico is not in the USA. It's a territory
913553874887340038 2017-09-28 19:59:51 -0400 <Sue23542143> @realDonaldTrump Instead of BS, let's focus on your staff &amp; collusion with Russia, use of gov't planes &amp; other perks, your incompetence, etc
913553874656440320 2017-09-28 19:59:51 -0400 <angelbabesgrany> @realDonaldTrump Thats sht @realDonaldTrump gets bad press. He is a despucable human being. Only going to PR now for a feel good photo op.
913553874501361664 2017-09-28 19:59:51 -0400 <feelinFelipe> @realDonaldTrump You cannot hide Katrininski with "fake news". It's real.  1 storm too many?  Or 1 storm too brown?
913553874132365313 2017-09-28 19:59:51 -0400 <RobStLaurent3> @realDonaldTrump If it was Obama the Press would be saying... Obama walks on water to deliver supplies 🤣🤣🤣🤣🤣🤣
