992192069337837568 2018-05-03 19:59:58 -0400 <ne1elsehangry> @realDonaldTrump This👏🏻is👏🏻not👏🏻TELEVISION. 🖕🏻
992192067597107201 2018-05-03 19:59:57 -0400 <LeftistRight> @TexasGrognard @davidhogg111 @realDonaldTrump @tedlieu You know what would be even better than that?  Law abiding citizens supporting sensible gun reform to protect lives.
992192067253293056 2018-05-03 19:59:57 -0400 <therbert03> @davis23scott @realDonaldTrump   https://t.co/HipXBHRqb4
992192060559183872 2018-05-03 19:59:55 -0400 <Easterbaby85> @realDonaldTrump So is your pal Putin going to arrange that for you?  You must have a gigantic inferiority complex that you feel the need to constantly compare yourself to other Administations. Time to grow up, Donnie.
992192058440941568 2018-05-03 19:59:55 -0400 <MAExitResist> @Phillylawyer18 @EvaChanda @CoffeyjJustin @PreetBharara @KianpourWorld @NBCNews @realDonaldTrump Watch last Saturday's show and get back to us.
992192057220485120 2018-05-03 19:59:55 -0400 <tonebendermk2> Wrong. @realDonaldTrump is illiterate.  https://t.co/FVaITZTHtl
992192052157976578 2018-05-03 19:59:53 -0400 <georgehicksNY> @realDonaldTrump Dear Mr. President, I'm a Vietnam veteran and work for the US Postal service, I noticed today that the postal service is purchasing supplies from Vietnam where over 55,000 American soldiers perished, shouldn't the US Govt purchase items manufactured in the USA?
992192049985327104 2018-05-03 19:59:53 -0400 <SpeedingCow8947> @Whitebirdflight @realDonaldTrump @Godsgirl158 You MAGA/Q anon idiots are some of the dumbest people on this planet... It's obvious that Trump wrote that.
992192047808315392 2018-05-03 19:59:52 -0400 <HaidaPrincess> 🤥#Lyin OLD🧓@realDonaldTrump @POTUS👵@PressSec👈They're Liars NOT News @WeAreSinclair @seanhannity @FoxNews @washingtonpost @nypost @MSNBC @CNN @ABC @CBS "@thehill: @WhiteHouse defends frequent false statements: "We give the best info we hv at the time"  https://t.co/rg8a3OrWO0  https://t.co/LcN6R8guS9
992192047552573441 2018-05-03 19:59:52 -0400 <bill_osburg> @realDonaldTrump Focus, Spanky! The goal is to get North Korea to give up all their nuclear weapons so that we denuclearize the peninsula. Is this tweet laying the groundwork for claiming victory when all you achieve is the release of 3 prisoners? What a con!
992192047015759872 2018-05-03 19:59:52 -0400 <shawnzo> @realDonaldTrump I see you’re using tour fourth grade literacy skillz again. 🙄 #liarinchief #racist #NRAwhore #rapist #complicit
992192045556092929 2018-05-03 19:59:52 -0400 <gierkeshelly1> @realDonaldTrump Why wait, they’ve had enough time.
992192042834030592 2018-05-03 19:59:51 -0400 <LAA3710> @real_farmacist @PigeonPenny @realDonaldTrump You're responding to someone who has 2 followers and only 4 tweets...  https://t.co/IjWj6jaOVy
992192039688265728 2018-05-03 19:59:50 -0400 <beejaydub> @realDonaldTrump @POTUS You're going to need all the prayer you can muster to get through this term without being impeached.
992192037041721345 2018-05-03 19:59:50 -0400 <BarbaraGallien6> Congress can NEVER trust Corrupt @realDonaldTrump and his Crony administration with REAL diplomacy. There should be clear oversight whether there is Bribery, Lies, Blackmail etc involved in NK negotiation. This Corrupt administration cannot be trusted with "secret foreign policy"  https://t.co/y50xBtGR6X
992192034609029120 2018-05-03 19:59:49 -0400 <BattagliaPat> @FoxNews @TheJuanWilliams @BernieSanders @realDonaldTrump Wait... WHAT!!!??? Which #UsefulIdiot put out this #BS???
992192033925226496 2018-05-03 19:59:49 -0400 <dbux1275> @thepatriotbelle @KruseKimberly @realDonaldTrump He lied about it, do you not comprehend? You can remove the subject matter but the one constant is his lying! Pull your head out!
992192031719088128 2018-05-03 19:59:49 -0400 <Mr_Zues_1> @realDonaldTrump Two of the hostages were taken with you in the WH!!! #trumpsAMoron
992192030431330304 2018-05-03 19:59:48 -0400 <rapture_coming> Loving it!! Goooo @realDonaldTrump !!  https://t.co/4BcDCRbFzf
992192029097627648 2018-05-03 19:59:48 -0400 <SteveEAdams> @SouthernSnow21 @CNN @realDonaldTrump Walls don’t work when you only cover a small percentage of the countries border and coastline. Walls also don’t work with no one watching them. As long as you can take a $500 boat and get to wallless Miami in a day from Cancun it’s worthless.
992192020826546176 2018-05-03 19:59:46 -0400 <spinone_kimber> @realDonaldTrump She is great
