855209462319239169 2017-04-20 19:59:59 -0400 <karen58Romans> 2/2 @realDonaldTrump  https://t.co/qb5RQ5cfQv
855209459735515140 2017-04-20 19:59:58 -0400 <bluegiraffeguy> @realDonaldTrump @nytimes Nope it was not Danny it was a great friend of mine.  https://t.co/sCpYfee9y7
855209454882574338 2017-04-20 19:59:57 -0400 <eyerighton18> @SenWarren-get your facts-It was #Obama who caused the hate &amp; division &amp; it was #WeThePeople who voted 4 @RealDonaldTrump-U R a fraud #MAGA
855209453263695873 2017-04-20 19:59:57 -0400 <ta_mmee> @realDonaldTrump @POTUS @PressSec @CNN @MSNBC  https://t.co/YBk1ENCymz
855209445277794306 2017-04-20 19:59:55 -0400 <drmiguelelias> @tlhpro @MaxineWaters @realDonaldTrump Really, she's delusional and ignorant.
855209440672350209 2017-04-20 19:59:54 -0400 <suziferg0806> @realDonaldTrump @POTUS is the dumbest man to ever darken the door of our White House. My 9 yr old grandson is smarter.  https://t.co/cz30WiYCSz
855209436033503232 2017-04-20 19:59:53 -0400 <pickmand07> @Alyssa_Milano @wikileaks If the US issues a warrant for Assange and do detain him He will sing like a canary in a coal mine. @realDonaldTrump &amp; cronies will fall  https://t.co/EbfF9vZJi2
855209431813980162 2017-04-20 19:59:52 -0400 <TonyBlonie> @smokeynation @josephamodeo @john_tomczak @realDonaldTrump @nytimes @WhiteHouse Because @realDonaldTrump tweeted a lie when he said the Times lied. If you don't call him on the little lies he will tell bigger ones.
855209430513848321 2017-04-20 19:59:51 -0400 <Kevin_Garnett58> @TechnocratKev @AdVictoriam111 @RogueCPI @J0ann3 @realDonaldTrump But living in the Ecuadoran embassy in the U.K. will eventually run out. He'll be forced to choose.
855209428538187776 2017-04-20 19:59:51 -0400 <natashalarebel> @realDonaldTrump @JackPosobiec No.
855209424708812801 2017-04-20 19:59:50 -0400 <GetoffMytits1>  https://t.co/3AgjGk0Eis @CNN @nytimes @realDonaldTrump
855209420686589952 2017-04-20 19:59:49 -0400 <truthcounts4> @Don_Vito_08 @SenSchumer @realDonaldTrump Let's get him and Maxine out of the people's house and gov! They r NOT WORKING TO help us
855209416643170304 2017-04-20 19:59:48 -0400 <TCIMAGE_Marta> This bears repeating @realdonaldtrump has the lowest approval rating of any president ever. He needs to go. #ImpeachTrump  https://t.co/QsOeE2UkZ7
855209415317868546 2017-04-20 19:59:48 -0400 <Quarantamy> @realDonaldTrump That's what she said.
855209400578957312 2017-04-20 19:59:44 -0400 <Habitablaba> I wonder if tweeting mean things at @realDonaldTrump works better or worse for promoting my game than nice things at @colbertlateshow
855209399606018049 2017-04-20 19:59:44 -0400 <A_Baca55> @williamlegate @realDonaldTrump You sure have a lot of time on your hands to constantly bitch like a toddler on twitter every day
