825493659445387264 2017-01-28 18:59:59 -0400 <decadofdominanc> @MurphysLaw74 @realDonaldTrump He's a draft dodger , he don't care.
825493657348358145 2017-01-28 18:59:59 -0400 <LadySif_DemCast> @realDonaldTrump @SenateGOP @SenateMajLdr @SenateGOP @HouseGOP #vote2018 #TheResistance  https://t.co/2iwIaV4SgX
825493657054769152 2017-01-28 18:59:59 -0400 <AndiJohnson1> @realDonaldTrump I really hate what you are doing. Please quit. You look miserable.
825493655469301761 2017-01-28 18:59:59 -0400 <De4Hu> @USABikerLeather @FranShockleyRN @shawgerald4 @POTUS @WhiteHouse @realDonaldTrump Wish he'd give up tweeting
825493654831632384 2017-01-28 18:59:58 -0400 <sunriseshell> @realDonaldTrump Please ban those from predominantly Christian countries. Some of them want to hurt us. And Hindu, Buddhist.. BAN THEM ALL!!
825493653795831808 2017-01-28 18:59:58 -0400 <SophiaMcNab> Humanity strikes back at @realDonaldTrump. Join the #WorldToTrump open letter:  https://t.co/Uocms4pgpJ #Resistance
825493653418283009 2017-01-28 18:59:58 -0400 <bonnieblue719> @SpecialKMB1969 @realDonaldTrump @bfraser747 @ConstanceQueen8 @2ALAW Absolutely!
825493652231303168 2017-01-28 18:59:58 -0400 <Davidross47Ross> @realDonaldTrump @nytimes No, not fake news, just an erroneous prediction.
825493648951291904 2017-01-28 18:59:57 -0400 <otepofficial> You asked this in 2014, bozo. But I think you're about to find out @realDonaldTrump  #MuslimBan #ImpeachTrump  #TheResistance  https://t.co/aO9TYsSdJz
825493648523612161 2017-01-28 18:59:57 -0400 <Smithwhites> @realDonaldTrump Southern Cameroonians are in pain your Excellency. #freesoutherncameroon
825493646573240321 2017-01-28 18:59:56 -0400 <GilbertLomeli> @realDonaldTrump Definitely the year of the cock!  https://t.co/cmUlZ8ydLY
825493646300557312 2017-01-28 18:59:56 -0400 <PennaJones> #alternativefact @realDonaldTrump regularly spends hours trying to determine which sock goes on his right foot, and which goes on his left.
825493645105184770 2017-01-28 18:59:56 -0400 <TrueThat5115> @realDonaldTrump Love and support to all at JFK protesting the immigration ban. No hate! No fear! #hatemongertrump
825493644744523776 2017-01-28 18:59:56 -0400 <pete_brien> @realDonaldTrump @nytimes stop trying to censor the press, you're the biggest peddler of fake news.
825493638612344833 2017-01-28 18:59:55 -0400 <GeorjaSewell> @realDonaldTrump why you couldn't go around giving rights to POC no! That would be controversial #MuslimBan
825493638234898432 2017-01-28 18:59:54 -0400 <raysr19> @alaskantexanQCT @realDonaldTrump one of the better posts that puts his into perspective, media needs to stop lying, not all Muslims banned
825493637291266052 2017-01-28 18:59:54 -0400 <rog_la> A cartoon character has taken power in the USA. So ludicrous it is terrifying. How did such an absurd person get in? @realDonaldTrump
825493636435542016 2017-01-28 18:59:54 -0400 <jonahsend> @jeremycorbyn @theresa_may @realDonaldTrump spot on
825493630710333440 2017-01-28 18:59:53 -0400 <TheCrossXXX> Since @realdonaldtrump is president now, does that mean he can't hire hookers for the next four years?
825493629552582656 2017-01-28 18:59:52 -0400 <LeaHarth> @King_Karma2012 @POTUS @realDonaldTrump @NRA Foreign Canadian Trolls? Just shows your level of ignorance is on par with #45. I'm dual US/Can
825493629107990528 2017-01-28 18:59:52 -0400 <MannyMcbuckets> @realDonaldTrump y'all niggas hiring?
825493628906770433 2017-01-28 18:59:52 -0400 <ItAintEZbeinJB> @realDonaldTrump you can still release your taxes
825493626084028417 2017-01-28 18:59:52 -0400 <RealDHandelman> @smerconish @CNN @DMiliband @realDonaldTrump  https://t.co/KdARNWudSO
825493624511164418 2017-01-28 18:59:51 -0400 <wallylayman> @wallylayman @tara_bradbury @realDonaldTrump enter the US but to get out those illegally trying to enter and also perhaps cut down on drug
825493618492334080 2017-01-28 18:59:50 -0400 <SarcasmusVox> Wonder when @realDonaldTrump will be announcing the construction of the wall between Canada &amp; US and guess who is paying? You Canadians!!!
825493616609075200 2017-01-28 18:59:49 -0400 <k_8> @JustinTrudeau is a better man than @realDonaldTrump could ever hope to be.
825493616214695936 2017-01-28 18:59:49 -0400 <mmii_a> @WhiteHouse @POTUS @realDonaldTrump "They are places he does not appear to have any business interests"- your greed drives your policy!
825493614646218754 2017-01-28 18:59:49 -0400 <1stgen_American> @realDonaldTrump Im with the President but i want to stop feds from Printing money. Can we give the dollar back to the people? #silvercert.
825493614436421633 2017-01-28 18:59:49 -0400 <saraleep> @realDonaldTrump @nytimes what's worse? #FAKENEWS or #FAKETAN? Get a grip Mr. President!!!
825493613534703616 2017-01-28 18:59:49 -0400 <Six6cel> Corona le responde a Trump @realDonaldTrump   https://t.co/MUOmVouf60
825493613324808192 2017-01-28 18:59:49 -0400 <MelvinLJennings> @realDonaldTrump Where would he be able to get the names of the people? The information is above his pay grade
825493612993576960 2017-01-28 18:59:48 -0400 <frankapizzi> @realDonaldTrump hey man you have the guts
825493612846735360 2017-01-28 18:59:48 -0400 <JL_Whitaker> @rabiasquared @realDonaldTrump I just tweeted that sentiment myself this morning. #trump=Devil tempting the Repubs on the Hill. Yes master
825493610783203328 2017-01-28 18:59:48 -0400 <roospooscreate> I really don't like @realdonaldTrump #refugeeswelcome #fuckingwall #muslimban #fuckyoutrump
825493610292531200 2017-01-28 18:59:48 -0400 <meloniemclaurin> @ItsLucyFurr @realDonaldTrump this is a shame upon our Lady of Freedom. But so are the actions of the few who come to destroy.#hardchoices
825493609663172608 2017-01-28 18:59:48 -0400 <zooblime> Si se dice @realDonaldTrump cristiano, pues es muy a su conveniencia.  https://t.co/aOQI0JQIzV
825493609180901376 2017-01-28 18:59:48 -0400 <tom_fullum> Arizona congressman says President Donald Trump is ‘mentally unstable’  https://t.co/bCbICZpo8Z @POTUS @realdonaldtrump
825493608790970368 2017-01-28 18:59:47 -0400 <christinebeirne> @realDonaldTrump @nytimes  get off twitter and govern! The FAKE NEWS is anything you try and tell us. FAKE PRESIDENT.
825493601580892160 2017-01-28 18:59:46 -0400 <raoc_guy> @realDonaldTrump I challenge you to a fist fight in the car park. Winner takes all.
825493598682492929 2017-01-28 18:59:45 -0400 <LovingCapeCod> @realDonaldTrump @TheBrodyFile @CBNNews On Putin’s desk: A deal signed by Rex Tillerson that will give Russia $500B if sanctions are lifted?
825493598636539905 2017-01-28 18:59:45 -0400 <hawkcircus> This is what a real body politic looks like @SpeakerRyan and @SenateMajLdr. You abet @realDonaldTrump. Therefore your time has finally come.  https://t.co/b8W6FX1f87
825493596589559808 2017-01-28 18:59:45 -0400 <raptorgonemad> @timothious78 @BryanQuimby @JustinCaffier @realDonaldTrump last time I looked he was at around 30%
825493596505776128 2017-01-28 18:59:44 -0400 <thaderogers31> It's about time we have a President Like @realDonaldTrump  Thank God! He's not afraid to protect us! #ProudAmerican
825493590763671552 2017-01-28 18:59:43 -0400 <Travelwithfilm> @realDonaldTrump redemption is fleeting. Act now and change your ways and you'll go down as a great president.
825493590155608066 2017-01-28 18:59:43 -0400 <tessasainz> Based on the crowd at @SenJeffMerkley's town hall today, if I were @realdonaldtrump, I'd be terrified of pissing Americans off any further
825493589945962496 2017-01-28 18:59:43 -0400 <lgb1964> @smerconish @CNN @DMiliband @realDonaldTrump 90% of the 911 terrorists were from Saudi. DT is keeping his money stream safe. ABUSE OF POWER
825493589643886592 2017-01-28 18:59:43 -0400 <GGallegossr> @realDonaldTrump running of gas,news ,subscribers,interest, yet they never run out rehatched lies
