901595106888884225 2017-08-26 19:59:58 -0400 <Pajjr2016> @realDonaldTrump   I voted for HRC and I only got this Scoundrel  https://t.co/ruHyQwePxr
901595105416568832 2017-08-26 19:59:58 -0400 <damian_godden> @LoveMyCymba @lmsobko @NancyPelosi @realDonaldTrump I just blocked Larry cuz I hope to never see his rude, stupid tweets again. He's just not worth my time.Also, I really respect Nancy Pelosi.
901595105135439872 2017-08-26 19:59:58 -0400 <Susan40370948> @onefellswooop @GaCowGirl1 @MattHackett19 @c_sedw @RealSheriffJoe @realDonaldTrump 😂😂😂
901595102262562816 2017-08-26 19:59:57 -0400 <Sheasma> .@Morning_Joe unanimously rejects @nytimes columnist’s call for @BarackObama to attack @realDonaldTrump #TTT  https://t.co/W9JUpDZ396
901595099947257859 2017-08-26 19:59:57 -0400 <halloran_clare> @realDonaldTrump What legislation have you passed?
901595099028746244 2017-08-26 19:59:57 -0400 <Wimzy66> @michaelleves @Troy2you @JulianSvendsen @realDonaldTrump Our president* and yes he is whats ur point lol
901595097334210560 2017-08-26 19:59:56 -0400 <Tommy_Mac_> @JebSanford @DearAuntCrabby @realDonaldTrump Russian bots out and about...
901595097082368000 2017-08-26 19:59:56 -0400 <140_West> @pawnotes @AmericanMom2 @RealSheriffJoe @realDonaldTrump Wish McCain+Ryan were anywhere near as interested in rule of law in last Admin.-HRC,Fast&amp; Furious,Lois Lerner, BergdahlFiasco, CubanSwap ect
901595095518019589 2017-08-26 19:59:56 -0400 <fatherhoops> For the first time is decades, the American people are getting a truthful President. @realDonaldTrump  #MAGA
901595095362924545 2017-08-26 19:59:56 -0400 <GaryLandrum6> @IngrahamAngle @SpeakerRyan @realDonaldTrump I HOPE IT NEVER HAPPENS TO YOU,STAND UP FOR THE RIGHT REASONS,SHERIFF JOE WAS ACTING UNDER THE COLOR OF LAW AND WAS CORRECT N REGARDS2 illeg
901595090279378944 2017-08-26 19:59:55 -0400 <IrishJester> @realDonaldTrump @HopeHicks45 Too bad you lost $40 billion in infrastructure investment, due to your chaos scaring away that investment.
901595088232570880 2017-08-26 19:59:54 -0400 <skitesewen> @dcg15 @Mackay1981 @realDonaldTrump Agree we all that, nae a fan o a the flashy vulgar shite tho
901595086575857665 2017-08-26 19:59:54 -0400 <AricSnee> @realDonaldTrump RAIN! RACISM! RUSSIA!
901595082851221504 2017-08-26 19:59:53 -0400 <MannysMyName> @jailhouselvis @McGuffinAJ @wayne_ressler @vazques_ismael @rgplongbeach @GarySSagendorf @Nardo_mahone @realDonaldTrump  https://t.co/RC01zar76r
901595081857265669 2017-08-26 19:59:52 -0400 <RemOscuro> @LouLouFanatic @MADE__USA @realDonaldTrump @FLOTUS @WhiteHouse Advanced troll is so very advanced.
901595081207054336 2017-08-26 19:59:52 -0400 <Skairipa_kyag> @joncoopertweets @realDonaldTrump @GOP Heil Drumpf!  https://t.co/pD1nnZ8P39
901595077079945216 2017-08-26 19:59:51 -0400 <marktercsak> @realDonaldTrump @ChuckGrassley Restoration Amendment. Senators are herby required to report to their respective State Legislature,
