831291858789789696 2017-02-13 18:59:58 -0400 <WKoffke> @realDonaldTrump @potus Leader of the new Swamp
831291857170755584 2017-02-13 18:59:58 -0400 <FawkeEU> @TIMGOLDFINCH @purpleline @realDonaldTrump But their structures will be set up in the lowest tax havens sic Lux, Ire, caribbean
831291856818409472 2017-02-13 18:59:57 -0400 <rosielife13> @SenWarren @realDonaldTrump They are piling up!
831291856214487042 2017-02-13 18:59:57 -0400 <rlrddrvr> @SenBobCasey @realDonaldTrump agree, agree, agree!
831291855262380034 2017-02-13 18:59:57 -0400 <beyer_kelli> @DeplorablLatina @SCraft55 @realDonaldTrump breaks the Lord's law, as we all do. I pray for him to know what is truth and what he makes up.
831291853161033730 2017-02-13 18:59:57 -0400 <midnightbella10> @realDonaldTrump What about California? You know, citizens of the country you love so much!!
831291852682850304 2017-02-13 18:59:56 -0400 <NicolerWallace> @SenWarren @realDonaldTrump @GoldmanSachs @WhiteHouse he'll have another location his "winter white house"
831291852347301888 2017-02-13 18:59:56 -0400 <batinet> Vidal Francisco Soberón Sanz, la primera orden de @realDonaldTrump a su empleado mexicano @LVidegaray #Colombianización de #México  https://t.co/SiJxr2NGLv
831291852213063680 2017-02-13 18:59:56 -0400 <wilderoosje> @EliClifton perhaps you should send the photo to @IvankaTrump @realDonaldTrump
831291852062072833 2017-02-13 18:59:56 -0400 <amustREED> @realDonaldTrump remember treat others the way you want to be treated get more w honey than vinegar be best you can be you stand for us all
831291850296291329 2017-02-13 18:59:56 -0400 <PanteraBigotuda> @michaelknaepen @AlecBaldwin @realDonaldTrump It´s easy. Baldwin´s is the smart one.
831291849083981824 2017-02-13 18:59:56 -0400 <bertolaughs> "Say it with me now, Calzones are better than pizza. They're the best, I know it you know it." - @realDonaldTrump #alternativefacts #jokes
831291845552570368 2017-02-13 18:59:55 -0400 <havegonevegan> @realDonaldTrump @WhiteHouse And this pic makes me like @JustinTrudeau a hell of a lot less. Hope he brought sanitizer.
831291843736379396 2017-02-13 18:59:54 -0400 <smeeeter4321> @auntiejul @WSJ @realDonaldTrump @POTUS Sweet Jesus!
831291841479860224 2017-02-13 18:59:54 -0400 <kinger10jas> @KatrinaPierson @realDonaldTrump a celebrity isn't he the President? Shouldn't he be above "celebrity" ...Pee Wee Herman is a celebrity!
831291841102372865 2017-02-13 18:59:54 -0400 <leavonjune1> @realDonaldTrump @WhiteHouse @JustinTrudeau Canadian oil for trump profit, no mystery there.
831291839600795648 2017-02-13 18:59:53 -0400 <LockeBrenda> @JordanUhl @realDonaldTrump We do accept refugees We need 2 take care of R homeless &amp; R children who go hungry first be4 taking any more
831291837998624768 2017-02-13 18:59:53 -0400 <pamfrombham> of breaking the law. @realDonaldTrump =FAKE @KellyannePolls @IvankaTrump  https://t.co/6EcE4UvvNE
831291836148936708 2017-02-13 18:59:53 -0400 <CarmenMaMontiel> Thanks @realDonaldTrump x sanctions to Tarek &amp; Lopez Sanciones a VP de #Venezuela #justice #now  https://t.co/Po5WlzLUyK
831291834257268740 2017-02-13 18:59:52 -0400 <ed4iu> @realDonaldTrump keep Flynn! The uninformed media is trying to create news to slow you down. Keep the pace, screw MSM
831291833737105408 2017-02-13 18:59:52 -0400 <temasls> @Juliacsk @SenBobCasey @realDonaldTrump yes. This, exactly.
831291830247399425 2017-02-13 18:59:51 -0400 <XenaAnnie> @VP @MichelTemer Pence, just so you know, you should definitely push @realDonaldTrump @POTUS to fire Steve Bannon.
831291826770366464 2017-02-13 18:59:50 -0400 <sjordan0213> WTF! You're both sick! @realDonaldTrump @IvankaTrump  https://t.co/Wyol8qHTHd
831291825449205761 2017-02-13 18:59:50 -0400 <susanfaiola> @serafinowicz @realDonaldTrump oops! I mean a "must watch!"
831291824157265920 2017-02-13 18:59:50 -0400 <antonzilwicky54> @PaulMBanks @realDonaldTrump @POTUS  Showing their more intelligent side.
831291822844542976 2017-02-13 18:59:49 -0400 <delilah893> @realDonaldTrump You lied. You have failed the people who believed in you, Those who had faith you would save them. #TrumpsBrokenPromises  https://t.co/NyHBT93xl0
831291812736331776 2017-02-13 18:59:47 -0400 <joievie> @realDonaldTrump @CNN Bernie never said that. Ur creating a FAKE story out of a joke, and everyone knows it. Desperate!
831291812664913921 2017-02-13 18:59:47 -0400 <TruthTerrorists> @AHappyDandelion @DTrumpExposed @realDonaldTrump 😂😂😂
831291806650347520 2017-02-13 18:59:46 -0400 <TomUnderwood9> @tahino1 @WendySunshine1 @SenWarren @realDonaldTrump @POTUS good idea
831291805941460993 2017-02-13 18:59:45 -0400 <AngryHatter> Where is the federal help @realDonaldTrump for the dam in California?
831291803349426176 2017-02-13 18:59:45 -0400 <Dimondjim395> @realDonaldTrump @JustinTrudeau #keepflynn
831291803211030528 2017-02-13 18:59:45 -0400 <3catsinahat5> @realDonaldTrump @JustinTrudeau Where are the WOMEN in your cabinet, hypocrite. #impeachtheclown🤡
831291800920940544 2017-02-13 18:59:44 -0400 <fntrader> @ReformedBroker @realDonaldTrump and prosperity.
831291796495990784 2017-02-13 18:59:43 -0400 <JoeCoolSpivey1> @Cordster76 @Okie_Resister @MarkPygas @realDonaldTrump why thank you your speech be very Southern I like southern people.
831291795921391617 2017-02-13 18:59:43 -0400 <sue2condos> @realDonaldTrump Mr President I strongly recommend u change those yellow chairs u sit in. They are not in your best colour. I can help
831291794109370372 2017-02-13 18:59:43 -0400 <SeniorAmerican1> @jujumack @realDonaldTrump  First arrest Flynn and work up to Pence and then Trump.
831291793346027520 2017-02-13 18:59:42 -0400 <InsideTheCynic> Take your seat, snatch @SenWarren -- @realDonaldTrump @GoldmanSachs @WhiteHouse
831291793337638912 2017-02-13 18:59:42 -0400 <JMo777_1> .@realDonaldTrump @TheFive @oreillyfactor @seanhannity  Now this is a great question!  https://t.co/w05O0Hbg03
831291792872058880 2017-02-13 18:59:42 -0400 <datagoon> @mabidex @Gizmodo @paleofuture only because they told @realDonaldTrump his 10 year old wasn’t cleared for it.
831291785368522753 2017-02-13 18:59:40 -0400 <Euroit01> @SOTRUE927 @JustinTrudeau @realDonaldTrump Exactement très décevant. Les valeurs canadiennes sacrifiées pour l'argent comme Theresa May.
831291783439142914 2017-02-13 18:59:40 -0400 <paulmhiggins> @realDonaldTrump #45, Do u have a response? It looks odd.  https://t.co/wuiX7W2QFc
831291779504865281 2017-02-13 18:59:39 -0400 <arc7ek> @Mangoluu @JordanUhl @pattysmattyvt @realDonaldTrump   I dont care who you are...... thats funny.
831291778103926784 2017-02-13 18:59:39 -0400 <brentthepianist> To be fair to @realDonaldTrump, his hands aren't big enough to hold the football. #TYTLive
831291775016960004 2017-02-13 18:59:38 -0400 <Rachel055555> @nautilus1304 @MrJamesonNeat @realDonaldTrump yes,its self tan. 😂 oh man,stop it.it looks stupid 😄😝
831291772638752768 2017-02-13 18:59:37 -0400 <DannyLeBlanc24> @congressdotgov @realDonaldTrump @pink_lady56 @immigrant4trump @The_Trump_Train @SteveMotley @FoxNews @seanhannity @jessebwatters
831291772563234818 2017-02-13 18:59:37 -0400 <veebs47> @DonBeababy @realDonaldTrump @JustinTrudeau And he sat her across from him to stare at her the whole time... pretty people on one side...
831291768801001472 2017-02-13 18:59:36 -0400 <dhalibama> @SenWarren @realDonaldTrump @GoldmanSachs @WhiteHouse  You are out of touch with us right now. And that worries me. Wake up. RUSSIA!!!!
831291767542644740 2017-02-13 18:59:36 -0400 <JosephEGrand> @realDonaldTrump Has Done Almost Nothing via @POLITICO for iPad  https://t.co/a7Gmb7sKw2
831291767249047554 2017-02-13 18:59:36 -0400 <ironcook006> @GeorgWebb @wendyvoss @realDonaldTrump @gearmeister @bfraser747 @AriaWilsonGOP @LindaSuhler @ezralevant @LBenton21 @SheriffClarke grrrr
831291764963213312 2017-02-13 18:59:36 -0400 <texasproud74> @realDonaldTrump @POTUS its time to get tough with @Reince and his leaks. There are MUCH better choices and you deserve better than him
831291762907963393 2017-02-13 18:59:35 -0400 <SenWarren> Personnel is policy. Hiring Mnuchin &amp; all these @GoldmanSachs execs shows @realDonaldTrump has no interest in reducing Wall St’s influence.
831291762429812736 2017-02-13 18:59:35 -0400 <_stryker1> @realDonaldTrump Impeachment can not be far away, old man. #resistance
831291752132734976 2017-02-13 18:59:33 -0400 <lizh_PA> @senwarren @goldmansachs @realdonaldtrump @whitehouse He sure did...snake oil pple.
831291747909115905 2017-02-13 18:59:32 -0400 <freedm_of_spch> @peplamb @SenWarren @realDonaldTrump @GoldmanSachs @WhiteHouse sure, sure  https://t.co/de23enlCxe
831291746655027200 2017-02-13 18:59:31 -0400 <2rkiva> @KUT .@realDonaldTrump  Federal contracts should give priority to American companies hiring US  Citizens . Creat job 4 American graduates.
831291745694539776 2017-02-13 18:59:31 -0400 <AndrewDocklands> @realDonaldTrump The replies below are hilarious..
831291742532034561 2017-02-13 18:59:30 -0400 <PETERRECCHIA72> @iknowimbitter @marburyjack @realDonaldTrump @Twitter I think you are the Bigot not me
831291742171365377 2017-02-13 18:59:30 -0400 <Bdioncavacas> @chelseahandler @realDonaldTrump Nike is the company to go to! I won't buy nor shop stores or brands that support such BS
831291741877706752 2017-02-13 18:59:30 -0400 <KevnJr> @realDonaldTrump hang in there
831291739025588225 2017-02-13 18:59:29 -0400 <Diamond6771> @SenWarren @realDonaldTrump @GoldmanSachs @WhiteHouse ya'll are just letting him get away with it.   Investigate him NOW!
831291735171018752 2017-02-13 18:59:28 -0400 <Mikey0Madness> @wingbowl2000 @TheJimCornette @realDonaldTrump @POTUS @KeithOlbermann @mcuban now is like who gonna say shit playing president is fun to him
831291734235574273 2017-02-13 18:59:28 -0400 <TruthTerrorists> @DTrumpExposed @realDonaldTrump 😂😂
831291734202134529 2017-02-13 18:59:28 -0400 <ben44268855> Meryl Streep to @realDonaldTrump: I am the "most overrated" actress
831291734139273216 2017-02-13 18:59:28 -0400 <MaryLRguez2> @Joy_Villa @realDonaldTrump @MWPRinc 🇺🇸🇺🇸🇺🇸😘😘 .Way to go designer and model.Fabulous dress.
831291732344053761 2017-02-13 18:59:28 -0400 <bluzrulzsp> @realDonaldTrump  how did they get hired??? Day 113 - DynCorp Harvest, Killing Is Good Business, Part 1  https://t.co/1YUuX70l7e via @YouTube
