876227956946980864 2017-06-17 19:59:59 -0400 <TeaRocckanova> @realDonaldTrump Keep tweeting.
876227956351303680 2017-06-17 19:59:58 -0400 <PootsMom> @realDonaldTrump LOL!!
876227954971377664 2017-06-17 19:59:58 -0400 <adrianallen147> @MI_6 @FBI @CIA @SecretService @FBIAlbuquerque @FBIWFO @dbongino @ReutersWorld @serjtankian @DeptofDefense @FBITexas @FBIDetroit @FBISacramento @FBIAtlanta @FBITampa @FBIIndianapolis @FBIOmaha @FBIOklahomaCity @FBIPortland @FBIRichmond @FBINorfolk @FBIPhiladelphia @FBIPhoenix @FBIPittsburgh @FBISanFrancisco @FBISanJuan @FBISeattle @USArmy @USNavy @USMC @FBIDallas @FBIDenver @FBIHouston @FBIJacksonville @FBIJackson @FBIKnoxville @FBIKansasCity @FBILosAngeles @Broadcastify @FBICharlotte @FBIChicago @FBIColumbia @FBIBoston @FBINewHaven @FBIMiamiFL @realDonaldTrump @POTUS @VP Ive already mentioned the fbi in every state the @CIA @SecretService AND I BELIVE IM THE ONLY 1 UNHACKING BRAINS
876227946683518976 2017-06-17 19:59:56 -0400 <SteelersCrazy> @ArnoldInOshawa @SaitoNetwork @one48am @jules_su @realDonaldTrump Shouldn't have stole the election from Bernie
876227940253659138 2017-06-17 19:59:55 -0400 <ReelSchool> @GeorgeTakei I have a feeling most @realDonaldTrump supporters have been boycotting brilliant writing and culture most of their lives...
876227937858498560 2017-06-17 19:59:54 -0400 <PoliticalHaze> @realDonaldTrump  When is your next @HillaryClinton  rant?
876227935232966656 2017-06-17 19:59:53 -0400 <WinstonWolfLV> @isteintraum @AurorasBlog @realDonaldTrump Nice burn.
876227934301949952 2017-06-17 19:59:53 -0400 <mojominds> Good. Like all other @realDonaldTrump appointees, they are woefully underqualified  https://t.co/rDJyeFLNkv
876227930564698115 2017-06-17 19:59:52 -0400 <Susannah_de_B> @realDonaldTrump Your international relations are really kinky, dude.  https://t.co/pLt3o50Kf1
876227930518691842 2017-06-17 19:59:52 -0400 <maribelglam> @Almagro_OEA2015 @OEA_oficial @ONU_derechos @realDonaldTrump  @EP_President @soyfdelrincon @dw_espanol @AsambleaVE @IntlCrimCourt @CNNEE  https://t.co/ZxZJjsP94K
876227926127202304 2017-06-17 19:59:51 -0400 <ElaineWoodman2> @RKJ65 @wirrlyBird75 @tedlieu @realDonaldTrump Thank you. Keep it up
876227918543732736 2017-06-17 19:59:49 -0400 <Truth_Seeker59> @AuthorKimberley @realDonaldTrump @HillaryClinton No other democratic country uses the electoral vote.
876227917235277828 2017-06-17 19:59:49 -0400 <Matzi_Wagendorf> @Procellas @WSWow94 @GoeringEckardt @Die_Gruenen @realDonaldTrump warum dummer Kommentar? Viele werden endlich aus dem BT rausfliegen, dann können diese harzten und als Freiwillige helfen.
876227897509396480 2017-06-17 19:59:44 -0400 <fdl_noise> @realDonaldTrump  https://t.co/dEbV2G6GqP
876227884549124096 2017-06-17 19:59:41 -0400 <MichaelaGerhard> @realDonaldTrump Regulations are what make people and workers safe and protect their rights...nothing to be happy about now that they are gone
876227875438972928 2017-06-17 19:59:39 -0400 <MeiraShayna> @realDonaldTrump No words describe how low-life you are.
876227871274127360 2017-06-17 19:59:38 -0400 <Auroraknite> @JWMcQuatchi @memphomofo @DonaldJTrumpJr @realDonaldTrump I would demand his resignation or impeachment, whichever comes first. The only reason i didn't for Clinton, was the lack of proof.
876227869961211906 2017-06-17 19:59:38 -0400 <dorotheedillon> @mmpadellan @realDonaldTrump It's morbid. It's a disease. A mental disease.
876227869235695617 2017-06-17 19:59:38 -0400 <GermanT61734220> @9a1e6c8a99984e2 @AOL @realDonaldTrump -34
876227868031844352 2017-06-17 19:59:37 -0400 <GranTorino84> @seanhannity @realDonaldTrump @newtgingrich The Navy folks are loving you for choosing Hannity over the missing men and the life flighted captain.
876227866467471360 2017-06-17 19:59:37 -0400 <jerryclarkjaffe> a trump by any other name would still smell (fill in the blank) #ShakespeareInTheTrump @realDonaldTrump
876227866391859200 2017-06-17 19:59:37 -0400 <Sarahs_eyebrows> @Pastafarian1964 @jackschofield @NanaZ2019 @Asburgundy @Anti_Liberal73 @CDegney @realDonaldTrump @PRNtechnology @nytimes @ppppolls Until they find out their Medicaid's taken away and they have to mortgage their doublewide to pay their medical bills.
876227861505601537 2017-06-17 19:59:36 -0400 <wordsbquick> @WestwoodLee Heard @realDonaldTrump handicap is 2.8!  Does that trump yours Lee?  ;-)
876227860846985216 2017-06-17 19:59:36 -0400 <Malindo45> @realDonaldTrump @keny_berd Praying for our brave men and women. May God protect &amp; guide them home.
876227852139720704 2017-06-17 19:59:34 -0400 <pinkhouse60> @mullens_mitzae @LindaHa80148761 @SheriffClarke @realDonaldTrump Obama.
876227851208536064 2017-06-17 19:59:33 -0400 <Sdudley6969> @JAMESCOUNTRY41 @realDonaldTrump @POTUS Republicans will only hurt the people like you that voted him.
876227840936738816 2017-06-17 19:59:31 -0400 <tamaram62877538> @realDonaldTrump Selling yourself to the devil always ends badly. You got a pretty good run out of it, though. But it will destroy you. SAD!
876227839921664004 2017-06-17 19:59:31 -0400 <ignatzz> @CNN @realDonaldTrump @wkamaubell Republicans won't stop lying to those people.  A govt program to develop renewable energy IN APPALACHIA. That will create BETTER jobs.
876227833248481280 2017-06-17 19:59:29 -0400 <Waldbaden> @seanhannity @realDonaldTrump @newtgingrich Hey Sean, any words about the noose found?
876227828689317889 2017-06-17 19:59:28 -0400 <RonniLaurie> @77WABCradio @CurtisSliwa @EboniKWilliams @curtisandeboni Why didn't @TedNugent believe in toning down rhetoric WHEN HE THREATENED ASSASSINATION OF @POTUS44 ?! Only NOW W/ HIS BUD, @realDonaldTrump
876227827640684544 2017-06-17 19:59:28 -0400 <Wine_Unknown> @Filterlbc @realDonaldTrump @RexTilllerson @tbeaux29 @Jonesie1967 @maga_proud @InfoTruth699 @massimomessina1 @Stevenwhirsch99 You rubes will buy anything
876227822204989440 2017-06-17 19:59:26 -0400 <mrsbunnylloyd> @Amalgam65 @tedlieu @Ricball @realDonaldTrump Witch Covens cannot carry on their evil spells when members are named. Who will be outed as more of the Coven are indited 'er named.
876227820170739712 2017-06-17 19:59:26 -0400 <sheba_beta> @gopcongress @SenateGOP @jeffsessions @realDonaldTrump Comey &amp; Muller @FBI colluding 2 protect @HillaryClinton  https://t.co/RHJbpAjhYp  https://t.co/ozJgVLE9y8
876227820028125185 2017-06-17 19:59:26 -0400 <bobolingt> @ClintEastwoodLA @_pepepar @realDonaldTrump @StoneColdTruth @PrisonPlanet @JackPosobiec @chuckwoolery @Cernovich @TuckerCarlson @newtgingrich They say the pen is mightier than the sword , depends on who has the pen !  https://t.co/PaAKPFahl2
876227817553502208 2017-06-17 19:59:25 -0400 <GIL_S0L0> @realDonaldTrump But did you order the Code Red?!?!?
876227816370696193 2017-06-17 19:59:25 -0400 <2plus2eqs5> @KalmarSheryl @txmom10231 @Thea2326 @jambie61 @DefenseBaron @realDonaldTrump You make it 20+ seconds longer than me.
876227813447266305 2017-06-17 19:59:24 -0400 <DurhamNtx> @sp2kidssparks @gregorio_pete @Marjori87941817 @508gloryFelix @PoliticalSquee @MfromPa @WendySunshine1 @APGsMom @A__Stout @Siubhan_H @abiglyidiot1 @religoused @YerOpinion @TrumpDeflects @BigRedSepulveda @EJLandwehr @Beauwhite16 @123CLeigh @bubbaMcDuffy @AmyAtrebas @Istaqa_runner @stand4honor @rjsmith169 @LauraSi27539130 @SilverAttack @leoego0816 @Brandossius @Heinzilla @Crystal4775 @Gallaecian @SupportTrump10 @debiegijoe @davethetrumpetr @TammyLynne89 @mamaofautistic @Fr_Dean_Wheeler @bluestatewoman @TarynStanford @KGraceHill @WatercolorsalaP @ElleBird4 @elle2_0 @co_rapunzel4 @WYVeteran @ForQ2 @desertTukut @oreillyfactor @anteksiler @realDonaldTrump Oh, I don't now... maybe it wouldn't be all bad...
876227813036240897 2017-06-17 19:59:24 -0400 <saysay1923> @Impeach_D_Trump @realDonaldTrump Did not do this.  Is someone using my name? I retweeted it.
876227810351869954 2017-06-17 19:59:24 -0400 <Kit_hunt> @Impeach_D_Trump @realDonaldTrump Rasmuswen has 50%, these polls are +13 weighted. They don't count enough independent, as we have more of them, then rep or Dem.
876227801929719810 2017-06-17 19:59:22 -0400 <ECSUVik96> @realDonaldTrump About time somebody hold you responsible for all this calamity you are causing as "our" President. Do you take your job seriously at all?
876227794157613057 2017-06-17 19:59:20 -0400 <LacerMichael> @tamaraholder @realDonaldTrump Another poll had him 50% approval. Not fake but definitely selective. It's called confirmational bias.
876227793117425666 2017-06-17 19:59:20 -0400 <BJVanCamp> @realDonaldTrump They know you're not their friend. They know you're sucking up
876227791246774272 2017-06-17 19:59:19 -0400 <BarbaraFederma3> @teriobrien @realDonaldTrump R U high? If so, share it. This POS  is ruining our country and our reputation. Nothing done to help the ppl.
876227773991440384 2017-06-17 19:59:15 -0400 <chergaslp> @ANOMALY1 @realDonaldTrump @IvankaTrump @EricTrump @DonaldJTrumpJr @MELANIATRUMP @POTUS @FLOTUS @MrsVanessaTrump @LaraLeaTrump Yea well we need to do more
876227767246999552 2017-06-17 19:59:13 -0400 <SteelersCrazy> @ArnoldInOshawa @one48am @SaitoNetwork @jules_su @realDonaldTrump To bad thats not his you win loser
876227765963558913 2017-06-17 19:59:13 -0400 <Medikvenezolana> Panamá ,@OEA_oficial @Almagro_OEA2015 @ONU_es @ONU_derechos @JuanManSantos @realDonaldTrump @elnuevoherald @elpais_america @Pontifex_es  https://t.co/Q13CNv8oOb
876227765325922306 2017-06-17 19:59:13 -0400 <Mark_K_McQ> The guy is such a complete tool. Even Putin ignores him.@realDonaldTrump @IndivisibleNY24 @CNYSolidarity  https://t.co/4DrA0IhjwV
876227762612166656 2017-06-17 19:59:12 -0400 <mjpietro> @SanjitAtwal @realDonaldTrump It's 65% 👍
876227759244267520 2017-06-17 19:59:11 -0400 <Tina51897> @NikLentz @realDonaldTrump And when both parties hate you, you know you're on the right track.
876227756899672064 2017-06-17 19:59:11 -0400 <kyAnonyky> @YS @realDonaldTrump @GabyMoreiraMor1    kkk.!... era aqui ó  ! para clicar no "sim"😁
876227755276460032 2017-06-17 19:59:11 -0400 <JustWhatNowWhy> @POTUS @realDonaldTrump US Ally to Release Compromising PEE PEE Tape?  https://t.co/CA77LrGu9c - Independent Reporter  https://t.co/4yPKpIAPmh
876227751035973632 2017-06-17 19:59:10 -0400 <caimito40> @GenPenaloza @realDonaldTrump Venezuela no es la solidaria,  la solidaria eres tú
876227749622542344 2017-06-17 19:59:09 -0400 <ElaineWoodman2> @RKJ65 @wirrlyBird75 @tedlieu @realDonaldTrump We won't forget
876227749056319488 2017-06-17 19:59:09 -0400 <Al250167> @SheeriBaneesha @realDonaldTrump No his missing a trick or tow
876227747986714624 2017-06-17 19:59:09 -0400 <CrazirkRk> @realDonaldTrump What do I have to do to be silenced? Only an insecure man-child would silence the masses. You don't deserve to be POTUS
